ISU GP Rostelecom Cup 2017,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
1 Maia SHIBUTANI / Alex SHIBUTANI USA  9  111.94,56.01,55.93,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5",J6 J7In fo,J8 J9 Ref,,Info
Elements Value,,,Panel,
1 CoSp4  5.60  1.54 3 2 2 2 3,3 3,2 3,7.14,
2 CiSt3  7.10  2.20 2 1 2 2 2,2 2,2 2,9.30,
3 SlLi4  4.50  1.37 2 1 2 3 3,3 2,2 2,5.87,
4 StaLi4  4.50  1.46 2 2 3 3 2,2 2,3 3,5.96,
5 STw4  6.60  1.54 2 2 3 3 3,3 2,3 2,8.14,
6 RoLi4  4.50  1.20 3 2 2 2 2,2 2,2 2,5.70,
7 DiSt3  7.10  2.20 1 2 2 2 2,2 2,2 2,9.30,
8 ChSp1  1.00  1.30 2 1 2 2 2,3 1,2 2,2.30,
9 ChLi1  1.00  1.30 2 1 2 2 2,2 1,2 2,2.30,
41.90,,,56.01,
Program Components Factor,,,,
Skating Skills  1.20 9.50 9.00 9.50 9.25 9.25,9.50 9.50,9.25 9.50,9.39,
Transitions  1.20 9.25 9.25 9.25 9.25 9.50,9.25 9.00,9.00 9.25,9.21,
Performance  1.20 9.00 9.25 9.50 9.50 9.50,9.50 9.25,9.25 9.25,9.36,
Composition  1.20 9.25 9.25 9.50 9.50 9.25,9.50 9.25,9.25 9.50,9.36,
Interpretation of the Music/Timing  1.20 9.00 9.00 9.25 9.50 9.50,9.50 9.00,9.25 9.50,9.29,
Judges Total Program Component Score (factored),,,55.93,
Deductions,,,0.00,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
2 Ekaterina BOBROVA / Dmitri SOLOVIEV RUS  8  108.41,52.94,55.47,0.00,
Executed Base,,,Scores of,
"# GOE J1 J2 J3 J4 J5",J6 J7,J8 J9 Ref,,
Elements Value,,,Panel,
1 STw4  6.60  1.46 3 2 2 3 3,2 2,3 2,8.06,
2 CuLi4  4.50  1.37 3 2 2 2 3,2 2,3 2,5.87,
3 SlLi4  4.50  1.20 3 2 2 2 2,2 2,2 2,5.70,
4 CiSt4  8.60  2.20 2 2 3 2 2,2 2,2 2,10.80,
5 Sp2  3.60 -0.71 -1 1 -1 -1 -2,-2 -2,-2 -1,2.89,
6 ChSp1  1.00  1.30 2 1 2 2 2,2 1,2 2,2.30,
7 RoLi4  4.50  1.63 3 3 3 3 3,2 2,3 2,6.13,
8 DiSt3  7.10  1.89 2 1 2 2 2,1 2,2 1,8.99,
9 ChLi1  1.00  1.20 3 2 2 2 1,1 1,2 2,2.20,
41.40,,,52.94,
Program Components Factor,,,,
Skating Skills  1.20 9.50 9.00 9.50 9.00 9.00,8.75 9.00,9.50 9.25,9.18,
Transitions  1.20 9.50 9.25 9.25 8.75 9.00,8.50 8.75,9.25 9.00,9.04,
Performance  1.20 9.75 9.25 9.50 9.25 9.50,8.50 8.75,9.50 9.25,9.29,
Composition  1.20 9.75 9.50 9.50 9.00 9.50,9.00 9.00,9.50 9.25,9.32,
Interpretation of the Music/Timing  1.20 9.75 9.50 9.75 9.25 9.50,9.00 9.25,9.25 9.25,9.39,
Judges Total Program Component Score (factored),,,55.47,
Deductions,,,0.00,
ISU GP Rostelecom Cup 2017,,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,,
Starting Total,Total,Total,Total,
Rank Name Nation Number Segment,Element,Program  Component,Deductions,
Score,Score,Score (factored),,
