ISU GP Rostelecom Cup 2017,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
1 Evgenia TARASOVA / Vladimir MOROZOV RUS  8  147.37,,73.79,74.58,1.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,InJ6fo J7,J8 J9 Ref,,Info
Elements Value,,,,Panel,
1 4Tw3  8.60  0.29 1 0 0 0 2,,1 1,-1 -1,8.89,
2 3S  4.40  0.20 1 0 1 1 0,,0 1,-1 -1,4.60,
3 3STh  4.50  2.10 3 3 3 3 3,,3 3,3 2,6.60,
4 3T+2T+2T  6.90  1.30 2 1 2 2 2,,2 1,2 2,8.20,
5 5RLi4  7.50  1.10 2 1 2 2 1,,1 1,2 2,8.60,
6 BoDs3  4.00  1.10 2 2 1 2 1,,1 2,1 2,5.10,
7 FCCoSp4  3.50  1.07 2 2 3 2 1,,3 2,2 2,4.57,
8 ChSq1  2.00  1.40 2 2 2 2 2,,2 2,2 2,3.40,
9 3LoTh  5.00 -0.50 -1 0 -2 0 -1,,0 1,-2 -1,4.50,
10 5ALi4  7.50  1.40 3 2 2 2 2,,2 2,2 2,8.90,
11 3Li4  4.50  0.57 2 1 2 1 1,,1 1,1 1,5.07,
12 PCoSp4  4.50  0.86 2 2 2 2 1,,1 2,2 1,5.36,
62.90,,,,73.79,
Program Components Factor,,,,,
Skating Skills  1.60 9.50 9.25 9.25 9.50 9.50,,9.50 9.25,9.25 9.25,9.36,
Transitions  1.60 9.25 8.75 9.00 9.25 9.25,,9.25 9.00,9.00 9.00,9.11,
Performance  1.60 9.50 9.25 9.50 9.50 9.50,,9.75 9.50,9.50 9.25,9.46,
Composition  1.60 9.25 9.25 9.50 9.25 9.50,,9.25 9.25,9.25 9.25,9.29,
Interpretation of the Music  1.60 9.50 9.00 9.50 9.50 9.25,,9.50 9.50,9.25 9.25,9.39,
Judges Total Program Component Score (factored),,,,74.58,
Deductions Time violation: -1.00,,,,-1.00,
Starting Total,,Total,Total,Total,
Rank Name Nation Number Segment,,Element,Program  Component,Deductions,
Score,,Score,Score (factored),,
2 Ksenia STOLBOVA / Fedor KLIMOV RUS  7  133.04,,62.23,72.81,2.00,
Executed Base,,,,Scores of,
"# GOE J1 J2 J3 J4 J5",,J6 J7,J8 J9 Ref,,
Elements Value,,,,Panel,
1 3Tw2  5.80 -0.10 0 -2 -1 0 1,,0 1,-1 0,5.70,
2 3FTh  5.50 -1.20 -1 0 -2 -2 -2,,-2 -1,-2 -2,4.30,
3 3T+COMBO  4.30 -2.10 -3 -3 -3 -3 -3,,-3 -3,-3 -3,2.20,
4 ChSq1  2.00  1.30 2 2 1 2 2,,1 3,2 2,3.30,
5 3S  4.40  0.80 2 1 1 2 1,,1 1,1 1,5.20,
6 5RLi4  7.50  1.40 3 2 2 1 2,,2 3,1 2,8.90,
7 BoDs4  4.50  1.10 2 2 1 2 1,,1 2,1 2,5.60,
8 FCCoSp4  3.50  1.21 3 3 2 2 2,,3 3,2 2,4.71,
9 5ALi4  7.50  1.50 3 2 3 2 2,,2 2,2 2,9.00,
10 PCoSp4  4.50  0.71 2 1 2 2 1,,1 2,1 1,5.21,
11 3Li4  4.50  1.21 3 1 3 2 2,,3 3,2 2,5.71,
12 3STh  4.50 -2.10 -3 -3 -3 -3 -3,,-3 -2,-3 -3,2.40,
58.50,,,,62.23,
Program Components Factor,,,,,
Skating Skills  1.60 9.25 8.75 8.75 9.00 9.50,,9.75 9.25,9.25 8.75,9.11,
Transitions  1.60 9.25 8.75 8.25 8.75 9.50,,9.50 9.25,9.25 8.75,9.07,
