8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
4,Pernelle CARRON / Lloyd JONES,FRA,5,73.58,35.92,38.66,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,StaLi4,,4.0,False,0.5,1,1,1,1,1,1,1,1,,4.5
2,CiSt2,,5.0,False,1.0,1,1,1,1,0,1,1,1,,6.0
3,CoSp4,,5.0,False,0.5,1,1,1,1,1,1,2,1,,5.5
4,CuLi4+RoLi4,,8.0,False,0.67,1,1,0,1,1,1,1,0,,8.67
5,STw2,,4.0,False,-0.67,0,-1,-2,-1,-2,-1,-2,-1,,3.33
6,MiSt1,,3.5,False,0.0,0,0,1,0,0,0,0,0,,3.5
7,RoLi4,,4.0,False,0.42,1,1,2,1,0,1,1,0,,4.42
,,,33.5,,,,,,,,,,,,35.92
,Program Components,,,,Factor
,Skating Skills  ,,,,1.25,6.25,6.5,6.5,6.25,6.5,6.75,6.5,6.75,,6.5
,Linking Footwork / Movement  ,,,,1.75,6.0,6.75,6.5,6.5,6.25,6.5,6.5,6.25,,6.42
,Performance  ,,,,1.0,6.25,6.75,6.25,5.75,6.25,6.5,6.25,6.25,,6.29
,Choreography  ,,,,1.0,6.0,7.0,6.25,6.5,6.25,6.75,6.25,6.5,,6.42
,Interpretation / Timing  ,,,,1.0,6.5,7.25,6.75,6.25,6.5,6.75,6.5,6.5,,6.58
,,,,,,,,,,,,,,,38.66
Deduction, Falls,-1.0
