8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
10,Sarah HECKEN,GER,3,85.98,41.57,45.41,-1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,3F,,5.3,False,-0.93,-1,-1,-2,-2,-1,-2,-1,0,,4.37
2,3T,,4.1,False,0.7,1,1,1,1,1,1,1,1,,4.8
3,3S,,4.2,False,0.0,0,0,0,0,0,0,1,0,,4.2
4,LSp3,,2.4,False,0.25,1,0,1,1,0,0,1,0,,2.65
5,StSq2,,2.6,False,0.5,1,1,1,1,1,1,2,1,,3.1
6,3S+2T,,6.05,True,-0.12,0,0,-1,0,0,-1,1,0,,5.93
7,CCoSp4,,3.5,False,0.33,1,0,1,1,0,0,1,1,,3.83
8,FCSp3,,2.8,False,0.5,1,1,1,1,0,1,1,1,,3.3
9,2A,,3.63,True,0.25,0,1,1,0,0,0,1,1,,3.88
10,3T<+SEQ,<,2.55,True,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,,0.45
11,ChSq,,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
12,2A+2T,,5.06,True,0.0,0,0,-1,0,0,0,1,0,,5.06
,,,42.19,,,,,,,,,,,,41.57
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,5.75,6.0,6.0,5.75,5.75,6.0,6.25,5.5,,5.88
,Transition / Linking Footwork  ,,,,1.6,5.25,5.5,5.5,5.25,5.0,5.25,5.5,5.25,,5.33
,Performance / Execution  ,,,,1.6,5.5,5.75,6.0,5.5,5.5,5.75,6.25,5.5,,5.67
,Choreography / Composition  ,,,,1.6,6.0,6.0,6.0,5.25,4.75,5.75,6.5,5.5,,5.75
,Interpretation  ,,,,1.6,6.0,5.75,6.25,5.5,5.0,6.0,6.0,5.25,,5.75
,,,,,,,,,,,,,,,45.41
Deduction,Falls,-1.0
