NHK Trophy 2005,,,
ICE DANCING COMPULSORY DANCE,JUDGES DETAILS PER SKATER,,
"",Total Total Total,,Total
Rank Name,NOC Segment Element Program  Component,,Deductions
"",Code Score Score Score (factored),,
"",= + +,,-
1 Marie-France DUBREUIL / Patrice LAUZON,CAN 36.41 17.94 18.47,,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 1S1 2.0 0.40,1 1 1 1 2 -1 1 0 0 1 - -,,2.40
2 1S2 1.3 0.30,1 1 1 1 1 1 2 1 0 1 - -,,1.60
3 1S3 1.3 0.30,1 1 0 1 1 0 1 1 0 1 - -,,1.60
4 1S4 2.0 0.40,1 1 1 1 1 0 1 0 1 2 - -,,2.40
5 2S1 2.6 0.36,1 1 0 0 1 0 1 0 0 1 - -,,2.96
6 2S2 1.6 0.30,1 0 0 0 1 1 1 0 0 2 - -,,1.90
7 2S3 1.6 0.40,0 1 0 1 1 0 1 1 0 1 - -,,2.00
8 2S4 2.6 0.48,1 1 0 1 1 0 1 0 1 1 - -,,3.08
15.0,,,17.94
Program Components Factor,,,
Skating Skills 0.75,7.25 7.50 7.25 7.50 7.50 7.25 7.75 7.25 6.75 7.50 - -,,7.40
Timing 0.75,7.00 7.25 7.25 7.50 7.25 6.75 7.50 7.25 6.00 7.25 - -,,7.25
Performance / Execution 0.50,7.25 7.50 7.50 7.75 7.50 7.25 8.00 7.50 6.50 7.50 - -,,7.50
Interpretation 0.50,7.25 7.50 7.50 7.50 7.75 7.25 8.00 7.25 6.75 8.50 - -,,7.45
Judges Total Program Component Score (factored),,,18.47
Deductions:,,,0.00
"",Total Total Total,,Total
Rank Name,NOC Segment Element Program  Component,,Deductions
"",Code Score Score Score (factored),,
"",= + +,,-
2 Albena DENKOVA / Maxim STAVISKI,BUL 35.10 17.36 17.74,,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 1S1 2.0 0.40,1 1 1 0 1 1 1 -1 0 2 - -,,2.40
2 1S2 1.3 0.24,1 1 1 1 0 1 0 1 1 2 - -,,1.54
3 1S3 1.3 0.18,0 0 0 1 1 0 1 1 1 2 - -,,1.48
4 1S4 2.0 0.40,1 1 1 1 1 1 0 0 1 2 - -,,2.40
5 2S1 2.6 0.36,0 0 1 1 1 1 -1 1 0 2 - -,,2.96
6 2S2 1.6 0.20,1 1 0 0 0 1 0 0 1 2 - -,,1.80
7 2S3 1.6 0.10,0 0 1 1 1 0 0 0 1 1 - -,,1.70
8 2S4 2.6 0.48,1 1 0 0 1 1 0 1 1 2 - -,,3.08
15.0,,,17.36
Program Components Factor,,,
Skating Skills 0.75,7.25 6.75 7.75 7.25 7.50 7.50 5.50 7.25 7.50 9.00 - -,,7.20
