ISU GP Cancer.Net Skate America 2009,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
1 Xue SHEN / Hongbo ZHAO CHN  1,74.36  41.40,,,32.96,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3T  4.00  1.40 1 0 2,2 1 2 1,,,1 1,5.40,
2 3LzTw3  6.00  1.26 2 2 2,1 2 2 2,,,1 0,7.26,
3 3LoTh  5.00  1.26 1 2 2,2 3 2 2,,,1 1,6.26,
4 FCCoSp4  3.50  0.50 1 1 1,1 2 1 1,,,1 1,4.00,
"",Info,,,,,Info
5 4Li4  4.00  0.70 2 2 2,1 2 1 1,,,0 0,4.70,
6 PCoSp4  4.50  0.50 1 0 1,1 1 1 1,,,0 1,5.00,
7 SlSt3  3.30  1.00 2 2 2,2 2 2 2,,,1 1,4.30,
8 BoDs2  3.50  0.98 1 2 1,2 2 1 2,,,0 0,4.48,
33.80,,,,,41.40,
Program Components Factor,,,,,,
Skating Skills  0.80 8.25 8.00 8.25,8.25 8.50 8.50 8.50,,,7.25 7.75,8.35,
Transition / Linking Footwork  0.80 8.25 8.75 7.75,7.50 8.50 8.50 8.00,,,6.00 7.50,8.00,
Performance / Execution  0.80 8.50 8.25 8.25,8.25 9.00 8.75 8.00,,,7.00 7.75,8.35,
Choreography / Composition  0.80 8.50 8.00 8.00,8.00 9.00 8.75 8.00,,,6.25 7.50,8.25,
Interpretation  0.80 8.50 8.50 8.00,8.25 8.75 8.25 8.25,,,6.75 7.75,8.25,
Judges Total Program Component Score (factored),,,,,32.96,
Deductions:,,,,,0.00,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
2 Tatiana VOLOSOZHAR / Stanislav MOROZOV UKR  7,61.70  35.30,,,26.40,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3T  4.00 -2.00 -2 -2 -2,-1 -2 -2 -2,,,-2 -2,2.00,
2 3LzTw3  6.00  0.70 0 1 1,1 2 0 1,,,0 3,6.70,
3 4Li4  4.00  0.50 1 1 2,1 1 1 1,,,1 1,4.50,
4 3LoTh  5.00  0.70 1 1 2,0 1 0 1,,,1 1,5.70,
5 FCCoSp4  3.50  0.20 0 1 1,1 0 0 0,,,1 2,3.70,
6 PCoSp4  4.50  0.40 1 1 1,0 0 0 1,,,1 1,4.90,
7 SlSt3  3.30  0.30 0 1 1,0 1 0 1,,,1 0,3.60,
8 BoDs2  3.50  0.70 1 1 0,0 1 1 1,,,0 2,4.20,
33.80,,,,,35.30,
Program Components Factor,,,,,,
Skating Skills  0.80 7.25 6.50 6.75,7.00 6.75 6.75 7.00,,,7.00 7.75,6.90,
Transition / Linking Footwork  0.80 6.25 6.75 6.25,6.00 6.25 5.75 6.75,,,6.75 7.00,6.45,
Performance / Execution  0.80 6.75 6.50 6.75,6.00 6.50 6.25 6.75,,,7.00 6.75,6.65,
Choreography / Composition  0.80 6.75 6.75 6.50,6.50 6.25 5.75 6.75,,,6.75 7.25,6.60,
Interpretation  0.80 6.25 6.50 6.50,5.75 6.25 6.00 6.50,,,6.75 7.25,6.40,
Judges Total Program Component Score (factored),,,,,26.40,
Deductions:,,,,,0.00,
ISU GP Cancer.Net Skate America 2009,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
