ISU GP Cancer.Net Skate America 2009,,,,
ICE DANCE COMPULSORY DANCEJUDGES DETAILS PER SKATER,,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
1 Tanith BELBIN / Benjamin AGOSTO USA  10  39.28  20.22,,19.06,0.00,
"# Executed Base GOE The Judges Panel",,,Scores,
Elements Value (in random order),,,of Panel,
1 1S1  1.70  0.70 2 2 1 1 1 1 2,,1 3,2.40,
2 1S2  2.80  0.84 2 2 0 1 1 1 1,,1 2,3.64,
3 1S3  2.30  0.80 1 2 0 1 2 2 2,,1 2,3.10,
4 2S1  2.30  0.70 1 2 0 1 1 2 2,,2 2,3.00,
Info,,Info,,Info
5 2S2  3.40  0.84 2 2 0 1 1 1 1,,1 2,4.24,
6 2S3  3.00  0.84 1 2 1 1 1 1 2,,1 2,3.84,
15.50,,,20.22,
Program Components Factor,,,,
Skating Skills  0.75 7.75 8.25 7.00 7.50 7.75 7.50 7.75,,7.75 8.00,7.65,
Timing  0.75 7.50 8.00 7.00 7.25 7.50 7.50 7.50,,7.50 8.00,7.45,
Performance / Execution  0.50 8.00 8.50 7.00 7.75 7.75 7.75 7.75,,7.75 8.25,7.80,
Interpretation  0.50 7.75 8.50 7.25 7.50 7.75 7.50 7.75,,7.75 8.25,7.65,
Judges Total Program Component Score (factored),,,19.06,
Deductions:,,,0.00,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
2 Jana KHOKHLOVA / Sergei NOVITSKI RUS  9  36.94  18.96,,17.98,0.00,
"# Executed Base GOE The Judges Panel",,,Scores,
Elements Value (in random order),,,of Panel,
1 1S1  1.70  0.50 1 1 2 1 1 1 0,,1 1,2.20,
2 1S2  2.80  0.70 1 1 1 1 1 0 0,,1 1,3.50,
3 1S3  2.30  0.50 1 2 1 1 1 1 0,,1 1,2.80,
4 2S1  2.30  0.50 1 2 2 0 1 2 -1,,1 1,2.80,
5 2S2  3.40  0.70 1 1 2 1 0 1 0,,1 1,4.10,
6 2S3  3.00  0.56 1 1 1 0 1 1 0,,1 1,3.56,
15.50,,,18.96,
Program Components Factor,,,,
Skating Skills  0.75 7.25 7.50 7.75 6.75 7.25 7.50 6.50,,7.50 7.25,7.25,
Timing  0.75 7.25 7.25 7.50 6.50 7.00 7.50 6.50,,7.25 7.00,7.05,
Performance / Execution  0.50 6.75 7.50 7.75 7.00 7.25 7.50 6.25,,7.75 7.50,7.30,
Interpretation  0.50 7.00 7.50 7.25 6.75 7.00 7.75 6.75,,7.75 7.50,7.20,
Judges Total Program Component Score (factored),,,17.98,
Deductions:,,,0.00,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
3 Anna CAPPELLINI / Luca LANOTTE ITA  7  32.04  15.90,,16.14,0.00,
"# Executed Base GOE The Judges Panel",,,Scores,
Elements Value (in random order),,,of Panel,
1 1S1  1.70  0.30 1 0 1 0 0 1 1,,0 1,2.00,
2 1S2  2.80  0.14 0 0 0 0 0 1 1,,0 0,2.94,
3 1S3  2.30  0.00 0 1 0 0 0 0 0,,0 0,2.30,
4 2S1  2.30  0.10 0 0 0 0 1 0 1,,1 0,2.40,
5 2S2  3.40 -0.14 0 0 0 0 0 0 -1,,0 -1,3.26,
6 2S3  3.00  0.00 0 1 0 0 0 0 0,,0 0,3.00,
15.50,,,15.90,
Program Components Factor,,,,
Skating Skills  0.75 6.50 6.50 6.25 6.50 6.25 6.75 6.75,,6.25 6.00,6.50,
Timing  0.75 6.25 6.25 5.25 6.25 6.00 6.50 7.00,,6.25 5.75,6.30,
