10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
5,Joannie ROCHETTE,CAN,0,110.14,55.5,54.64,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3T+2T+2Lo,,6.8,False,-1.0,-2,-1,0,0,-1,-1,-1,-1,-2,-1,,5.8
2,3Lz+2T,,7.3,False,-1.0,-1,-1,-1,-1,-1,-1,-1,-2,0,-1,,6.3
3,3Lo,,5.0,False,-1.0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,,4.0
4,FSSp3,,2.3,False,0.0,0,0,0,0,0,0,0,-1,0,0,,2.3
5,3S,,4.5,False,0.8,0,1,0,1,1,0,0,1,1,1,,5.3
6,3Lz,,6.6,True,0.0,0,0,0,-1,0,0,0,0,1,0,,6.6
7,SlSt2,,2.3,False,0.0,0,0,0,0,1,0,0,0,0,0,,2.3
8,LSp3,,1.8,False,0.5,1,1,1,1,1,1,1,1,1,1,,2.3
9,3F,,6.1,True,-0.4,0,0,-1,-1,-1,0,0,-1,0,0,,5.7
10,CoSp2,,2.1,False,0.0,0,-1,0,0,0,0,0,0,0,0,,2.1
11,SpSt3,,3.1,False,0.4,0,0,0,0,1,1,0,1,1,1,,3.5
12,2A+3S+SEQ,,6.8,True,0.0,0,0,0,0,0,0,0,0,0,0,,6.8
13,CCoSp2,,2.5,False,0.0,0,1,0,0,0,0,0,-1,0,1,,2.5
,,,57.2,,,,,,,,,,,,,,55.5
,Program Components,,,,Factor
,Skating Skills ,,,,1.6,7.0,7.0,7.0,7.0,6.75,6.5,6.75,7.0,7.0,7.0,,6.9
,Transition / Linking Footwork ,,,,1.6,6.25,6.5,6.75,6.5,6.5,6.25,6.5,6.75,6.5,7.0,,6.55
,Performance / Execution ,,,,1.6,6.5,6.75,6.75,6.75,6.75,6.75,7.0,7.0,7.0,7.0,,6.9
,Choreography / Composition ,,,,1.6,6.5,6.75,6.25,6.5,7.0,6.5,6.75,7.0,7.25,7.0,,6.85
,Interpretation ,,,,1.6,6.75,7.0,6.5,7.0,6.75,6.25,6.75,7.25,7.25,7.0,,6.95
,,,,,,,,,,,,,,,,,54.64
