PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
"",Total Total,,Total,Total
Rank Name,NOC Segment Element,,Program  Component,Deductions
"",Code Score Score,,Score (factored),
"",= +,,+,-
1 Dan ZHANG / Hao ZHANG,CHN 65.58 35.82,,29.76,0.00
"# Executed Base",GOE The Judges Panel,,,Scores
Elements Value,(in random order),,,of Panel
1 3Li4 4.0,1.00 2 2 2 1 2 2 2 2,,2 2 1 2,5.00
2 3LoTh 5.0,1.40 2 2 2 1 2 2 1 2,,2 2 2 2,6.40
3 FiDs3 3.2,0.70 1 1 1 1 2 1 1 1,,1 0 1 1,3.90
4 3S 4.5,1.00 1 1 1 0 1 2 0 1,,2 1 0 1,5.50
5 FCCoSp2 2.5,0.07 0 0 1 -1 1 -1 0 0,,0 0 0 0,2.57
6 CiSt3 3.1,0.21 1 0 1 1 0 0 0 1,,0 0 1 2,3.31
7 2Tw3 4.0,1.00 2 2 2 1 2 2 2 2,,2 2 2 2,5.00
8 PCoSp3 4.0,0.14 1 0 2 0 0 1 0 0,,0 0 0 1,4.14
30.3,,,,35.82
Program Components,Factor,,,
Skating Skills,0.80 8.00 7.75 8.25 7.50 7.50 7.75 7.50 7.50,,6.75 7.75 7.25 8.25,7.64
Transition / Linking Footwork,0.80 8.00 7.50 8.00 7.25 7.00 7.50 7.25 7.25,,5.75 7.00 7.25 8.00,7.39
Performance / Execution,0.80 8.00 7.50 8.25 7.25 7.25 7.50 7.50 7.75,,6.75 7.25 7.25 8.00,7.54
Choreography / Composition,0.80 8.00 7.50 7.75 7.25 7.25 7.25 7.50 7.25,,6.50 7.00 7.25 7.75,7.39
Interpretation,0.80 7.75 7.50 8.00 7.25 6.75 7.50 7.25 7.00,,6.25 7.00 7.00 7.75,7.25
Judges Total Program Component Score (factored),,,,29.76
Deductions:,,,,0.00
"",Total Total,,Total,Total
Rank Name,NOC Segment Element,,Program  Component,Deductions
"",Code Score Score,,Score (factored),
"",= +,,+,-
2 Qing PANG / Jian TONG,CHN 64.98 35.53,,29.45,0.00
"# Executed Base",GOE The Judges Panel,,,Scores
Elements Value,(in random order),,,of Panel
1 3T 4.0,0.29 1 0 1 0 0 -2 0 0,,1 1 0 1,4.29
2 3LoTh 5.0,1.10 2 1 2 -1 2 2 0 1,,2 1 1 2,6.10
3 FiDs4 3.5,1.10 1 1 2 1 2 2 1 1,,2 1 1 2,4.60
4 FCCoSp3 3.0,-0.06 0 -1 1 -1 0 -1 -1 0,,-1 0 0 1,2.94
5 3Li4 4.0,0.57 1 2 1 0 1 1 1 1,,0 1 1 2,4.57
6 2Tw3 4.0,0.86 2 2 2 0 2 2 1 1,,2 1 1 2,4.86
7 SlSt3 3.1,0.21 1 0 1 1 0 0 0 1,,0 0 1 1,3.31
8 PCoSp4 4.5,0.36 1 0 1 1 1 0 0 1,,1 1 1 2,4.86
31.1,,,,35.53
Program Components,Factor,,,
Skating Skills,0.80 7.50 7.50 8.00 7.50 7.25 7.50 7.25 7.25,,7.25 7.50 7.25 8.00,7.43
Transition / Linking Footwork,0.80 7.50 7.25 8.00 7.00 6.50 7.25 6.75 7.75,,6.50 7.50 7.50 7.75,7.25
Performance / Execution,0.80 7.50 7.25 8.25 7.25 7.00 7.50 7.00 7.50,,7.25 7.25 7.25 8.00,7.39
Choreography / Composition,0.80 7.50 7.25 7.75 7.25 7.00 7.25 7.25 7.25,,6.75 7.50 7.50 7.75,7.32
Interpretation,0.80 7.50 7.25 7.75 7.50 7.25 7.75 7.00 7.50,,7.25 7.50 7.25 8.00,7.43
Judges Total Program Component Score (factored),,,,29.45
Deductions:,,,,0.00
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
"",Total Total,,Total,Total
Rank Name,NOC Segment Element,,Program  Component,Deductions
"",Code Score Score,,Score (factored),
"",= +,,+,-
3 Maria PETROVA / Alexei TIKHONOV,RUS 63.04 33.99,,29.05,0.00
"# Executed Base GOE",The Judges Panel,,,Scores
Elements Value,(in random order),,,of Panel
1 3T 4.0 1.14,1 1 2 1 1 1 1 1,,2 2 1 1,5.14
2 2Tw3 4.0 0.43,1 0 1 0 1 0 1 1,,1 1 1 1,4.43
3 3LoTh 5.0 -0.40,-1 -1 1 -1 0 -1 -1 0,,-1 -1 -1 0,4.60
4 FCCoSp2 2.5 0.43,0 1 1 0 1 0 1 1,,1 0 0 1,2.93
5 PCoSp3 4.0 0.29,1 0 1 0 1 0 0 1,,1 1 1 0,4.29
6 3Li4 4.0 0.79,2 1 2 1 1 2 1 2,,2 2 1 2,4.79
7 SlSt3 3.1 0.21,1 0 2 1 0 0 1 1,,0 0 0 1,3.31
8 FiDs4 3.5 1.00,1 0 2 1 1 1 1 2,,2 0 1 2,4.50
30.1,,,,33.99
Program Components Factor,,,,
Skating Skills 0.80,7.75 7.25 8.00 8.00 7.25 7.25 8.00 7.50,,6.75 8.00 7.25 7.75,7.46
Transition / Linking Footwork 0.80,7.50 7.00 7.50 7.75 6.75 7.00 7.50 7.00,,6.00 7.50 6.25 7.00,6.93
Performance / Execution 0.80,7.75 7.50 8.00 8.00 7.00 7.25 8.00 7.50,,7.00 7.75 7.50 7.25,7.43
Choreography / Composition 0.80,7.75 7.25 7.75 7.75 7.00 7.00 8.00 7.25,,6.50 7.50 7.25 7.50,7.29
Interpretation 0.80,7.50 7.25 7.75 8.00 6.75 6.75 7.75 7.50,,6.75 7.75 7.25 7.25,7.21
Judges Total Program Component Score (factored),,,,29.05
Deductions:,,,,0.00
"",Total Total,,Total,Total
Rank Name,NOC Segment Element,,Program  Component,Deductions
"",Code Score Score,,Score (factored),
"",= +,,+,-
