ICE DANCING COMPULSORY DANCE,JUDGES DETAILS PER SKATER,,
"",Total Total Total,,Total
Rank Name,NOC Segment Element Program  Component,,Deductions
"",Code Score Score Score (factored),,
"",= + +,,-
1 Albena DENKOVA / Maxim STAVISKI,BUL 38.46 19.17 19.29,,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 1S1 1.7 0.41,2 1 2 1 2 1 1 1 2 1 1 1,,2.11
2 1S2 2.2 0.64,2 1 1 2 1 1 1 1 2 1 1 0,,2.84
3 1S3 2.6 0.50,2 1 2 1 1 0 1 1 2 0 1 1,,3.10
4 2S1 2.5 0.81,2 1 1 1 1 0 1 1 2 1 1 1,,3.31
5 2S2 3.0 0.81,1 1 2 2 0 1 1 1 2 1 1 1,,3.81
6 2S3 3.5 0.50,1 1 1 1 1 0 1 1 2 0 1 0,,4.00
15.5,,,19.17
Program Components Factor,,,
Skating Skills 0.75,8.50 8.00 7.75 7.75 8.00 7.50 8.00 8.00 8.25 7.50 7.75 7.50,,7.82
Timing 0.75,8.00 7.50 7.50 7.50 7.75 6.75 7.75 7.50 8.00 7.25 7.75 7.25,,7.57
Performance / Execution 0.50,8.25 7.75 7.50 7.75 7.75 7.25 8.00 7.75 8.50 7.25 7.75 7.50,,7.71
Interpretation 0.50,8.25 7.50 7.50 7.75 8.00 7.25 8.25 7.75 8.25 7.50 8.00 7.25,,7.75
Judges Total Program Component Score (factored),,,19.29
Deductions:,,,0.00
"",Total Total Total,,Total
Rank Name,NOC Segment Element Program  Component,,Deductions
"",Code Score Score Score (factored),,
"",= + +,,-
2 Marie-France DUBREUIL / Patrice LAUZON,CAN 38.31 18.93 19.38,,0.00
"# Executed Base GOE",The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 1S1 1.7 0.30,2 0 2 1 1 1 1 1 1 1 1 1,,2.00
2 1S2 2.2 0.57,2 1 1 1 0 1 1 1 2 1 1 1,,2.77
3 1S3 2.6 0.50,1 1 1 1 1 1 1 1 1 0 1 1,,3.10
4 2S1 2.5 0.83,2 0 2 2 1 0 1 2 1 1 2 1,,3.33
5 2S2 3.0 0.73,2 1 1 2 0 0 1 1 2 0 1 1,,3.73
6 2S3 3.5 0.50,1 1 1 1 1 0 0 1 0 0 1 1,,4.00
15.5,,,18.93
Program Components Factor,,,
Skating Skills 0.75,8.50 7.50 7.50 8.25 7.75 7.25 8.00 7.75 8.25 7.25 8.00 7.50,,7.79
Timing 0.75,8.25 7.25 7.25 8.00 7.25 7.25 7.75 7.75 8.00 7.25 7.75 7.25,,7.54
Performance / Execution 0.50,8.25 7.75 7.50 8.25 7.50 7.50 8.25 8.00 8.00 7.25 8.00 7.50,,7.79
