ISU Four Continents Championships 2012,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
Starting,,Total Total,,Total,Total,
Rank Name Nation Number,,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Patrick CHAN CAN  21,,185.99  95.83,,90.16,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T+3T  14.40  2.14 3 2 2,,1 2 3 2,,2 2,16.54,
2 4T  10.30  1.86 2 2 2,,1 2 2 2,,3 1,12.16,
3 3A  8.50  1.43 3 2 2,,1 1 2 1,,1 0,9.93,
4 CiSt4  3.90  1.50 2 3 2,,1 3 2 2,,2 2,5.40,
"",,Info,,,,Info
5 FCCoSp3  3.00  0.86 2 2 1,,1 2 2 2,,1 2,3.86,
6 3Lz+1Lo+3S  11.77 x  0.40 2 1 0,,1 0 -1 0,,1 1,12.17,
7 3Lo  5.61 x  1.00 2 3 1,,1 2 1 1,,2 1,6.61,
8 3F  5.83 x  1.10 2 3 1,,1 2 1 2,,2 1,6.93,
9 CSSp4  3.00  1.14 3 2 2,,2 3 2 3,,2 2,4.14,
10 3Lz  6.60 x -0.60 0 0 -1,,-1 -2 -1 -1,,-1 -1,6.00,
11 2A  3.63 x  0.93 2 3 1,,1 2 2 3,,2 1,4.56,
12 ChSt1  2.00  1.60 2 3 2,,2 3 2 3,,2 2,3.60,
13 CCoSp3  3.00  0.93 2 3 2,,1 2 2 2,,1 2,3.93,
81.54,,,,,95.83,
Program Components Factor,,,,,,
Skating Skills  2.00 8.75 9.50 8.75,,8.75 9.50 9.50 8.75,,9.00 9.00,9.04,
Transition / Linking Footwork  2.00 8.25 9.50 9.00,,8.75 9.25 8.75 8.75,,9.00 9.00,8.93,
Performance / Execution  2.00 8.75 9.50 8.50,,9.00 9.75 8.75 8.75,,9.25 9.25,9.04,
Choreography / Composition  2.00 8.50 9.75 8.75,,9.00 9.75 9.25 9.00,,9.00 9.00,9.11,
Interpretation  2.00 8.75 10.00 8.50,,8.75 9.50 9.00 8.50,,9.25 9.00,8.96,
Judges Total Program Component Score (factored),,,,,90.16,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting,,Total Total,,Total,Total,
Rank Name Nation Number,,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Daisuke TAKAHASHI JPN  20,,161.74  76.88,,84.86,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4T  10.30 -2.00 -2 -3 -2,,-2 -2 -2 -2,,-1 -2,8.30,
2 1A  1.10  0.06 1 0 0,,0 -1 1 0,,1 0,1.16,
3 3S  4.20  1.00 1 1 1,,2 2 2 2,,1 1,5.20,
4 CCSp3  2.80  0.57 1 1 1,,1 2 1 2,,0 1,3.37,
5 CiSt4  3.90  1.70 2 3 2,,2 3 3 3,,2 2,5.60,
6 FCCoSp4  3.50  0.79 2 2 2,,1 2 -2 1,,2 1,4.29,
7 3A<+3T <  11.11 x -0.86 0 -1 -1,,-1 -1 -1 -1,,0 -1,10.25,
8 3F+2T  7.26 x  0.70 0 1 1,,1 1 2 1,,1 1,7.96,
9 3Lo  5.61 x  0.60 0 1 0,,0 2 2 1,,1 1,6.21,
10 3Lz+2T+2Lo  10.01 x -0.40 0 -1 -1,,-1 -1 1 1,,-1 -1,9.61,
11 3F  5.83 x  1.00 1 2 1,,2 2 0 2,,1 1,6.83,
12 ChSt1  2.00  1.60 2 2 2,,1 3 3 2,,2 3,3.60,
13 CCoSp4  3.50  1.00 2 2 3,,2 3 2 1,,2 1,4.50,
71.12,,,,,76.88,
