ISU GP NHK Trophy 2017,,,
ICE DANCE FREE DANCE,JUDGES DETAILS PER SKATER,,
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
1 Tessa VIRTUE / Scott MOIR,CAN 8 117.72 59.86 57.86,,0.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 StaLi4 4.50 1.80,3 3 3 3 3 3 3 3 3,,6.30
2 STw4 6.60 1.71,2 3 3 2 3 3 3 3 3,,8.31
3 ChSp1 1.00 1.70,2 3 2 3 3 2 2 3 2,,2.70
4 CiSt4 8.60 2.20,1 2 2 2 3 2 2 2 2,,10.80
5 RoLi4 4.50 1.80,3 3 2 3 3 3 3 3 3,,6.30
6 Sp4 5.60 1.29,2 2 2 2 3 2 3 2 2,,6.89
7 DiSt3 7.10 2.36,2 2 2 3 2 2 3 2 2,,9.46
8 CuLi4 4.50 1.80,3 3 3 2 3 3 3 3 3,,6.30
9 ChLi1 1.00 1.80,3 3 2 3 3 2 2 3 2,,2.80
43.40,,,59.86
Program Components Factor,,,
Skating Skills 1.20,9.50 9.50 9.50 9.50 9.75 9.50 9.75 9.75 9.75,,9.61
Transitions 1.20,9.25 9.50 9.50 9.50 9.75 9.25 9.75 9.25 9.75,,9.50
Performance 1.20,9.50 9.75 9.50 9.75 10.00 9.75 9.75 9.75 10.00,,9.75
Composition 1.20,9.50 9.75 9.50 9.75 10.00 9.50 9.50 9.50 9.75,,9.61
Interpretation of the Music/Timing 1.20,9.50 9.75 9.75 10.00 10.00 9.50 9.75 9.50 10.00,,9.75
Judges Total Program Components Score (factored),,,57.86
Deductions:,,,0.00
Choreography restriction: (1 of 10),,,
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
2 Madison HUBBELL / Zachary DONOHUE,USA 10 112.04 57.64 54.40,,0.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 STw4 6.60 1.71,3 3 2 3 3 3 3 3 2,,8.31
2 SeSt4 8.60 2.51,2 2 2 2 3 3 3 2 2,,11.11
3 ChSp1 1.00 1.40,2 2 2 2 2 2 2 3 2,,2.40
4 DiSt3 7.10 2.20,2 2 2 2 2 2 2 2 2,,9.30
5 CuLi4 4.50 1.54,3 2 2 2 3 3 3 2 3,,6.04
6 Sp3 4.60 1.37,3 2 2 3 2 2 2 3 2,,5.97
7 SlLi4 4.50 1.54,3 2 3 2 2 3 3 3 2,,6.04
8 RoLi4 4.50 1.37,2 2 2 1 2 3 3 3 2,,5.87
9 ChTw1 1.00 1.60,2 2 3 2 2 2 3 3 2,,2.60
42.40,,,57.64
Program Components Factor,,,
Skating Skills 1.20,9.25 9.25 9.25 9.00 9.00 9.50 9.50 9.00 9.00,,9.18
Transitions 1.20,9.00 8.75 9.00 8.75 8.50 9.00 9.50 8.75 9.00,,8.89
Performance 1.20,9.50 8.75 8.75 9.00 9.00 9.50 9.25 9.00 9.25,,9.11
Composition 1.20,9.25 9.00 8.75 9.25 9.00 9.25 9.25 8.75 9.25,,9.11
Interpretation of the Music/Timing 1.20,9.25 8.75 8.75 9.25 8.75 9.50 9.50 8.75 9.00,,9.04
Judges Total Program Components Score (factored),,,54.40
Deductions:,,,0.00
Choreography restriction: (2 of 10),,,
Music requirements: (1 of 10),,,
ISU GP NHK Trophy 2017,,,
ICE DANCE FREE DANCE,JUDGES DETAILS PER SKATER,,
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
3 Anna CAPPELLINI / Luca LANOTTE,ITA 9 110.69 56.19 54.50,,0.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 StaLi4 4.50 1.46,2 3 3 2 2 2 2 3 3,,5.96
2 STw4 6.60 1.29,2 2 3 2 2 2 2 3 2,,7.89
3 SlLi4 4.50 1.20,2 2 2 2 2 2 2 3 2,,5.70
4 SeSt3 7.10 1.73,1 1 2 2 1 1 2 2 2,,8.83
5 CoSp4 5.60 1.11,2 2 2 2 1 1 2 2 2,,6.71
6 DiSt4 8.60 2.04,1 2 2 2 2 1 2 2 2,,10.64
7 CuLi4 4.50 1.46,2 2 3 2 2 2 3 3 3,,5.96
8 ChSp1 1.00 1.40,2 2 2 2 2 2 2 3 2,,2.40
9 ChLi1 1.00 1.10,1 2 2 1 1 1 2 2 2,,2.10
43.40,,,56.19
Program Components Factor,,,
Skating Skills 1.20,8.75 9.00 9.00 8.75 8.50 8.75 9.25 9.25 9.25,,8.96
Transitions 1.20,8.50 9.25 9.25 8.50 8.25 8.50 9.00 8.75 9.00,,8.79
Performance 1.20,8.75 9.50 9.75 9.00 8.75 9.00 9.50 9.50 9.25,,9.21
Composition 1.20,9.00 9.25 9.50 9.25 8.50 8.75 9.50 9.25 9.50,,9.21
Interpretation of the Music/Timing 1.20,8.75 9.50 9.75 9.25 8.75 9.00 9.25 9.50 9.50,,9.25
Judges Total Program Components Score (factored),,,54.50
Deductions:,,,0.00
Choreography restriction: (1 of 10),,,
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
4 Victoria SINITSINA / Nikita KATSALAPOV,RUS 6 104.66 51.69 52.97,,0.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 STw4 6.60 1.54,2 3 3 3 2 1 3 3 2,,8.14
2 CiSt3 7.10 2.04,1 2 2 2 2 1 2 2 2,,9.14
3 StaLi4 4.50 1.80,3 3 3 3 3 3 3 3 2,,6.30
4 ChSp1 1.00 1.20,1 2 1 2 2 2 2 2 1,,2.20
5 SlLi4 4.50 1.03,2 2 1 2 1 2 2 2 1,,5.53
6 CoSp4 5.60 1.20,2 2 1 2 2 2 2 2 2,,6.80
7 DiSt3 7.10 0.47,-1 0 0 1 0 1 1 1 0,,7.57
8 RoLi3 4.00 0.51,1 2 0 1 0 -1 2 1 1,,4.51
9 ChLi1 1.00 0.50,2 1 -1 1 1 1 1 0 0,,1.50
41.40,,,51.69
Program Components Factor,,,
Skating Skills 1.20,8.75 9.25 9.00 8.75 8.50 8.75 9.25 8.75 8.50,,8.82
Transitions 1.20,8.50 9.00 8.50 9.00 8.25 8.75 9.50 8.50 8.25,,8.64
Performance 1.20,8.75 9.50 8.50 8.75 8.50 9.00 9.00 8.75 8.25,,8.75
Composition 1.20,9.25 9.25 9.00 9.25 8.50 9.00 9.50 8.75 8.50,,9.00
Interpretation of the Music/Timing 1.20,8.75 9.50 8.75 9.25 8.75 9.25 9.25 8.50 8.50,,8.93
Judges Total Program Components Score (factored),,,52.97
Deductions:,,,0.00
Choreography restriction: (1 of 10),,,
ISU GP NHK Trophy 2017,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,
"",Total Total Total,,
Rank Name Nation,Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
5 Laurence FOURNIER BEAUDRY / Nikolaj SORENSENDEN,3 99.06 51.32 47.74,,0.00
"# Executed Info Base GOE J1",J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 StaLi4 4.50 0.94 0,1 2 2 2 2 1 2 1,,5.44
2 STw4 6.60 1.11 2,2 2 1 2 2 1 2 2,,7.71
3 CiSt3 7.10 1.10 1,1 1 1 1 1 0 1 1,,8.20
4 CoSp4 5.60 0.94 1,1 2 2 1 2 1 2 2,,6.54
5 CuLi4 4.50 1.03 2,2 2 2 2 2 1 1 1,,5.53
6 RoLi4 4.50 1.20 1,2 2 2 2 2 2 2 2,,5.70
7 MiSt3 7.10 1.10 2,1 2 -1 1 1 0 1 1,,8.20
8 ChSp1 1.00 1.20 2,2 3 2 2 2 1 1 1,,2.20
9 ChLi1 1.00 0.80 0,1 1 1 1 1 1 2 2,,1.80
41.90,,,51.32
Program Components Factor,,,
Skating Skills 1.20 8.25,7.75 8.50 7.75 7.75 7.75 7.50 8.00 8.00,,7.89
Transitions 1.20 8.00,7.50 8.50 7.50 7.50 7.75 7.75 7.50 8.00,,7.71
Performance 1.20 8.25,8.25 8.00 7.75 8.00 8.25 7.50 8.50 8.25,,8.11
Composition 1.20 8.50,7.75 8.00 7.75 8.00 8.25 7.50 7.75 8.00,,7.93
Interpretation of the Music/Timing 1.20 8.00,8.25 8.50 7.00 8.25 8.50 7.50 8.25 8.25,,8.14
Judges Total Program Components Score (factored),,,47.74
Deductions:,,,0.00
Music requirements: (1 of 10),,,
"",Total Total Total,,
Rank Name Nation,Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
6 Alexandra NAZAROVA / Maxim NIKITIN UKR,5 97.55 49.26 48.29,,0.00
"# Executed Info Base GOE J1",J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 SlLi4 4.50 1.29 2,2 2 2 1 3 3 2 2,,5.79
2 CiSt2 5.60 1.41 0,2 2 2 0 1 2 1 1,,7.01
3 STw4 6.60 0.34 0,0 1 1 0 1 1 0 1,,6.94
4 Sp4 5.60 1.03 1,2 2 2 0 2 2 1 2,,6.63
5 CuLi4 4.50 0.69 0,1 0 2 0 2 2 1 2,,5.19
6 StaLi4 4.50 0.94 1,2 2 3 0 2 2 1 1,,5.44
7 DiSt3 7.10 1.26 1,1 1 2 0 1 2 1 1,,8.36
8 ChLi1 1.00 1.20 1,2 2 2 0 2 2 1 2,,2.20
9 ChSp1 1.00 0.70 0,1 2 2 0 1 2 0 1,,1.70
40.40,,,49.26
Program Components Factor,,,
Skating Skills 1.20 7.50,8.00 8.50 8.25 7.25 8.00 8.25 7.75 8.25,,8.00
Transitions 1.20 7.25,8.00 8.00 8.00 7.25 8.00 8.50 7.75 8.00,,7.86
Performance 1.20 7.50,8.25 8.00 8.25 7.50 8.25 8.50 7.50 8.25,,8.00
Composition 1.20 8.25,8.25 8.50 8.50 7.50 8.25 8.50 8.00 8.50,,8.32
Interpretation of the Music/Timing 1.20 7.50,8.50 8.00 8.50 7.25 8.25 8.50 7.50 8.25,,8.07
Judges Total Program Components Score (factored),,,48.29
Deductions:,,,0.00
ISU GP NHK Trophy 2017,,,
ICE DANCE FREE DANCE,JUDGES DETAILS PER SKATER,,
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
7 Marie-Jade LAURIAULT / Romain LE GAC,FRA 4 94.83 49.48 45.35,,0.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 ChSp1 1.00 1.00,2 2 2 1 1 1 0 2 1,,2.00
2 RoLi4+StaLi4 9.00 2.74,3 2 3 2 2 2 2 2 3,,11.74
3 STw4 6.60 0.69,1 1 1 1 1 2 1 1 2,,7.29
4 CoSp4 5.60 1.03,2 2 2 1 1 2 1 2 2,,6.63
5 CiSt3 7.10 0.94,0 1 1 1 1 1 0 1 2,,8.04
6 CuLi4 4.50 0.69,-1 1 1 0 1 2 1 2 2,,5.19
7 DiSt2 5.60 0.79,0 0 0 1 1 0 1 2 2,,6.39
8 ChLi1 1.00 1.20,1 2 2 2 1 2 1 3 2,,2.20
40.40,,,49.48
Program Components Factor,,,
Skating Skills 1.20,7.50 7.50 6.75 7.25 7.50 7.50 7.25 7.50 7.75,,7.43
Transitions 1.20,7.50 7.25 6.50 7.00 7.50 7.25 7.25 7.75 7.75,,7.36
Performance 1.20,8.00 7.75 7.00 7.50 7.50 7.50 7.00 8.00 8.25,,7.61
Composition 1.20,8.25 7.50 6.75 7.50 7.75 7.75 6.75 8.50 8.25,,7.68
Interpretation of the Music/Timing 1.20,7.75 7.50 7.50 7.75 7.75 7.75 7.00 8.25 8.00,,7.71
Judges Total Program Components Score (factored),,,45.35
Deductions:,,,0.00
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
8 Kana MURAMOTO / Chris REED,JPN 2 94.59 48.62 45.97,,0.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 STw4 6.60 0.69,0 2 1 0 1 1 1 2 2,,7.29
2 CiSt2 5.60 0.49,-1 1 1 -1 1 1 0 0 1,,6.09
3 CoSp4 5.60 0.69,1 1 1 1 1 2 0 1 2,,6.29
4 ChSp1 1.00 0.90,0 2 2 1 1 1 0 2 2,,1.90
5 StaLi4 4.50 0.77,2 1 1 0 1 2 1 1 2,,5.27
6 SlLi4 4.50 1.03,2 1 2 2 1 2 1 2 2,,5.53
7 DiSt3 7.10 1.41,1 1 2 1 1 1 0 2 2,,8.51
8 RoLi4 4.50 0.94,2 2 1 1 1 2 1 2 2,,5.44
9 ChLi1 1.00 1.30,2 1 0 3 2 2 1 2 3,,2.30
40.40,,,48.62
Program Components Factor,,,
Skating Skills 1.20,7.75 7.50 7.25 7.25 7.50 7.75 7.50 7.50 8.00,,7.54
Transitions 1.20,7.50 7.50 7.25 7.25 7.25 7.50 7.25 7.50 7.75,,7.39
Performance 1.20,8.25 8.00 7.50 7.50 7.75 8.00 7.25 7.75 8.00,,7.79
Composition 1.20,8.25 7.75 7.50 7.75 7.50 8.00 7.50 7.75 8.25,,7.79
Interpretation of the Music/Timing 1.20,8.25 7.75 7.75 7.50 7.50 8.25 7.50 7.50 8.25,,7.79
Judges Total Program Components Score (factored),,,45.97
Deductions:,,,0.00
Music requirements: (1 of 10),,,
ISU GP NHK Trophy 2017,,,
ICE DANCE FREE DANCEJUDGES DETAILS PER SKATER,,,
"",Total Total Total,,
Rank Name Nation,Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
9 Penny COOMES / Nicholas BUCKLAND GBR,7 92.51 45.07 47.44,,0.00
"# Executed Info Base GOE J1",J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 ChSp1 1.00 0.90 0,1 1 1 2 2 1 3 1,,1.90
2 CoSp3 4.60 0.86 1,1 1 2 1 2 1 2 2,,5.46
3 CuLi4 4.50 1.37 2,2 3 2 2 3 2 3 2,,5.87
4 SeSt3 7.10 0.94 0,0 1 1 1 1 1 1 1,,8.04
5 SlLi3 4.00 1.29 2,2 2 2 3 3 2 2 2,,5.29
6 STw3 5.60 0.17 0,0 1 0 1 0 0 1 0,,5.77
