ISU GP NHK Trophy 2017,,,
MEN SHORT PROGRAM,JUDGES DETAILS PER SKATER,,
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
1 Sergei VORONOV,RUS 6 90.06 49.18 40.88,,0.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 4T+3T 14.60 2.00,2 2 2 2 1 2 2 2 2,,16.60
2 3Lz 6.00 -0.20,-1 -1 0 0 0 0 1 -1 0,,5.80
3 FCSp4 3.20 0.50,1 2 1 1 0 1 1 1 1,,3.70
4 3A 9.35 X 1.86,2 2 2 2 2 2 2 1 1,,11.21
5 CCoSp4 3.50 0.57,1 1 1 1 1 2 2 0 1,,4.07
6 StSq3 3.30 0.86,2 2 1 1 2 2 2 1 2,,4.16
7 CSSp4 3.00 0.64,1 1 2 1 1 2 2 1 1,,3.64
42.95,,,49.18
Program Components Factor,,,
Skating Skills 1.00,8.00 8.00 8.50 8.00 8.25 8.75 8.50 7.75 8.50,,8.25
Transitions 1.00,7.50 7.50 8.00 8.00 8.00 8.50 8.25 7.50 8.00,,7.89
Performance 1.00,8.25 7.75 8.50 8.50 8.50 8.75 8.75 7.50 8.50,,8.39
Composition 1.00,7.75 7.50 8.50 8.25 8.00 8.75 8.75 7.75 8.50,,8.21
Interpretation of the Music 1.00,8.00 7.50 8.25 8.50 8.25 8.75 8.50 7.50 8.00,,8.14
Judges Total Program Components Score (factored),,,40.88
Deductions:,,,0.00
"X Credit highlight distribution, base value multiplied by 1.1",,,
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
2 Alexei BYCHENKO,ISR 10 85.52 45.84 39.68,,0.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 3A 8.50 1.14,1 1 2 1 1 1 2 1 1,,9.64
2 4T 10.30 0.71,0 1 2 0 0 0 2 1 1,,11.01
3 CCoSp2V 2.00 0.14,0 0 1 1 0 1 0 0 0,,2.14
4 3Lz+3T 11.33 X 0.90,1 1 2 0 1 1 2 1 2,,12.23
5 FCSp3 2.80 0.36,1 1 1 0 0 1 1 0 1,,3.16
6 StSq3 3.30 0.86,2 2 2 3 1 2 2 1 1,,4.16
7 CSSp4 3.00 0.50,1 2 1 1 1 1 1 0 1,,3.50
41.23,,,45.84
Program Components Factor,,,
Skating Skills 1.00,8.00 8.00 8.25 7.50 7.50 8.25 8.50 7.50 8.00,,7.93
Transitions 1.00,7.50 7.75 8.00 7.00 7.25 8.00 8.25 7.50 6.75,,7.57
Performance 1.00,8.25 8.25 8.50 7.50 7.75 8.50 8.75 7.50 8.00,,8.11
Composition 1.00,7.75 8.25 8.75 7.50 7.25 8.50 8.75 7.75 8.00,,8.07
Interpretation of the Music 1.00,8.00 8.25 8.75 7.75 7.50 8.25 8.50 7.75 7.50,,8.00
Judges Total Program Components Score (factored),,,39.68
Deductions:,,,0.00
"X Credit highlight distribution, base value multiplied by 1.1",,,
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
3 Jason BROWN,USA 11 85.36 40.58 44.78,,0.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 3A 8.50 -1.57,-2 -2 -1 -1 -2 -2 -1 -1 -2,,6.93
2 3Lz 6.00 1.10,2 1 1 1 1 2 2 3 2,,7.10
3 FCSp4 3.20 1.29,3 3 2 2 2 2 3 3 3,,4.49
4 CSSp4 3.00 1.00,2 2 3 2 2 2 2 1 2,,4.00
5 3F+2T 7.26 X 1.10,1 1 2 2 2 1 2 2 1,,8.36
6 StSq4 3.90 1.80,3 3 2 2 3 2 3 2 3,,5.70
7 CCoSp3 3.00 1.00,2 2 2 2 2 2 2 2 2,,4.00
34.86,,,40.58
Program Components Factor,,,
Skating Skills 1.00,8.75 9.00 9.00 8.75 9.25 8.75 8.75 8.75 8.50,,8.82
Transitions 1.00,8.50 9.25 8.50 9.25 9.00 8.50 8.50 9.00 9.00,,8.82
Performance 1.00,8.50 9.00 8.75 9.00 9.25 9.25 9.00 8.50 9.00,,8.93
Composition 1.00,8.50 9.25 9.25 9.25 9.00 9.00 9.25 8.75 9.00,,9.07
Interpretation of the Music 1.00,8.75 9.25 9.00 9.25 9.25 9.25 9.25 8.75 9.25,,9.14
Judges Total Program Components Score (factored),,,44.78
Deductions:,,,0.00
"X Credit highlight distribution, base value multiplied by 1.1",,,
ISU GP NHK Trophy 2017,,,
MEN SHORT PROGRAM,JUDGES DETAILS PER SKATER,,
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
4 Adam RIPPON,USA 9 84.95 43.16 41.79,,0.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 3F+3T 9.60 1.10,1 1 2 2 1 2 2 2 1,,10.70
2 3A 8.50 0.43,0 0 0 0 1 1 1 1 0,,8.93
3 FCSp3 2.80 1.00,2 2 2 1 2 2 2 2 2,,3.80
4 3Lz 6.60 X 0.10,-1 0 1 0 -1 0 1 0 1,,6.70
5 CSSp4 3.00 1.07,2 2 3 3 2 2 2 2 2,,4.07
6 StSq4 3.90 1.60,2 3 2 3 3 2 2 2 2,,5.50
7 CCoSp4 3.50 -0.04,-2 2 -1 1 2 -2 -2 -1 0,,3.46
37.90,,,43.16
Program Components Factor,,,
Skating Skills 1.00,8.50 8.00 8.75 8.50 8.25 8.50 8.25 8.25 7.75,,8.32
Transitions 1.00,8.00 7.75 8.75 8.50 8.00 8.50 8.00 8.00 7.25,,8.11
Performance 1.00,8.00 8.00 9.00 9.00 8.50 9.00 8.25 8.25 7.75,,8.43
Composition 1.00,8.25 7.75 9.25 8.75 8.00 8.75 8.25 8.25 8.25,,8.36
Interpretation of the Music 1.00,8.50 8.25 9.00 9.00 8.25 9.00 8.50 8.50 8.25,,8.57
Judges Total Program Components Score (factored),,,41.79
Deductions:,,,0.00
"X Credit highlight distribution, base value multiplied by 1.1",,,
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
5 Keegan MESSING,CAN 3 80.13 42.37 38.76,,1.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 4T+3T 14.60 0.00,0 0 0 1 0 0 0 0 0,,14.60
2 3A 8.50 -3.00,-3 -3 -3 -3 -3 -3 -3 -3 -3,,5.50
3 FCSp3 2.80 1.14,2 2 3 3 2 2 3 2 2,,3.94
4 CSSp4 3.00 0.93,1 2 2 2 2 2 1 2 2,,3.93
5 StSq3 3.30 0.57,1 2 0 1 2 1 2 0 1,,3.87
6 3Lz 6.60 X 0.00,-1 -1 -1 1 0 1 1 -1 1,,6.60
7 CCoSp3 3.00 0.93,1 1 2 2 2 2 2 2 3,,3.93
41.80,,,42.37
Program Components Factor,,,
Skating Skills 1.00,7.50 7.50 7.25 8.25 7.75 7.75 8.25 7.50 8.00,,7.75
Transitions 1.00,7.25 7.50 7.00 7.25 7.50 8.00 8.00 7.00 8.00,,7.50
Performance 1.00,7.50 7.75 7.75 7.75 8.00 8.25 8.00 7.50 8.25,,7.86
Composition 1.00,7.50 7.25 8.00 7.75 7.50 8.00 8.25 7.50 8.25,,7.79
Interpretation of the Music 1.00,7.25 7.75 7.75 7.75 8.00 8.25 8.00 7.50 8.25,,7.86
Judges Total Program Components Score (factored),,,38.76
Deductions: Falls:  -1.00 (1),,,-1.00
"X Credit highlight distribution, base value multiplied by 1.1",,,
"",Total Total Total,,
Rank Name,Nation Starting Segment Element Program,,Deductions
"",Number Score Score Component,,
"",= + Score (factorized),,-
6 Kazuki TOMONO,JPN 2 79.88 43.80 36.08,,0.00
"# Executed Info Base GOE",J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref Scores of
Elements Value,,,Panel
1 4S 10.50 -0.86,-1 -1 -2 -1 -1 -1 0 0 0,,9.64
2 3F+3T 9.60 0.30,1 0 0 0 0 1 1 1 0,,9.90
3 CSSp4 3.00 0.29,1 1 1 0 0 0 0 1 1,,3.29
4 StSq2 2.60 0.43,1 1 2 1 1 1 1 0 0,,3.03
5 FCSp3 2.80 0.00,0 0 1 0 0 0 0 0 0,,2.80
6 3A 9.35 X 1.43,1 1 2 1 1 2 2 2 1,,10.78
7 CCoSp4 3.50 0.86,2 1 2 2 2 2 2 1 1,,4.36
41.35,,,43.80
Program Components Factor,,,
Skating Skills 1.00,7.25 7.00 8.25 7.50 7.25 7.50 7.25 7.00 7.25,,7.29
Transitions 1.00,7.00 6.50 7.75 7.50 6.75 7.00 7.00 6.75 6.50,,6.93
Performance 1.00,7.25 6.50 8.50 8.00 7.25 7.75 7.25 7.00 7.25,,7.39
