8
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
2,Kaitlyn WEAVER / Andrew POJE,CAN,7,65.59,32.83,32.76,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,Ref,Scores of Panel
1,1YP4+kpYYY,,7.0,False,0.17,1,0,1,0,0,1,0,0,,7.17
2,2YP3+kpYYN,,6.0,False,0.58,1,1,2,1,1,2,1,1,,6.58
3,STw4,,6.0,False,0.33,1,0,1,1,0,2,0,1,,6.33
4,NtMiSt3,,6.5,False,1.33,2,1,2,0,1,2,1,1,,7.83
5,RoLi4,,4.0,False,0.92,2,1,2,1,2,2,2,2,,4.92
,,,29.5,,,,,,,,,,,,32.83
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,8.75,7.75,8.5,8.5,7.75,8.0,8.0,8.25,,8.17
,Linking Footwork / Movement  ,,,,0.7,8.5,7.5,8.0,8.25,8.0,8.0,7.5,8.0,,7.96
,Performance  ,,,,0.7,8.75,8.0,8.25,8.5,8.0,8.25,8.25,8.5,,8.29
,Choreography  ,,,,0.8,8.5,7.75,8.0,8.75,8.5,8.25,7.75,8.5,,8.25
,Interpretation / Timing  ,,,,1.0,8.75,7.5,8.0,8.5,8.25,8.5,8.0,8.25,,8.25
,,,,,,,,,,,,,,,32.76
