ISU Four Continents Championships 2013,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
1 Kevin REYNOLDS CAN,21,172.21  92.21,,80.00,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4S  10.50  1.00 1 0,1,2 0 2 2,,1 0,11.50,
2 4T+3T  14.40  0.86 1 0,1,1 1 1 2,,1 0,15.26,
3 3A+3T  12.60  0.43 0 1,0,0 0 1 1,,1 0,13.03,
4 StSq3  3.30  0.57 1 2,1,2 0 1 2,,1 0,3.87,
"",,Info,,,,Info
5 CCSp4  3.20  0.43 1 1,1,1 0 1 0,,1 1,3.63,
6 4T  11.33 x  0.43 1 0,0,0 0 1 1,,1 0,11.76,
7 2A  3.63 x  0.00 0 0,0,0 0 0 0,,0 0,3.63,
8 3F  5.83 x  0.00 0 0,0,0 0 1 0,,0 0,5.83,
9 3Lz  6.60 x -0.20 -1 -1,-1,0 0 0 0,,0 0,6.40,
10 3S+2Lo  6.60 x  0.20 0 1,0,0 0 0 1,,1 0,6.80,
11 ChSq1  2.00  1.00 1 2,1,3 1 2 2,,1 0,3.00,
12 CCoSp4  3.50  0.93 2 1,2,2 2 2 2,,2 0,4.43,
13 FCCoSp2  2.50  0.57 1 2,1,1 2 0 2,,1 0,3.07,
85.99,,,,,92.21,
Program Components Factor,,,,,,
Skating Skills  2.00 7.00 7.75,8.00,7.50 7.75 7.50 8.25,,8.00 8.50,7.82,
Transition / Linking Footwork  2.00 6.75 7.75,7.75,8.25 7.75 7.25 8.25,,7.25 8.25,7.75,
Performance / Execution  2.00 7.50 8.25,8.25,8.00 8.00 7.75 9.00,,8.00 8.50,8.11,
Choreography / Composition  2.00 7.25 8.50,8.00,8.25 8.00 8.00 8.50,,7.75 8.50,8.14,
Interpretation  2.00 7.25 8.25,8.25,8.50 8.00 8.25 8.75,,7.50 8.50,8.18,
Judges Total Program Component Score (factored),,,,,80.00,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
"",Starting,Total Total,,Total,Total,
Rank Name Nation,Number,Segment Element,,Program  Component,Deductions,
"",,Score Score,,Score (factored),,
2 Max AARON USA,17,162.19  89.63,,72.56,0.00,
"# Executed Base GOE",,The Judges Panel,,,Ref Scores,
Elements Value,,(in random order),,,of Panel,
1 4S+3T  14.60  1.14 1 1,1,2 1 2 0,,1 1,15.74,
2 4S  10.50  1.43 1 1,2,2 1 2 0,,2 1,11.93,
3 FCCoSp3  3.00  0.29 0 1,1,0 1 1 0,,0 1,3.29,
4 StSq3  3.30  0.43 1 1,1,0 1 2 0,,1 1,3.73,
5 CCoSp4  3.50  0.29 0 1,1,0 1 1 0,,0 1,3.79,
6 3A+2T  10.78 x  0.71 0 1,1,1 0 1 0,,1 1,11.49,
7 3Lz  6.60 x  0.80 2 1,1,2 1 2 0,,1 0,7.40,
8 3A  9.35 x  1.00 2 1,0,1 1 1 1,,1 1,10.35,
9 FCSSp3  2.60  0.07 0 0,0,0 1 1 0,,0 0,2.67,
10 2A+1Lo+3S  8.80 x -0.60 -1 -1,-1,-1 -1 0 -1,,-1 0,8.20,
11 3F e  5.83 x -1.40 -3 -2,-2,-2 -2 -2 -1,,-2 -2,4.43,
12 ChSq1  2.00  0.20 0 1,0,0 0 1 0,,1 -2,2.20,
13 3Lo  5.61 x -1.20 -3 -1,-1,-3 -1 -1 -1,,-2 -3,4.41,
86.47,,,,,89.63,
Program Components Factor,,,,,,
