Cup of China,,,,,,
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
1 Tanith BELBIN / Benjamin AGOSTO,USA  98.41,51.90,,,46.51,0.00
"# Executed Base GOE",The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 SeLi4  6.40  1.00,2 2 2 2 2,2 1 2,,1,2 - -,7.40
2 STw4  4.70  0.70,2 2 1 1 2,1 0 2,,1,1 - -,5.40
3 CiSt4  8.00  1.20,1 2 1 1 2,1 1 1,,1,2 - -,9.20
4 Sp4  4.70  0.60,1 2 1 2 1,1 1 1,,0,1 - -,5.30
5 CuLi4+RoLi4  6.40  0.70,1 2 1 2 1,2 1 2,,1,2 - -,7.10
6 SlLi4  4.00  0.70,2 1 1 0 2,1 2 1,,1,1 - -,4.70
7 MiStNt4  7.00  1.20,1 2 1 1 2,1 1 1,,1,1 - -,8.20
8 RoLi4  4.00  0.60,1 2 1 1 1,2 1 1,,1,1 - -,4.60
45.20,,,,,,51.90
Program Components Factor,,,,,,
Skating Skills  1.25,7.75 8.25 7.50 7.50 8.25,8.00 7.50 7.50,,7.75,7.75 - -,7.80
Linking Footwork / Movement  1.75,7.50 7.75 7.25 7.50 7.75,7.75 7.00 7.50,,7.75,7.50 - -,7.55
Performance  1.00,7.75 8.25 7.50 7.50 8.25,8.50 7.50 7.75,,7.75,8.00 - -,7.85
Choreography  1.00,7.75 8.00 7.50 7.50 8.25,8.50 7.50 7.50,,7.75,7.50 - -,7.80
Interpretation / Timing  1.00,7.75 8.25 7.50 7.50 8.25,8.25 7.75 7.75,,8.00,8.25 - -,7.90
Judges Total Program Component Score (factored),,,,,,46.51
Deductions:,,,,,,0.00
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
2 Federica FAIELLA / Massimo SCALI,ITA  90.62,47.80,,,42.82,0.00
"# Executed Base GOE",The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 RoLi4  4.00  0.80,1 2 1 2 2,1 2 1,,1,1 - -,4.80
2 Sp4  4.70  0.30,1 0 0 1 1,0 1 1,,0,0 - -,5.00
3 MiStNt4  7.00  1.00,1 1 1 1 1,1 1 1,,0,1 - -,8.00
4 SeLi4  6.40  0.50,1 1 1 1 0,1 1 2,,1,1 - -,6.90
5 STw4  4.70  0.00,0 0 0 1 -1,0 0 -1,,0,0 - -,4.70
6 SlLi4+CuLi3  6.00  0.50,1 2 1 2 0,0 1 1,,1,2 - -,6.50
7 SeSt3  7.20  0.40,0 1 0 1 0,0 1 1,,0,1 - -,7.60
8 SlLi4  4.00  0.30,0 0 1 2 0,1 1 1,,1,1 - -,4.30
44.00,,,,,,47.80
Program Components Factor,,,,,,
Skating Skills  1.25,7.25 6.75 6.75 7.50 7.00,6.75 7.50 6.75,,6.75,7.00 - -,7.05
Linking Footwork / Movement  1.75,7.25 6.75 6.50 7.50 7.00,6.50 7.25 6.75,,6.75,6.75 - -,6.95
Performance  1.00,7.50 7.00 6.50 7.50 7.25,7.00 7.50 7.00,,7.00,7.25 - -,7.25
Choreography  1.00,7.75 6.75 6.75 7.75 7.50,7.00 7.75 7.00,,7.00,7.00 - -,7.35
Interpretation / Timing  1.00,7.50 6.75 6.75 7.75 7.50,6.75 7.75 7.00,,7.00,7.50 - -,7.25
Judges Total Program Component Score (factored),,,,,,42.82
Deductions:,,,,,,0.00
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
3 Oksana DOMNINA / Maxim SHABALIN,RUS  87.69,41.40,,,47.29,1.00
"# Executed Base GOE",The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 STw4  4.70  0.40,2 1 1 1 0,1 0 2,,2,1 - -,5.10
2 MiStNt2  5.40  1.00,1 2 1 1 0,1 1 0,,1,1 - -,6.40
3 CuLi4  4.00  0.80,2 1 1 2 1,2 2 2,,2,1 - -,4.80
