Cup of China,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,,Total Total,,Total,Total
NOC,,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
Code,,,Score Score,,Score (factored),
"",,,= +,,+,-
1 Qing PANG / Jian TONG CHN,,,111.27  55.59,,55.68,0.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
Elements Value,,,(in random order),,,of Panel
1 3T<  1.30 -0.68 0 -2 -3,,-2,-3 -2 -2 -2,,-2 -1 - -,0.62
2 2A+1A+SEQ  3.44 -1.44 0 -2 -3,,-2,-2 -2 -2 -1,,-2 -2 - -,2.00
3 3LzTw1  5.00  1.40 1 2 2,,2,2 2 2 2,,2 2 - -,6.40
4 5TLi3  5.50  0.20 2 1 0,,0,0 1 0 1,,0 1 - -,5.70
5 FCCoSp3  3.00  0.50 1 1 1,,1,1 1 1 0,,1 1 - -,3.50
6 SpSq4  3.40  0.80 1 1 1,,0,1 1 0 1,,1 1 - -,4.20
7 3STh  4.95 x  1.26 1 2 2,,1,2 2 2 2,,3 2 - -,6.21
8 3LoTh  5.50 x  1.40 2 3 2,,2,2 2 2 2,,3 2 - -,6.90
9 5ALi4  6.50  0.80 2 1 0,,1,1 1 0 1,,1 2 - -,7.30
10 SlSt1  1.80  0.50 1 1 1,,1,1 1 1 1,,1 1 - -,2.30
11 3Li3  3.50  0.10 1 0 0,,0,0 1 0 1,,1 1 - -,3.60
12 BoDs1  3.00 -0.14 1 0 0,,-1,-1 0 -1 1,,0 1 - -,2.86
13 PCoSp3  4.00  0.00 0 0 0,,0,-1 0 0 1,,1 0 - -,4.00
50.89,,,,,,55.59
Program Components Factor,,,,,,
Skating Skills  1.60 6.75 7.00 7.75,,7.00,7.00 7.00 6.75 7.50,,7.50 7.50 - -,7.05
Transition / Linking Footwork  1.60 6.25 6.50 7.50,,6.75,6.75 6.75 6.25 7.25,,7.25 7.00 - -,6.70
Performance / Execution  1.60 7.00 6.75 7.75,,7.00,7.25 7.00 6.50 7.50,,7.25 7.25 - -,7.10
Choreography / Composition  1.60 7.00 6.75 7.50,,6.50,7.25 7.25 6.50 7.25,,7.25 7.00 - -,6.95
Interpretation  1.60 7.00 6.75 7.75,,6.75,7.00 7.00 6.50 7.50,,7.25 7.00 - -,7.00
Judges Total Program Component Score (factored),,,,,,55.68
Deductions:,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,,Total Total,,Total,Total
NOC,,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
Code,,,Score Score,,Score (factored),
"",,,= +,,+,-
2 Keauna McLAUGHLIN / Rockne BRUBAKER USA,,,95.44  49.52,,47.92,2.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
Elements Value,,,(in random order),,,of Panel
1 3LzTw2  5.50  0.84 1 1 2,,1,1 2 2 1,,1 1 - -,6.34
2 3STh<  2.50 -1.00 -3 -3 -3,,-3,-3 -3 -3 -3,,-3 -3 - -,1.50
3 3Li2  3.00 -0.48 -1 -1 -2,,-2,-2 0 -3 -1,,-2 -1 - -,2.52
4 2A  3.50  0.00 0 1 0,,0,0 0 0 0,,0 1 - -,3.50
5 3S<+SEQ  1.04 -1.00 -2 -3 -3,,-3,-3 -3 -3 -3,,-3 -3 - -,0.04
6 PCoSp4  4.50  0.00 0 0 0,,0,0 1 0 1,,1 0 - -,4.50
7 SpSq4  3.40  0.00 0 1 0,,0,0 1 0 0,,0 1 - -,3.40
8 3LoTh  5.50 x -1.40 -1 -2 -2,,-2,-3 -2 -2 -2,,-2 -2 - -,4.10
9 5TLi4  6.00  0.50 0 1 1,,1,1 1 1 1,,1 2 - -,6.50
10 CCoSp4  3.50 -0.06 0 0 -1,,1,0 1 -1 0,,1 1 - -,3.44
11 SlSt2  2.30  0.00 0 0 0,,0,0 0 0 0,,0 1 - -,2.30
12 5ALi4  6.50  1.40 1 1 2,,1,1 2 2 2,,1 2 - -,7.90
13 BiDs3  3.20  0.28 1 1 0,,0,0 1 1 0,,1 1 - -,3.48
50.44,,,,,,49.52
Program Components Factor,,,,,,
Skating Skills  1.60 5.25 6.25 6.50,,6.50,6.25 6.50 6.00 7.00,,6.75 6.75 - -,6.30
