Cup of China,,,,,
ICE DANCING ORIGINAL DANCE,JUDGES DETAILS PER SKATER,,,,
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
1 Oksana DOMNINA / Maxim SHABALIN,RUS  62.20  32.30,,,29.90,0.00
"# Executed Base",GOE The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 Sp4  4.70,0.80 1 2 2 1 2 1 1 1,,2,1 - -,5.50
2 NtMiTw4  3.30,0.70 1 1 1 2 2 2 1 0,,1,1 - -,4.00
3 NtMiSt4  4.30,0.80 1 2 2 1 1 1 1 0,,2,2 - -,5.10
4 SlLi4  4.00,0.90 2 1 2 1 2 2 2 2,,2,2 - -,4.90
5 CiSt3  7.20,0.80 2 1 1 0 1 1 1 1,,2,0 - -,8.00
6 RoLi4  4.00,0.80 1 2 1 1 2 2 2 2,,1,2 - -,4.80
27.50,,,,,32.30
Program Components,Factor,,,,
Skating Skills,0.80 7.75 8.00 8.00 7.75 7.50 7.75 8.00 7.50,,8.00,8.25 - -,7.90
Linking Footwork / Movement,0.80 7.75 7.75 7.75 7.50 7.75 7.50 8.25 7.75,,7.50,8.00 - -,7.65
Performance,0.60 8.00 8.25 8.00 7.50 8.00 7.50 8.25 7.75,,8.00,8.50 - -,7.95
Choreography,0.60 7.75 8.50 7.75 7.50 7.75 7.75 8.50 8.25,,7.75,8.50 - -,7.90
Interpretation / Timing,1.00 8.25 8.25 7.75 7.75 8.00 7.75 8.50 8.25,,8.00,8.25 - -,7.95
Judges Total Program Component Score (factored),,,,,29.90
Deductions:,,,,,0.00
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
2 Tanith BELBIN / Benjamin AGOSTO,USA  60.81  31.90,,,28.91,0.00
"# Executed Base",GOE The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 Sp4  4.70,0.50 1 0 1 2 1 1 1 0,,1,1 - -,5.20
2 CuLi4  4.00,0.60 1 1 0 1 2 1 1 0,,1,2 - -,4.60
3 CiSt3  7.20,1.20 2 1 1 2 1 1 1 1,,2,1 - -,8.40
4 NtMiTw4  3.30,0.90 1 1 2 2 2 2 0 0,,2,1 - -,4.20
5 NtMiSt4  4.30,0.60 1 1 1 2 1 1 1 1,,2,1 - -,4.90
6 RoLi4  4.00,0.60 1 1 1 2 1 1 1 1,,1,2 - -,4.60
27.50,,,,,31.90
Program Components,Factor,,,,
Skating Skills,0.80 7.75 7.50 7.50 8.00 7.25 7.50 7.25 7.50,,7.75,8.00 - -,7.65
Linking Footwork / Movement,0.80 7.50 7.25 7.25 7.75 7.25 7.25 6.75 7.50,,7.50,7.75 - -,7.40
Performance,0.60 7.75 7.50 7.25 8.00 7.50 7.25 7.50 7.50,,7.75,8.25 - -,7.60
Choreography,0.60 7.50 7.75 7.00 8.25 7.50 7.50 7.50 7.50,,7.00,8.25 - -,7.60
Interpretation / Timing,1.00 8.00 7.75 7.25 8.25 7.50 7.50 7.25 7.50,,8.00,8.00 - -,7.75
Judges Total Program Component Score (factored),,,,,28.91
Deductions:,,,,,0.00
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
3 Federica FAIELLA / Massimo SCALI,ITA  56.94  30.60,,,26.34,0.00
"# Executed Base",GOE The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 RoLi4  4.00,0.50 1 1 0 1 1 1 2 1,,2,1 - -,4.50
2 NtMiTw4  3.30,0.50 1 1 1 1 2 1 0 0,,1,1 - -,3.80
3 NtMiSt4  4.30,0.40 1 1 0 1 1 0 1 0,,1,1 - -,4.70
4 Sp4  4.70,0.20 0 0 1 0 1 0 -1 0,,0,1 - -,4.90
5 CuLi4  4.00,0.50 1 1 1 1 2 1 2 0,,0,1 - -,4.50
6 CiSt3  7.20,1.00 1 1 2 1 1 1 1 1,,1,0 - -,8.20
27.50,,,,,30.60
Program Components,Factor,,,,
Skating Skills,0.80 6.75 7.25 6.75 7.00 7.25 6.50 7.00 6.50,,6.50,7.00 - -,6.90
Linking Footwork / Movement,0.80 7.00 7.25 6.50 6.75 7.50 6.25 7.25 6.50,,6.50,6.75 - -,6.75
Performance,0.60 6.75 7.50 6.50 7.00 7.50 6.25 7.50 6.50,,6.50,7.50 - -,7.00
Choreography,0.60 7.00 7.50 6.50 7.00 7.50 6.50 7.25 7.00,,6.25,7.25 - -,6.95
