Cup of China,,,,,,
PAIRS SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
1 Qing PANG / Jian TONG,CHN,65.48  37.08,,,28.40,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3T  4.00  0.40,1 0 0 0,1 0 1 0,,1,1 - -,4.40
2 3LzTw1  5.00  1.26,2 1 2 2,2 2 2 1,,2,-1 - -,6.26
3 3LoTh  5.00  1.40,2 2 2 2,2 2 2 0,,2,2 - -,6.40
4 FCCoSp3  3.00  0.60,0 1 1 1,1 2 1 1,,1,2 - -,3.60
5 CiSt1  1.80  0.50,0 1 1 1,1 1 2 0,,0,1 - -,2.30
6 5ALi4  6.50  1.00,1 1 1 1,1 1 0 1,,1,1 - -,7.50
7 BiDs3  3.20  0.42,1 0 0 1,1 1 1 1,,0,0 - -,3.62
8 PCoSp1  3.00  0.00,0 0 0 0,1 0 0 0,,0,0 - -,3.00
31.50,,,,,,37.08
Program Components Factor,,,,,,
Skating Skills  0.80,6.75 6.75 7.50 7.50,6.75 7.75 7.50 6.50,,7.25,7.00 - -,7.25
Transition / Linking Footwork  0.80,6.25 6.25 7.25 7.00,6.00 7.25 7.00 6.50,,6.25,6.75 - -,6.85
Performance / Execution  0.80,6.50 6.50 7.25 7.50,6.75 7.75 7.75 6.50,,7.00,6.50 - -,7.15
Choreography / Composition  0.80,6.50 6.50 7.50 7.25,6.50 7.50 7.25 7.00,,6.75,6.75 - -,7.05
Interpretation  0.80,6.75 6.75 7.25 7.50,6.50 7.75 7.50 7.00,,7.00,7.00 - -,7.20
Judges Total Program Component Score (factored),,,,,,28.40
Deductions:,,,,,,0.00
e  Jump take off with wrong edge,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
2 Keauna McLAUGHLIN / Rockne BRUBAKER,USA,59.22  34.62,,,25.60,1.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 BiDs3  3.20  0.70,1 1 1 1,1 1 2 1,,2,1 - -,3.90
2 3LzTw2  5.50  0.84,-1 2 1 2,1 1 1 0,,1,1 - -,6.34
3 3S<  1.30 -1.00,-3 -3 -3 -3,-3 -3 -3 -3,,-3,-3 - -,0.30
4 5ALi4  6.50  1.60,0 1 2 1,2 2 2 1,,2,1 - -,8.10
5 3STh  4.50  0.98,1 1 1 1,2 2 2 1,,1,1 - -,5.48
6 CCoSp3  3.00  0.00,0 0 0 0,0 -1 0 -1,,-1,0 - -,3.00
7 SlSt2  2.30  0.20,0 1 0 0,1 0 1 0,,1,0 - -,2.50
8 PCoSp4  4.50  0.50,0 1 1 0,1 1 1 0,,0,1 - -,5.00
30.80,,,,,,34.62
Program Components Factor,,,,,,
Skating Skills  0.80,6.00 6.25 7.25 6.75,6.00 6.75 7.00 5.25,,7.00,4.75 - -,6.55
Transition / Linking Footwork  0.80,5.00 6.00 7.00 6.00,5.75 6.25 6.50 5.50,,6.00,4.50 - -,6.10
Performance / Execution  0.80,5.50 6.00 7.00 6.50,6.25 6.50 7.25 5.50,,6.50,4.25 - -,6.45
Choreography / Composition  0.80,5.25 6.25 7.25 6.25,6.00 6.50 7.00 5.50,,6.25,4.75 - -,6.40
Interpretation  0.80,5.25 6.25 7.00 6.50,6.25 6.50 7.25 5.75,,6.50,4.75 - -,6.50
Judges Total Program Component Score (factored),,,,,,25.60
Deductions: Falls:,-1.00,,,,,-1.00
e  Jump take off with wrong edge,,,,,,
"",,Total Total,,,Total,Total
"",NOC,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code,Score Score,,,Score (factored),
"",,= +,,,+,-
3 Jessica MILLER / Ian MORAM,CAN,50.46  30.34,,,20.12,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 2A  3.50  0.00,0 0 0 0,0 0 0 0,,0,0 - -,3.50
2 5ALi4  6.50  0.60,0 0 1 1,1 0 1 0,,0,0 - -,7.10
