ISU European Figure Skating Championships,,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,,
"",,Total Total,,,,Total,Total,
NOC,,Segment Element,,,,Program  Component,Deductions,
Rank Name,,,,,,,,
Code,,Score Score,,,,Score (factored),,
"",,= +,,,,+,-,
1 Carolina KOSTNER ITA,,114.06  53.50,,,,60.56,0.00,
"# Executed Base GOE",,The Judges Panel,,,,,Scores,
Elements Value,,(in random order),,,,,of Panel,
1 3F+2T  6.80  0.40 -1 1 1,0,0 0 0 1,,,0,- - -,7.20,
2 3Lz+2T+2Lo  8.80  0.40 1 1 1,0,-1 1 1 0 Info,,,0,- - -,9.20,Info
3 2F  1.70  0.00 0 0 0,0,0 0 0 0,,,0,- - -,1.70,
4 3Lo  5.00 -0.20 0 1 0,-1,-1 -1 0 0,,,0,- - -,4.80,
5 CCoSp4  3.50  0.40 1 0 1,1,0 1 1 1,,,1,- - -,3.90,
6 2A+2T  5.28 x  0.40 0 1 0,0,1 1 1 0,,,0,- - -,5.68,
7 3S  4.95 x  1.00 1 1 1,1,1 1 1 1,,,1,- - -,5.95,
8 CCoSp3* *  0.00  0.00 - - -,-,- - - -,,,-,- - -,0.00,
9 SlSt3  3.30  0.80 1 2 1,1,2 1 2 2,,,1,- - -,4.10,
10 SpSq4  3.40  1.60 1 1 1,2,2 1 2 2,,,1,- - -,5.00,
11 2A  3.85 x -0.48 -1 0 0,-1,-1 0 -1 0,,,-1,- - -,3.37,
12 FSSp3  2.60  0.00 0 0 0,0,-1 0 1 0,,,0,- - -,2.60,
49.18,,,,,,,53.50,
Program Components Factor,,,,,,,,
Skating Skills  1.60 7.25 7.75 7.25,8.50,8.00 7.50 7.75 7.75,,7.50,,- - -,7.75,
Transition / Linking Footwork  1.60 6.75 7.25 7.00,7.75,7.00 6.75 7.00 7.25,,7.00,,- - -,7.10,
Performance / Execution  1.60 7.25 7.75 7.25,8.00,7.75 7.50 7.50 7.50,,7.50,,- - -,7.60,
Choreography / Composition  1.60 7.00 8.00 7.25,8.00,8.00 7.25 7.75 7.75,,7.50,,- - -,7.80,
Interpretation  1.60 7.25 7.75 7.25,8.25,7.50 7.25 7.50 7.50,,7.75,,- - -,7.60,
Judges Total Program Component Score (factored),,,,,,,60.56,
Deductions:,,,,,,,0.00,
"*  Invalid elementx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,
"",,Total Total,,,,Total,Total,
NOC,,Segment Element,,,,Program  Component,Deductions,
Rank Name,,,,,,,,
Code,,Score Score,,,,Score (factored),,
"",,= +,,,,+,-,
2 Laura LEPISTÖ FIN,,110.70  52.14,,,,58.56,0.00,
"# Executed Base GOE",,The Judges Panel,,,,,Scores,
Elements Value,,(in random order),,,,,of Panel,
1 2A  3.50  1.00 1 1 1,2,1 1 0 1,,,1,- - -,4.50,
2 3T+2T  5.30  0.80 1 2 1,1,0 1 1 0,,,1,- - -,6.10,
3 1Lz  0.60 -0.02 -1 0 0,-1,-1 0 0 0,,,0,- - -,0.58,
4 FSSp4  3.00  0.50 0 1 1,1,0 1 1 1,,,1,- - -,3.50,
5 3Lo  5.00 -0.60 -1 0 0,-1,-1 0 -1 0,,,-1,- - -,4.40,
6 SpSq4  3.40  0.60 0 1 1,0,1 1 0 1,,,0,- - -,4.00,
7 3Lo+2T  6.93 x  0.20 0 1 0,0,0 1 0 0,,,1,- - -,7.13,
8 2A  3.85 x  0.40 1 1 1,1,0 1 0 0,,,0,- - -,4.25,
9 LSp3  2.40  0.80 2 2 1,1,2 1 1 2,,,2,- - -,3.20,
10 3S+2T  6.38 x  0.00 0 1 0,-1,0 0 0 0,,,0,- - -,6.38,
11 CiSt3  3.30  0.50 0 2 0,2,1 1 1 0,,,1,- - -,3.80,
12 CCoSp4  3.50  0.80 1 2 1,1,2 2 1 2,,,2,- - -,4.30,
47.16,,,,,,,52.14,
Program Components Factor,,,,,,,,
Skating Skills  1.60 7.00 7.75 7.00,8.00,7.50 7.50 6.50 7.25,,7.25,,- - -,7.35,
Transition / Linking Footwork  1.60 6.75 7.50 6.75,7.50,7.25 7.25 6.50 7.00,,6.75,,- - -,7.05,
Performance / Execution  1.60 7.00 8.00 7.00,8.00,7.50 7.75 6.25 7.50,,7.50,,- - -,7.50,
