ISU European Figure Skating Championships,,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,,
"",,Total Total,,,,Total,Total,
NOC,,Segment Element,,,,Program  Component,Deductions,
Rank Name,,,,,,,,
Code,,Score Score,,,,Score (factored),,
"",,= +,,,,+,-,
1 Aliona SAVCHENKO / Robin SZOLKOWY GER,,132.43  67.71,,,,64.72,0.00,
"# Executed Base GOE",,The Judges Panel,,,,,Scores,
Elements Value,,(in random order),,,,,of Panel,
1 3T+3T+SEQ  6.40  1.40 1 2 1,1,1 2 2 2,,,2,- - -,7.80,
2 3FTh  5.50  1.40 2 2 2,1,2 2 2 3 Info,,,3,- - -,6.90,Info
3 2S  1.30 -0.62 -2 -2 -2,-3,-3 -1 -1 -1,,,-2,- - -,0.68,
4 FCCoSp4  3.50  0.40 0 1 1,1,1 1 0 1,,,1,- - -,3.90,
5 BoDs3  4.00  0.84 1 1 1,1,1 1 2 2,,,2,- - -,4.84,
6 CiSt3  3.30  0.90 1 2 0,2,2 2 2 3,,,2,- - -,4.20,
7 3LzTw2  6.05 x  1.12 1 1 1,2,2 2 1 2,,,2,- - -,7.17,
8 5ALi4  7.15 x  1.60 1 2 1,2,2 2 1 2,,,2,- - -,8.75,
9 5TLi4  6.60 x  0.60 1 2 2,1,2 0 1 2,,,1,- - -,7.20,
10 PCoSp4  4.50  0.50 1 2 1,1,2 1 1 2,,,1,- - -,5.00,
11 3Li4  4.40 x  0.80 1 2 1,2,2 2 2 3,,,1,- - -,5.20,
12 3STh  4.95 x  1.12 1 2 1,2,1 3 2 2,,,2,- - -,6.07,
57.65,,,,,,,67.71,
Program Components Factor,,,,,,,,
Skating Skills  1.60 7.50 8.00 8.50,7.50,8.25 8.50 8.00 8.50,,7.75,,- - -,8.00,
Transition / Linking Footwork  1.60 7.25 8.00 8.50,7.50,8.00 8.75 7.75 9.00,,7.75,,- - -,7.90,
Performance / Execution  1.60 7.50 8.25 8.50,7.50,8.50 9.25 7.75 8.75,,8.50,,- - -,8.15,
Choreography / Composition  1.60 7.50 8.50 8.50,8.00,8.50 8.75 7.75 8.50,,8.00,,- - -,8.15,
Interpretation  1.60 7.75 9.00 8.50,7.75,8.75 8.75 7.75 8.75,,8.50,,- - -,8.25,
Judges Total Program Component Score (factored),,,,,,,64.72,
Deductions:,,,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,
"",,Total Total,,,,Total,Total,
NOC,,Segment Element,,,,Program  Component,Deductions,
Rank Name,,,,,,,,
Code,,Score Score,,,,Score (factored),,
"",,= +,,,,+,-,
2 Yuko KAWAGUCHI / Alexander SMIRNOV RUS,,117.39  58.59,,,,58.80,0.00,
"# Executed Base GOE",,The Judges Panel,,,,,Scores,
Elements Value,,(in random order),,,,,of Panel,
1 3T+3T<+SEQ <  4.24 -2.00 -1 -1 -3,-2,-2 -2 -2 -1,,,-2,- - -,2.24,
2 3LzTw1  5.00 -0.42 -1 -2 -2,-1,1 -1 -1 -1,,,1,- - -,4.58,
3 4STh  8.00 -1.60 -1 -1 -2,-1,-2 -2 -2 -2,,,-1,- - -,6.40,
4 5ALi4  6.50  1.40 2 2 1,1,2 1 1 3,,,2,- - -,7.90,
5 3Li4  4.00  0.80 2 2 1,2,1 0 2 2,,,2,- - -,4.80,
6 FiDs4  3.50  0.42 1 1 0,1,1 0 1 0,,,0,- - -,3.92,
7 2A  3.85 x  0.00 1 1 0,0,0 0 0 1,,,0,- - -,3.85,
8 3LoTh  5.50 x  0.70 1 1 1,1,1 1 1 0,,,1,- - -,6.20,
9 5SLi4  6.60 x  0.90 2 2 1,2,2 1 2 2,,,2,- - -,7.50,
10 FCCoSp4  3.50  0.10 0 0 0,1,0 0 1 2,,,0,- - -,3.60,
11 SlSt3  3.30  0.50 1 1 1,1,1 0 1 2,,,1,- - -,3.80,
12 PCoSp2  3.50  0.30 1 1 -1,0,1 0 1 2,,,1,- - -,3.80,
57.49,,,,,,,58.59,
Program Components Factor,,,,,,,,
Skating Skills  1.60 7.50 7.50 7.25,7.00,7.50 7.25 7.50 8.25,,7.50,,- - -,7.40,
Transition / Linking Footwork  1.60 7.25 7.00 7.25,7.00,6.75 7.50 7.50 8.50,,7.25,,- - -,7.25,
Performance / Execution  1.60 7.75 7.75 7.25,6.75,7.00 7.25 7.50 7.75,,7.50,,- - -,7.30,
Choreography / Composition  1.60 7.75 7.75 7.25,7.25,7.00 7.50 7.50 8.50,,7.50,,- - -,7.40,
Interpretation  1.60 7.75 7.75 7.25,7.00,7.25 7.25 7.50 7.75,,7.75,,- - -,7.40,
Judges Total Program Component Score (factored),,,,,,,58.80,
Deductions:,,,,,,,0.00,
"<  Downgraded jumpx  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,,
ISU European Figure Skating Championships,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
3 Tatiana VOLOSOZHAR / Stanislav MOROZOV UKR,,115.14  57.30,,,57.84,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3T+2T+SEQ  4.24 -2.00 -2 -2 -1,-2,-3 -2 -2 -2,,,-2 - - -,2.24,
2 2S  1.30 -0.48 -2 -2 0,-3,-2 -2 0 -2 Info,,,-2 - - -,0.82,Info
3 3LoTh  5.00  1.24 1 2 2,1,2 1 3 3,,,3 - - -,6.24,
4 3Li4  4.00  0.60 2 1 1,0,2 0 1 2,,,2 - - -,4.60,
5 PCoSp3  4.00  0.30 0 1 1,1,1 0 1 2,,,0 - - -,4.30,
6 5ALi4  6.50  1.40 1 2 1,2,2 1 1 2,,,2 - - -,7.90,
7 3LzTw2  6.05 x  0.84 0 1 2,1,2 0 2 0,,,1 - - -,6.89,
8 3STh  4.95 x  1.26 1 2 2,1,3 2 2 3,,,2 - - -,6.21,
9 FCCoSp4  3.50  0.30 1 1 1,0,1 0 1 2,,,0 - - -,3.80,
10 SlSt3  3.30  0.10 1 1 0,0,1 0 0 2,,,0 - - -,3.40,
11 5TLi4  6.60 x  0.40 0 1 1,1,1 0 1 1,,,1 - - -,7.00,
12 FiDs3  3.20  0.70 1 1 1,1,1 1 1 2,,,1 - - -,3.90,
52.64,,,,,,57.30,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.25 7.00 7.75,7.00,7.75 7.75 7.50 7.75,,7.00,- - -,7.45,
Transition / Linking Footwork  1.60 6.75 6.50 7.50,7.00,6.75 7.50 7.00 7.25,,7.00,- - -,7.05,
Performance / Execution  1.60 7.00 7.00 7.75,7.25,7.00 7.50 7.25 7.50,,7.25,- - -,7.25,
Choreography / Composition  1.60 7.25 7.25 7.75,7.25,6.75 7.50 7.25 7.50,,7.25,- - -,7.30,
Interpretation  1.60 7.00 7.25 7.75,7.00,6.75 7.50 7.25 7.00,,6.75,- - -,7.10,
Judges Total Program Component Score (factored),,,,,,57.84,
Deductions:,,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
4 Maria MUKHORTOVA / Maxim TRANKOV RUS,,112.45  54.49,,,58.96,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3LzTw1  5.00  0.70 1 -1 0,1,2 0 1 2,,,2 - - -,5.70,
2 3T+1T  4.40 -1.40 -1 -1 -2,-3,-1 -2 -1 -1,,,0 - - -,3.00,
3 3S  4.50 -2.00 -1 -1 -2,-2,-2 -2 -2 -2,,,-2 - - -,2.50,
4 3LoTh  5.00  0.56 2 1 0,1,1 0 1 1,,,1 - - -,5.56,
5 BoDs2  3.50  0.28 1 1 0,0,1 0 -1 0,,,1 - - -,3.78,
6 5ALi4  6.50  1.00 1 2 1,1,2 1 1 2,,,1 - - -,7.50,
7 3STh  4.95 x -2.00 -3 -3 -3,-3,-3 -3 -3 -3,,,-3 - - -,2.95,
8 5TLi4  6.60 x  0.30 0 1 0,1,1 0 1 1,,,1 - - -,6.90,
9 FCCoSp4  3.50  0.30 1 1 1,1,0 0 1 1,,,0 - - -,3.80,
10 SlSt3  3.30  0.60 2 2 0,2,2 0 2 2,,,0 - - -,3.90,
11 3Li4  4.40 x  0.30 1 1 0,0,1 0 1 0,,,1 - - -,4.70,
12 PCoSp3  4.00  0.20 1 2 0,1,1 0 0 1,,,0 - - -,4.20,
55.65,,,,,,54.49,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.75 7.75 7.00,7.25,8.00 7.25 7.50 8.00,,7.50,- - -,7.45,
Transition / Linking Footwork  1.60 7.50 7.25 6.75,7.25,7.25 7.00 7.25 7.50,,7.00,- - -,7.15,
Performance / Execution  1.60 7.50 7.50 7.00,7.25,7.50 7.25 7.50 7.75,,7.25,- - -,7.35,
Choreography / Composition  1.60 7.75 7.50 7.00,7.50,7.25 7.50 7.50 8.00,,7.50,- - -,7.45,
Interpretation  1.60 7.50 8.00 7.00,7.50,7.50 7.25 7.75 7.25,,7.50,- - -,7.45,
Judges Total Program Component Score (factored),,,,,,58.96,
Deductions: Falls: -1.00,,,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
ISU European Figure Skating Championships,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
