ISU European Figure Skating Championships,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
1 Yannick PONSERO FRA,,151.85  81.45,,,70.40,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 4T  9.80  2.00 2 2 2,1,2 2 2 3,,2,- - -,11.80,
2 3A  8.20  1.60 1 2 1,1,2 1 2 I2nfo,,1,- - -,9.80,Info
3 3Lz  6.00  1.00 1 1 1,0,1 1 1 2,,0,- - -,7.00,
4 CCoSp4  3.50  0.50 1 1 1,1,1 1 0 1,,0,- - -,4.00,
5 CiSt3  3.30  0.60 2 1 2,1,1 1 1 2,,1,- - -,3.90,
6 3A+2T  10.45 x  0.80 0 1 1,0,1 1 1 1,,0,- - -,11.25,
7 CCSp2  2.30  0.40 1 1 0,1,0 1 0 2,,1,- - -,2.70,
8 3S+2T+2T  7.81 x  1.20 1 1 2,1,1 0 2 2,,1,- - -,9.01,
9 3Lo  5.50 x -1.20 -1 0 -1,-1,-1 -2 -2 -1,,-1,- - -,4.30,
10 3T+3S+SEQ  7.48 x -0.20 -1 1 -1,0,0 0 -1 0,,0,- - -,7.28,
11 SlSt3  3.30  0.80 2 2 3,1,1 1 2 2,,1,- - -,4.10,
12 2A  3.85 x -0.64 -1 1 -1,-1,-1 -1 -1 0,,0,- - -,3.21,
13 FSSp3  2.60  0.50 1 1 2,1,1 1 1 1,,1,- - -,3.10,
74.09,,,,,,81.45,
Program Components Factor,,,,,,,
Skating Skills  2.00 8.00 7.00 7.50,6.75,7.00 7.25 7.00 7.00,,7.25,- - -,7.05,
Transition / Linking Footwork  2.00 7.75 6.50 7.00,6.50,6.50 5.75 6.25 7.00,,6.50,- - -,6.55,
Performance / Execution  2.00 8.50 7.25 6.75,6.75,6.75 6.75 7.00 8.50,,7.00,- - -,7.25,
Choreography / Composition  2.00 8.25 6.75 8.00,7.00,6.75 7.00 6.75 8.00,,7.00,- - -,7.10,
Interpretation  2.00 8.50 7.00 7.75,7.00,7.00 6.50 6.75 8.50,,6.75,- - -,7.25,
Judges Total Program Component Score (factored),,,,,,70.40,
Deductions:,,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,,
"",,Total Total,,,Total,Total,
NOC,,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,,Score (factored),,
"",,= +,,,+,-,
2 Brian JOUBERT FRA,,145.11  71.51,,,74.60,1.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 4T  9.80 -0.96 -2 0 -1,-1,0 -1 -1 0,,-1,- - -,8.84,
2 3A  8.20  1.20 1 2 1,1,1 2 0 1,,0,- - -,9.40,
3 3A+2T  9.50  0.40 0 1 1,0,1 1 0 0,,0,- - -,9.90,
4 CiSt3  3.30  0.80 1 2 1,1,2 2 1 2,,1,- - -,4.10,
5 CSSp3  2.60  0.50 1 2 1,1,1 1 1 1,,0,- - -,3.10,
6 3Lz+3T  11.00 x  1.20 1 2 1,1,1 1 0 2,,1,- - -,12.20,
7 3Lz  6.60 x -2.80 -3 -1 -3,-3,-3 -3 -3 -2,,-3,- - -,3.80,
8 2Lo  1.65 x -0.18 -1 0 0,0,-1 -1 0 -1,,-1,- - -,1.47,
9 3F e  6.05 x -1.00 -1 -1 -1,-1,-2 -1 -1 -1,,-1,- - -,5.05,
10 SlSt2  2.30  0.20 0 1 -1,0,-1 1 0 1,,-1,- - -,2.50,
11 2A  3.85 x  0.60 0 1 1,0,0 2 1 1,,0,- - -,4.45,
12 CCoSp4  3.50  0.50 1 1 1,1,1 1 1 1,,0,- - -,4.00,
13 FSSp3  2.60  0.10 0 1 0,0,1 0 0 0,,0,- - -,2.70,
70.95,,,,,,71.51,
Program Components Factor,,,,,,,
Skating Skills  2.00 7.50 8.00 7.00,7.75,7.50 7.50 7.50 7.75,,7.50,- - -,7.60,
Transition / Linking Footwork  2.00 6.50 7.50 5.75,7.25,7.25 6.25 6.75 7.00,,7.00,- - -,6.95,
