ISU Grand Prix of Figure Skating Final,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
"",,Total Total,,Total,Total
NOC,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,
Code,,Score Score,,Score (factored),
"",,= +,,+,-
1 Stephane LAMBIEL SUI,,155.30  76.20,,79.10,0.00
"# Executed Base GOE",,The Judges Panel,,,Scores
Elements Value,,(in random order),,,of Panel
1 3A  7.50 -2.00 -2 -2 -2,-2,-2 -2 -2 -2,,-2 -2 - -,5.50
2 4T  9.00 -2.80 -3 -2 -2,-3,-3 -3 -2 -3,,-3 -3 - -,6.20
3 3Lo  5.00  1.00 1 1 1,1,1 1 2 1,,1 1 - -,6.00
4 CiSt3  3.10  1.00 2 2 2,2,1 2 2 2,,2 2 - -,4.10
5 2A  3.50  0.60 0 1 0,1,1 0 2 0,,1 0 - -,4.10
6 CoSp4  3.00  0.90 1 1 1,2,2 2 2 2,,1 2 - -,3.90
7 3F+3T+2T  11.88 x  0.80 0 1 1,0,1 1 1 1,,0 1 - -,12.68
8 2Lz+3T  6.49 x  0.00 0 0 1,0,0 0 0 0,,0 0 - -,6.49
9 3S+2T  6.38 x  0.00 0 0 0,0,0 0 0 0,,0 0 - -,6.38
10 FSSp3  2.30  0.10 1 0 0,1,0 0 1 0,,0 0 - -,2.40
11 3F  6.05 x  1.00 1 1 1,0,1 1 1 1,,1 1 - -,7.05
12 SlSt3  3.10  1.00 2 2 2,1,2 2 2 2,,2 2 - -,4.10
13 CSSp4  3.00  0.30 0 1 1,1,0 1 1 0,,-1 1 - -,3.30
14 CCoSp3  3.00  1.00 2 2 2,2,3 2 2 2,,2 2 - -,4.00
73.30,,,,,76.20
Program Components Factor,,,,,
Skating Skills  2.00 7.75 7.75 8.00,7.75,8.25 7.75 8.50 8.00,,7.25 7.75 - -,7.95
Transition / Linking Footwork  2.00 7.50 7.50 7.50,7.50,8.50 7.50 8.00 7.50,,7.50 7.50 - -,7.60
Performance / Execution  2.00 7.75 8.00 7.50,7.50,8.00 7.75 8.25 8.00,,7.75 7.75 - -,7.80
Choreography / Composition  2.00 8.00 7.75 7.75,7.75,8.25 7.75 8.50 7.50,,8.25 8.00 - -,7.95
Interpretation  2.00 8.00 8.00 7.75,7.50,8.75 8.25 8.50 8.25,,8.50 8.25 - -,8.25
Judges Total Program Component Score (factored),,,,,79.10
Deductions:,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,Total
NOC,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,
Code,,Score Score,,Score (factored),
"",,= +,,+,-
2 Daisuke TAKAHASHI JPN,,154.74  77.34,,77.40,0.00
"# Executed Base GOE",,The Judges Panel,,,Scores
Elements Value,,(in random order),,,of Panel
1 3T  4.00  0.20 1 0 1,0,0 0 0 0,,1 0 - -,4.20
2 4T  9.00  0.20 0 0 0,0,0 1 1 0,,0 1 - -,9.20
3 3A  7.50  1.60 1 1 1,1,2 2 2 1,,2 2 - -,9.10
4 CiSt3  3.10  0.90 1 2 0,2,1 2 2 2,,2 2 - -,4.00
5 CoSp3  2.50  0.20 0 1 0,1,0 1 1 0,,0 0 - -,2.70
6 3A+2T+2Lo  11.33 x  0.40 0 1 1,0,0 0 1 -1,,1 1 - -,11.73
7 3F  6.05 x  1.60 1 1 1,0,2 2 2 1,,2 2 - -,7.65
8 2S  1.43 x  0.00 0 0 0,0,0 0 0 0,,0 0 - -,1.43
9 3Lo  5.50 x  0.40 1 1 0,0,1 1 1 0,,0 1 - -,5.90
10 3Lz+2T  8.03 x  0.80 1 1 -1,1,1 1 1 0,,1 1 - -,8.83
11 FCoSp3  2.50  0.00 0 0 0,0,0 0 1 0,,0 0 - -,2.50
12 FSSp3  2.30  0.20 0 0 0,1,0 1 1 0,,0 0 - -,2.50
13 SlSt3  3.10  0.70 2 2 1,1,1 2 2 1,,2 2 - -,3.80
14 CCoSp4  3.50  0.30 1 0 0,1,1 1 1 0,,0 0 - -,3.80
69.84,,,,,77.34
Program Components Factor,,,,,
Skating Skills  2.00 7.75 8.25 7.75,7.50,8.25 8.00 8.50 7.75,,8.00 8.00 - -,7.95
Transition / Linking Footwork  2.00 7.25 7.75 7.00,7.00,7.75 7.75 8.00 7.50,,7.00 7.75 - -,7.40
Performance / Execution  2.00 7.50 8.00 7.25,7.75,7.75 7.75 8.50 7.75,,8.25 8.00 - -,7.85
Choreography / Composition  2.00 7.75 8.00 7.75,7.25,7.50 8.00 8.25 7.50,,7.75 8.25 - -,7.70
Interpretation  2.00 7.50 8.00 7.25,7.75,7.75 7.75 8.50 7.75,,8.00 8.25 - -,7.80
Judges Total Program Component Score (factored),,,,,77.40
Deductions:,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
ISU Grand Prix of Figure Skating Final,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
3 Evan LYSACEK USA,,150.08  75.08,,,76.00,1.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 4T+3T  13.00  0.80 0 1 0,1,2 1 1 0,,1,1 - -,13.80
2 3A<  3.50 -1.60 -2 -2 -2,-2,0 -3 -2 -2,,-2,-3 - -,1.90
3 3Lo  5.00  0.00 0 0 0,0,0 0 0 0,,-1,0 - -,5.00
4 3S  4.50 -3.00 -3 -3 -3,-3,-3 -3 -3 -3,,-3,-3 - -,1.50
5 CCoSp3  3.00  0.70 1 1 1,2,1 1 2 1,,2,1 - -,3.70
6 FCSSp3  2.30  0.20 0 0 0,1,0 0 1 0,,1,0 - -,2.50
7 3A+2T  9.68 x -0.20 0 0 0,0,0 -1 0 -1,,0,0 - -,9.48
8 3F+3T  10.45 x  0.40 1 1 1,-1,1 -1 1 0,,1,1 - -,10.85
9 3Lz  6.60 x  0.80 0 1 1,1,1 1 2 0,,0,2 - -,7.40
10 2A  3.85 x  0.20 0 1 0,0,0 0 1 0,,1,0 - -,4.05
11 CiSt3  3.10  0.50 1 0 0,1,2 0 2 1,,1,0 - -,3.60
12 CoSp4  3.00  0.10 0 0 0,1,0 0 1 0,,0,0 - -,3.10
13 SlSt4  3.40  1.40 1 1 0,2,2 1 2 1,,1,2 - -,4.80
14 FSSp4  3.00  0.40 1 1 0,1,0 1 1 1,,1,0 - -,3.40
74.38,,,,,,75.08
Program Components Factor,,,,,,
Skating Skills  2.00 7.50 7.50 7.50,7.75,7.25 7.75 8.25 7.75,,7.00,7.50 - -,7.60
Transition / Linking Footwork  2.00 7.25 7.25 7.00,7.25,7.75 7.00 8.00 7.00,,7.25,7.50 - -,7.25
Performance / Execution  2.00 7.25 7.25 7.00,7.75,8.00 7.75 8.25 7.75,,8.00,7.75 - -,7.85
Choreography / Composition  2.00 7.50 7.50 7.25,7.50,8.00 7.25 8.00 7.50,,7.50,7.75 - -,7.55
Interpretation  2.00 7.25 7.25 7.00,7.75,8.25 7.50 8.25 7.50,,7.75,8.00 - -,7.75
Judges Total Program Component Score (factored),,,,,,76.00
Deductions: Falls: -1.00,,,,,,-1.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
4 Johnny WEIR USA,,141.36  69.16,,,73.20,1.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3A  7.50 -0.40 0 -1 -1,-1,1 0 0 0,,-1,0 - -,7.10
2 3A+3T  11.50  1.00 1 1 1,0,1 1 1 1,,1,1 - -,12.50
3 3Lz  6.00  0.80 0 0 1,0,2 0 1 0,,2,2 - -,6.80
4 2A  3.50  0.80 1 0 1,0,1 1 1 0,,1,1 - -,4.30
5 3S  4.50  0.60 1 1 0,1,1 0 1 1,,0,1 - -,5.10
6 CoSp4  3.00  0.40 1 0 0,1,0 1 1 2,,1,0 - -,3.40
7 2Lo  1.65 x  0.00 0 0 0,0,0 0 0 0,,0,0 - -,1.65
8 USp3  1.80  0.00 0 0 0,0,0 0 0 0,,0,0 - -,1.80
9 3Lz+2T+2T  9.46 x  0.20 0 1 0,0,0 1 1 0,,0,0 - -,9.66
10 3F  6.05 x -3.00 -3 -3 -3,-3,-3 -3 -3 -3,,-3,-3 - -,3.05
11 CiSt3  3.10  0.20 0 0 0,1,1 0 1 0,,0,0 - -,3.30
12 FSSp4  3.00  0.60 2 1 1,1,1 1 2 2,,1,1 - -,3.60
13 SlSt3  3.10  0.40 1 0 0,1,0 1 1 1,,1,1 - -,3.50
14 CCoSp3  3.00  0.40 0 1 0,1,1 1 2 1,,0,1 - -,3.40
67.16,,,,,,69.16
Program Components Factor,,,,,,
Skating Skills  2.00 7.50 7.25 7.25,7.50,7.75 7.50 8.00 7.50,,7.50,7.25 - -,7.55
Transition / Linking Footwork  2.00 7.25 7.00 6.50,7.00,7.50 6.75 7.50 7.00,,6.75,7.00 - -,7.00
Performance / Execution  2.00 7.25 7.25 7.00,7.50,7.50 7.50 8.00 7.75,,7.25,7.00 - -,7.50
Choreography / Composition  2.00 7.50 7.25 7.00,7.25,7.75 6.75 7.75 7.25,,6.75,7.25 - -,7.20
Interpretation  2.00 7.00 7.25 7.00,7.25,7.75 7.25 8.00 7.50,,7.00,7.25 - -,7.35
Judges Total Program Component Score (factored),,,,,,73.20
Deductions: Falls: -1.00,,,,,,-1.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
ISU Grand Prix of Figure Skating Final,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
