ISU Grand Prix of Figure Skating Final,,,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,,,
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
1 Tanith BELBIN / Benjamin AGOSTO USA  63.64  33.50,,,30.14,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 CoSp4  4.70  0.70 2 2 1 1 2 1 2 1,,1,- - -,5.40
2 CuLi4  4.00  1.00 2 2 2 2 2 2 1 2,,2,- - -,5.00
3 CiSt4  8.00  1.60 1 1 1 1 2 2 2 2,,1,- - -,9.60
4 NtMiTw4  3.30  0.60 1 1 1 2 1 1 1 2,,2,- - -,3.90
5 NtMiSt4  4.30  0.50 1 1 1 2 1 1 1 1,,1,- - -,4.80
6 RoLi4  4.00  0.80 1 2 2 2 1 2 1 2,,2,- - -,4.80
28.30,,,,33.50
Program Components Factor,,,,
Skating Skills  0.80 7.75 7.75 8.00 7.50 8.00 7.75 7.75 7.75,,8.00,- - -,7.85
Linking Footwork / Movement  0.80 7.00 7.75 7.75 7.75 8.00 7.75 7.75 7.25,,7.75,- - -,7.65
Performance  0.60 8.00 8.00 8.25 7.75 8.00 8.00 7.50 7.75,,8.00,- - -,7.95
Choreography  0.60 7.75 7.75 8.00 8.00 8.25 8.00 8.00 8.00,,7.75,- - -,7.95
Interpretation / Timing  1.00 8.25 7.75 8.25 8.00 8.25 8.25 8.00 8.25,,7.75,- - -,8.20
Judges Total Program Component Score (factored),,,,30.14
Deductions:,,,,0.00
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
2 Isabelle DELOBEL / Olivier SCHOENFELDER FRA  63.29  32.80,,,30.49,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 NtMiTw4  3.30  0.80 1 1 1 1 2 1 2 2,,2,- - -,4.10
2 NtMiSt4  4.30  0.90 2 1 1 2 1 2 2 2,,2,- - -,5.20
3 SlLi4  4.00  0.80 2 2 2 1 1 2 2 0,,1,- - -,4.80
4 Sp4  4.70  0.50 2 1 0 2 1 1 1 1,,1,- - -,5.20
5 CiSt3  7.20  1.40 1 2 1 1 2 1 2 1,,2,- - -,8.60
6 RoLi4  4.00  0.90 2 2 2 2 1 2 1 2,,2,- - -,4.90
27.50,,,,32.80
Program Components Factor,,,,
Skating Skills  0.80 8.00 8.00 8.00 7.50 7.75 8.00 8.50 7.50,,8.25,- - -,8.00
Linking Footwork / Movement  0.80 8.00 7.75 7.75 7.75 7.75 7.75 8.25 7.25,,8.00,- - -,7.85
Performance  0.60 8.25 8.00 8.00 8.00 7.50 8.00 8.25 7.50,,8.25,- - -,8.00
Choreography  0.60 8.50 8.00 8.25 8.25 7.75 8.00 8.50 7.50,,8.00,- - -,8.10
Interpretation / Timing  1.00 8.50 8.00 8.00 8.50 7.75 8.25 8.50 7.75,,8.25,- - -,8.15
Judges Total Program Component Score (factored),,,,30.49
Deductions:,,,,0.00
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
3 Oksana DOMNINA / Maxim SHABALIN RUS  62.31  32.20,,,30.11,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 Sp4  4.70  0.80 2 2 2 2 2 1 1 2,,1,- - -,5.50
2 NtMiTw4  3.30  0.20 0 1 1 0 1 -1 1 0,,0,- - -,3.50
3 NtMiSt3  3.80  0.30 0 2 1 2 2 0 1 1,,0,- - -,4.10
4 SlLi4  4.00  0.80 2 2 2 2 1 1 2 2,,1,- - -,4.80
5 CiSt4  8.00  1.40 1 2 2 1 2 1 1 2,,1,- - -,9.40
6 RoLi4  4.00  0.90 2 2 2 2 2 1 2 2,,1,- - -,4.90
27.80,,,,32.20
Program Components Factor,,,,
Skating Skills  0.80 7.75 8.25 8.50 6.50 8.25 7.25 7.75 8.00,,8.00,- - -,7.95
Linking Footwork / Movement  0.80 7.50 8.00 8.25 7.00 8.00 7.25 7.50 7.75,,7.75,- - -,7.70
