ISU Grand Prix of Figure Skating Final,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
1 Daisuke TAKAHASHI JPN,,84.20  44.50,,,39.70,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3F+3T  9.50  1.40 2 2 1 2,,1 1 0 1,,2,2 - -,10.90
2 3A  7.50  1.40 1 2 1 1,,2 1 1 2,,2,2 - -,8.90
3 3Lz  6.00  1.20 1 1 1 2,,2 1 1 1,,2,1 - -,7.20
4 CSSp4  3.00  0.30 0 0 0 1,,0 1 0 1,,1,1 - -,3.30
5 CiSt3  3.10  1.00 2 2 2 2,,3 0 1 2,,2,2 - -,4.10
6 FSSp3  2.30  0.20 0 1 0 1,,1 0 1 0,,1,1 - -,2.50
7 SlSt3  3.10  0.80 1 2 2 2,,3 0 2 1,,2,2 - -,3.90
8 CCoSp4  3.50  0.20 1 1 0 1,,0 -1 0 0,,1,1 - -,3.70
38.00,,,,,,44.50
Program Components Factor,,,,,,
Skating Skills  1.00 8.00 8.00 7.25 8.50,,7.75 8.25 7.50 8.25,,8.25,7.50 - -,7.95
Transition / Linking Footwork  1.00 7.75 8.00 7.00 8.00,,7.75 7.50 7.00 8.00,,7.50,7.00 - -,7.60
Performance / Execution  1.00 7.75 8.25 7.75 8.50,,8.00 7.75 7.75 8.25,,7.75,7.50 - -,7.90
Choreography / Composition  1.00 8.00 8.00 8.25 8.50,,8.25 7.75 7.25 8.50,,7.50,7.25 - -,8.15
Interpretation  1.00 7.75 8.25 8.50 8.25,,8.25 8.00 7.75 8.25,,7.75,7.25 - -,8.10
Judges Total Program Component Score (factored),,,,,,39.70
Deductions:,,,,,,0.00
e  Jump take off with wrong edge,,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
2 Stephane LAMBIEL SUI,,83.80  44.90,,,38.90,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3A  7.50  0.60 1 1 0 1,,0 1 0 0,,0,1 - -,8.10
2 4T+3T  13.00 -0.20 -1 0 -1 0,,0 0 0 0,,1,1 - -,12.80
3 CSSp4  3.00  0.90 1 1 2 2,,1 2 1 2,,1,2 - -,3.90
4 3Lz  6.00 -1.00 -1 -1 -2 0,,-2 -1 -2 -1,,-1,0 - -,5.00
5 CCoSp4  3.50  0.80 1 2 1 2,,2 1 2 2,,1,2 - -,4.30
6 CiSt3  3.10  0.10 0 -1 1 0,,2 0 1 0,,1,-1 - -,3.20
7 SlSt3  3.10  0.80 1 2 2 2,,2 1 2 2,,1,1 - -,3.90
8 FSSp4  3.00  0.70 1 2 1 2,,1 1 2 2,,2,2 - -,3.70
42.20,,,,,,44.90
Program Components Factor,,,,,,
Skating Skills  1.00 7.75 7.75 7.25 8.00,,7.75 8.25 7.75 8.25,,7.50,7.75 - -,7.90
Transition / Linking Footwork  1.00 7.50 7.50 7.25 7.50,,7.25 8.00 7.25 8.25,,7.00,7.25 - -,7.50
Performance / Execution  1.00 7.50 7.75 7.75 7.75,,7.50 8.00 7.75 8.50,,7.00,7.50 - -,7.70
Choreography / Composition  1.00 7.50 8.00 8.00 8.00,,7.75 8.25 8.00 8.50,,7.50,7.75 - -,7.95
Interpretation  1.00 7.50 8.00 8.00 7.75,,7.75 8.25 8.00 8.75,,7.50,7.50 - -,7.85
Judges Total Program Component Score (factored),,,,,,38.90
Deductions:,,,,,,0.00
e  Jump take off with wrong edge,,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
3 Evan LYSACEK USA,,79.70  42.90,,,36.80,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 4T+3T  13.00 -2.20 -2 -2 -3 -3,,-2 -2 -2 -2,,-2,-2 - -,10.80
2 3A  7.50  0.60 1 0 0 0,,0 1 0 1,,0,1 - -,8.10
