ISU Grand Prix of Figure Skating Final,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
Total,Total,,Total,Total
NOC Segment,Element,,Program  Component,Deductions
Rank Name,,,,
Code Score,Score,,Score (factored),
"=",+,,+,-
1 Yu-Na KIM KOR  64.62,34.90,,29.72,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 3F+1T  5.90 -3.00 -3 -3 -3 -3 -2,-3 -3 -3,,-3 -3 - -,2.90
2 3Lz  6.00  1.80 2 1 2 2 2,2 2 2,,1 2 - -,7.80
3 SpSq4  3.40  1.00 1 1 1 1 1,1 1 1,,1 1 - -,4.40
4 FSSp4  3.00  0.50 1 0 1 1 1,1 1 1,,2 1 - -,3.50
5 SlSt3  3.10  0.50 2 1 1 1 1,1 2 2,,1 1 - -,3.60
6 LSp4  2.60  0.90 2 2 2 2 2,2 2 2,,1 1 - -,3.50
7 2A  3.50  1.40 2 1 2 2 1,1 1 1,,1 1 - -,4.90
8 CCoSp4  3.50  0.80 2 1 2 2 2,1 2 2,,2 1 - -,4.30
31.00,,,,34.90
Program Components Factor,,,,
Skating Skills  0.80 7.50 7.50 8.25 7.75 7.75,7.75 7.50 7.50,,7.00 7.75 - -,7.65
Transition / Linking Footwork  0.80 7.00 7.25 7.50 7.25 7.50,7.00 6.75 7.25,,6.25 7.00 - -,7.10
Performance / Execution  0.80 7.25 7.50 7.75 7.75 7.50,7.75 7.25 7.50,,7.00 7.25 - -,7.50
Choreography / Composition  0.80 7.00 7.50 8.00 7.50 7.75,7.75 7.00 7.75,,6.50 7.25 - -,7.40
Interpretation  0.80 7.25 7.50 8.00 7.75 7.50,7.75 7.25 8.00,,6.25 7.25 - -,7.50
Judges Total Program Component Score (factored),,,,29.72
Deductions:,,,,0.00
e  Jump take off with wrong edge,,,,
Total,Total,,Total,Total
NOC Segment,Element,,Program  Component,Deductions
Rank Name,,,,
Code Score,Score,,Score (factored),
"=",+,,+,-
2 Caroline ZHANG USA  61.82,36.50,,25.32,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 3F+3T  9.50  0.20 1 0 0 0 0,0 0 0,,0 1 - -,9.70
2 3Lz e  6.00 -1.60 -1 -2 -1 -1 -1,-2 -2 -2,,-2 -2 - -,4.40
3 FSSp4  3.00  0.40 1 0 0 1 1,1 2 0,,1 1 - -,3.40
4 2A  3.50  0.20 1 0 0 0 1,0 1 0,,0 1 - -,3.70
5 CCoSp4  3.50  0.70 2 1 1 1 1,1 2 1,,2 2 - -,4.20
6 SlSt2  2.30  0.00 1 0 0 0 0,0 0 0,,0 0 - -,2.30
7 SpSq4  3.40  1.40 2 1 2 1 1,1 3 1,,1 2 - -,4.80
8 LSp4  2.60  1.40 3 2 3 2 2,3 3 2,,3 3 - -,4.00
33.80,,,,36.50
Program Components Factor,,,,
Skating Skills  0.80 6.25 6.50 7.00 6.00 6.50,6.50 6.50 6.50,,5.25 7.00 - -,6.45
Transition / Linking Footwork  0.80 6.00 6.00 6.50 5.75 6.00,6.00 5.75 6.00,,4.75 6.75 - -,6.05
Performance / Execution  0.80 6.50 6.50 6.75 6.00 6.50,6.50 6.00 6.25,,5.75 7.00 - -,6.45
Choreography / Composition  0.80 6.25 6.25 6.50 5.75 6.25,6.75 5.75 6.50,,6.00 6.50 - -,6.30
Interpretation  0.80 6.50 6.25 6.75 6.00 6.25,6.50 6.00 6.25,,5.25 6.75 - -,6.40
Judges Total Program Component Score (factored),,,,25.32
Deductions:,,,,0.00
e  Jump take off with wrong edge,,,,
Total,Total,,Total,Total
NOC Segment,Element,,Program  Component,Deductions
Rank Name,,,,
Code Score,Score,,Score (factored),
"=",+,,+,-
3 Carolina KOSTNER ITA  59.86,32.26,,27.60,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 3F+3T  9.50  1.20 1 -1 1 1 2,2 2 2,,1 2 - -,10.70
2 3Lz  6.00  0.80 1 1 0 0 1,1 -1 1,,1 1 - -,6.80
3 SpSq4  3.40  0.40 0 0 0 1 1,1 1 1,,1 0 - -,3.80
4 1A  0.80 -0.50 -3 -3 -3 -3 -3,-3 -3 -3,,-3 -3 - -,0.30
