Cup of China 2006,,,,,,
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
1 Oksana DOMNINA / Maxim SHABALIN,RUS  93.13,47.50,,,46.63,1.00
"# Executed Base GOE",The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 Sp4  4.70  0.60,0 1 0 1 2,1 1 1,,2,2 - -,5.30
2 DiSt3  6.20  0.60,0 1 1 0 1,1 1 2,,2,0 - -,6.80
3 SlLi4  4.00  0.60,0 1 1 1 2,1 1 1,,2,1 - -,4.60
4 SlLi4+RoLi4  6.40  0.70,0 2 1 2 2,1 2 2,,1,2 - -,7.10
5 STw4  4.70  0.10,0 1 0 0 1,0 -1 0,,1,0 - -,4.80
6 SeLi4  6.40  0.70,1 2 1 1 2,1 2 2,,2,3 - -,7.10
7 CiSt3  7.20  0.00,0 0 1 0 0,0 0 0,,0,0 - -,7.20
8 RoLi4  4.00  0.60,1 1 1 1 2,1 1 2,,1,2 - -,4.60
43.60,,,,,,47.50
Program Components Factor,,,,,,
Skating Skills  1.25,7.50 7.50 8.00 7.75 7.75,7.75 7.75 7.50,,7.75,7.75 - -,7.75
Linking Footwork / Movement  1.75,7.50 7.50 7.75 7.50 7.75,7.50 7.50 7.25,,7.75,7.75 - -,7.65
Performance  1.00,7.25 7.25 8.00 7.75 7.75,7.50 7.75 7.75,,8.00,7.75 - -,7.75
Choreography  1.00,7.75 7.25 8.00 7.75 8.00,7.75 7.75 7.50,,8.00,8.00 - -,7.90
Interpretation / Timing  1.00,7.75 7.50 8.00 8.00 8.00,7.75 7.75 7.50,,7.75,8.00 - -,7.90
Judges Total Program Component Score (factored),,,,,,46.63
Deductions: Extended lifts:,-1.00,,,,,-1.00
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
2 Tanith BELBIN / Benjamin AGOSTO,USA  91.50,45.00,,,46.50,0.00
"# Executed Base GOE",The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 DiSt3  6.20  0.60,0 1 0 1 0,1 1 0,,1,1 - -,6.80
2 CuLi4  4.00  0.00,0 2 0 -1 0,0 0 1,,1,0 - -,4.00
3 CiSt3  7.20  0.40,0 1 0 1 0,1 1 1,,2,0 - -,7.60
4 STw4  4.70  0.10,0 1 0 1 0,1 -1 0,,0,0 - -,4.80
5 CuLi4+RoLi4  6.40  0.60,1 2 1 1 0,2 1 2,,2,1 - -,7.00
6 SeLi2  4.80  0.60,1 2 1 2 1,0 1 2,,2,1 - -,5.40
7 RoLi4  4.00  0.60,1 2 1 2 1,2 2 1,,1,1 - -,4.60
8 Sp4  4.70  0.10,0 1 1 1 0,0 1 0,,0,0 - -,4.80
42.00,,,,,,45.00
Program Components Factor,,,,,,
Skating Skills  1.25,7.75 8.25 7.75 8.00 7.50,8.25 8.00 7.50,,7.75,7.75 - -,7.80
Linking Footwork / Movement  1.75,7.25 8.25 7.50 7.75 7.50,8.25 7.75 7.25,,7.50,7.75 - -,7.60
Performance  1.00,7.75 8.50 7.75 8.00 7.50,8.00 7.75 7.50,,7.75,7.75 - -,7.80
Choreography  1.00,7.75 8.50 7.50 8.00 7.50,8.25 7.50 7.50,,7.75,8.00 - -,7.80
Interpretation / Timing  1.00,7.75 8.50 7.75 8.25 7.75,8.25 7.75 7.50,,7.75,7.75 - -,7.85
Judges Total Program Component Score (factored),,,,,,46.50
Deductions:,,,,,,0.00
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
3 Jana KHOKHLOVA / Sergei NOVITSKI,RUS  88.27,47.10,,,41.17,0.00
"# Executed Base GOE",The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 STw4  4.70  0.40,1 1 0 1 1,1 -1 1,,1,0 - -,5.10
2 SlLi4+CuLi4  6.40  0.50,1 1 1 1 1,2 2 2,,1,1 - -,6.90
3 CoSp4  4.70  0.50,1 1 1 1 1,1 1 1,,1,0 - -,5.20
