Cup of Russia 2005,,,
ICE DANCING ORIGINAL DANCE,JUDGES DETAILS PER SKATER,,
"",Total Total,Total,Total
Rank Name,NOC Segment Element,Program  Component,Deductions
"",Code Score Score,Score (factored),
"",= +,+,-
1 Tatiana NAVKA / Roman KOSTOMAROV,RUS 59.38 27.80,32.58,1.00
"# Executed Base",GOE The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 NtMiSt2+FSTw4 7.0,1.60 1 2 1 1 0 2 2 1,2 2 - -,8.60
2 CoSp3 4.0,0.90 2 2 2 1 1 1 2 1,2 2 - -,4.90
3 CuLi4 4.0,0.80 2 2 1 2 2 1 2 1,1 1 - -,4.80
4 DiSt2 4.8,1.00 1 1 0 1 1 1 1 1,1 1 - -,5.80
5 RoLi2 3.0,0.70 1 1 2 2 0 1 2 1,0 1 - -,3.70
22.8,,,27.80
Program Components,Factor,,
Skating Skills,0.80 8.50 8.75 8.50 8.50 8.00 8.75 8.50 7.75,8.50 8.50 - -,8.55
Linking Footwork / Movement,0.80 8.25 8.50 8.25 8.50 7.75 8.50 8.50 7.50,8.25 8.50 - -,8.40
Performance,0.60 8.50 9.00 8.50 8.75 7.75 8.75 8.75 8.00,8.25 8.75 - -,8.65
Choreography,0.60 8.50 9.00 8.25 8.50 7.75 8.50 8.75 7.75,8.50 8.50 - -,8.55
Interpretation / Timing,1.00 8.75 9.00 8.50 8.75 8.00 8.75 8.75 7.50,8.50 9.00 - -,8.70
Judges Total Program Component Score (factored),,,32.58
Deductions: Extended lifts:,-1.00,,-1.00
"",Total Total,Total,Total
Rank Name,NOC Segment Element,Program  Component,Deductions
"",Code Score Score,Score (factored),
"",= +,+,-
2 Galit CHAIT / Sergei SAKHNOVSKI,ISR 55.57 26.50,29.07,0.00
"# Executed Base",GOE The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 NtMiSt2+FSTw4 7.0,1.00 1 1 1 2 1 1 1 0,1 2 - -,8.00
2 CoSp2 3.5,0.20 0 1 1 0 0 0 1 0,0 1 - -,3.70
3 SlLi4 4.0,0.50 1 1 1 2 1 1 1 1,1 2 - -,4.50
4 DiSt2 4.8,0.60 1 0 2 1 0 0 0 0,1 1 - -,5.40
5 RoLi4 4.0,0.90 1 2 2 2 2 1 2 0,2 1 - -,4.90
23.3,,,26.50
Program Components,Factor,,
Skating Skills,0.80 8.00 7.75 7.25 8.00 7.75 7.50 7.50 7.25,7.50 7.50 - -,7.65
Linking Footwork / Movement,0.80 7.50 7.75 7.75 8.25 7.50 7.25 7.25 7.25,7.25 7.00 - -,7.50
Performance,0.60 7.75 8.00 7.75 8.25 7.50 7.50 7.50 7.25,7.25 7.50 - -,7.70
Choreography,0.60 8.00 8.25 7.75 8.25 7.50 7.25 7.50 7.00,7.50 7.25 - -,7.80
Interpretation / Timing,1.00 7.50 8.00 7.50 8.50 7.25 7.25 7.50 7.00,7.75 7.75 - -,7.65
Judges Total Program Component Score (factored),,,29.07
Deductions:,,,0.00
"",Total Total,Total,Total
Rank Name,NOC Segment Element,Program  Component,Deductions
"",Code Score Score,Score (factored),
"",= +,+,-
3 Oksana DOMNINA / Maxim SHABALIN,RUS 54.15 27.40,26.75,0.00
"# Executed Base",GOE The Judges Panel,,Scores
Elements Value,(in random order),,of Panel
1 NtMiSt3+FSTw4 7.6,0.80 0 1 1 1 1 1 0 0,1 1 - -,8.40
2 SlLi4 4.0,0.50 1 1 2 1 1 1 1 1,1 2 - -,4.50
3 CoSp3 4.0,0.20 1 0 -1 0 0 0 1 0,1 1 - -,4.20
4 DiSt2 4.8,1.00 1 1 1 0 0 1 1 0,1 1 - -,5.80
5 RoLi4 4.0,0.50 1 1 2 1 0 1 1 1,1 2 - -,4.50
24.4,,,27.40
Program Components,Factor,,
Skating Skills,0.80 7.00 7.25 7.00 7.25 6.75 7.00 7.25 6.75,7.00 7.25 - -,7.10
Linking Footwork / Movement,0.80 6.75 7.25 6.50 7.25 6.50 6.75 7.00 6.50,6.75 6.75 - -,6.90
Performance,0.60 7.00 7.50 7.00 7.00 6.50 7.00 7.00 6.50,7.00 7.25 - -,7.00
Choreography,0.60 6.75 7.50 6.50 7.00 6.50 7.00 7.25 6.50,7.00 7.25 - -,7.00
Interpretation / Timing,1.00 7.00 7.50 6.50 7.25 6.50 7.25 7.00 6.50,7.25 7.75 - -,7.15
Judges Total Program Component Score (factored),,,26.75
Deductions:,,,0.00
Cup of Russia 2005,,,
ICE DANCING ORIGINAL DANCE,JUDGES DETAILS PER SKATER,,
"",Total Total,Total,Total
Rank Name,NOC Segment Element,Program  Component,Deductions
"",Code Score Score,Score (factored),
"",= +,+,-
