"",,Gangneung Ice Arena Figure Skating,,,
"",,강릉 아이스 아레나 피겨 스케이팅 / Patinage artistique,,,
"",,Palais des glaces de Gangneung,,,
"",,Pair Skating,,,
"",,피겨 스케이팅 페어 / Patinage en couple,,,
"",,THU 15 FEB 2018 Free Skating,,,
"",,프리 스케이팅 / Programme libre,,,
"",,Judges Details per Skater,,,
"",,선수별 심판 세부채점 정보 / Notation détaillée des juges par patineur,,,
"",,Total Total Total Program,,,
"",,NOC Starting,,Total,
Rank,Name,SegImnfeont Element Component Score,,,Info
"",,Code Number,,Deductions,
"",,Score Score (factored),,,
1,SAVCHENKO Aljona / MASSOT Bruno,GER 13 159.31 82.07 77.24,,0.00,
"",,Base,,Scores,
"#",Executed Elements,GOE J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref.,
"",,Value,,of Panel,
1,3Tw4,6.60 2.10 3 3 3 3 3 3 3 3 3,,8.70,
2,3FTh,5.50 1.80 3 2 2 2 3 3 2 3 3,,7.30,
3,3S+2T+2T,7.00 1.30 1 2 1 2 2 2 2 2 2,,8.30,
4,3T,4.30 1.50 3 2 2 2 3 2 2 2 2,,5.80,
5,3STh,4.50 2.10 3 3 2 3 3 3 3 3 3,,6.60,
6,5RLi4,7.50 1.90 3 2 2 2 3 3 3 3 3,,9.40,
7,3Li4,4.50 1.43 3 2 2 3 3 3 3 3 3,,5.93,
8,CCoSp4,3.50 1.00 2 2 2 2 3 2 2 2 2,,4.50,
9,PCoSp4,4.50 1.14 2 2 2 2 3 3 2 3 2,,5.64,
10,ChSq1,2.00 2.10 3 3 3 2 3 3 3 3 3,,4.10,
11,BoDs4,4.50 1.70 3 2 2 2 3 3 2 3 1,,6.20,
12,5ALi4,7.50 2.10 2 3 3 3 3 3 3 3 3,,9.60,
"",,61.90,,82.07,
"",Program Components,Factor,,,
"",Skating Skills,1.60 9.75 9.50 9.25 9.00 9.75 9.75 9.50 9.75 9.50,,9.57,
"",Transitions,1.60 9.75 9.25 9.25 9.00 9.75 9.75 9.25 9.50 9.50,,9.46,
"",Performance,1.60 10.00 9.75 9.50 9.50 10.00 10.00 9.75 9.75 10.00,,9.82,
"",Composition,1.60 9.75 9.50 9.25 9.50 9.75 10.00 9.50 9.75 9.75,,9.64,
"",Interpretation of the Music,1.60 10.00 9.75 9.50 9.25 10.00 10.00 9.50 9.75 10.00,,9.79,
"",Judges Total Program Component Score (factored),,,77.24,
Deductions:,,Total Total Total Program,,0.00,
"",,NOC Starting,,Total,
Rank,Name,Segment Element Component Score,,,
"",,Code Number,,Deductions,
"",,Score Score (factored),,,
2,DUHAMEL Meagan / RADFORD Eric,CAN 14 153.33 79.86 73.47,,0.00,
"",,Base,,Scores,
"#",Executed Elements,GOE J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref.,
"",,Value,,of Panel,
1,3Tw3,6.20 1.40 3 1 1 2 3 2 2 2 2,,7.60,
2,3Lz,6.00 -1.20 -2 -1 -2 -2 -1 -2 -2 -2 -1,,4.80,
3,4STh,8.20 0.57 0 0 2 1 1 0 0 1 1,,8.77,
4,3S+2T+2T,7.00 1.20 1 1 2 2 2 2 1 2 3,,8.20,
5,FCCoSp4,3.50 1.21 3 2 2 2 2 2 3 3 3,,4.71,
6,5RLi4,7.50 1.80 2 2 2 3 3 3 2 3 3,,9.30,
7,3LzTh,5.50 1.40 2 1 2 2 2 2 2 2 2,,6.90,
8,5ALi4,7.50 1.80 2 2 2 3 3 3 2 3 3,,9.30,
9,ChSq1,2.00 1.60 2 2 2 2 2 3 2 3 3,,3.60,
10,PCoSp4,4.50 1.07 2 2 2 2 3 2 2 3 2,,5.57,
11,3Li4,4.50 1.21 2 2 3 2 3 2 3 3 2,,5.71,
12,BoDs3,4.00 1.40 2 2 2 2 3 2 2 2 2,,5.40,
"",,66.40,,79.86,
"",Program Components,Factor,,,
"",Skating Skills,1.60 9.00 9.25 9.00 9.25 9.50 9.25 9.00 9.75 9.25,,9.21,
"",Transitions,1.60 9.00 8.75 9.25 9.00 9.25 9.00 8.50 9.50 9.00,,9.04,
"",Performance,1.60 9.25 9.00 9.50 9.25 9.50 9.25 9.00 9.50 9.50,,9.32,
"",Composition,1.60 9.00 8.75 9.25 9.25 9.50 9.25 9.00 9.75 9.25,,9.21,
"",Interpretation of the Music,1.60 9.00 9.00 9.00 9.25 9.25 9.25 8.75 9.75 9.25,,9.14,
"",Judges Total Program Component Score (factored),,,73.47,
Deductions:,,,,0.00,
FSKXPAIRS-------------FNL-000100--_77B 1.0,,Report Created  THU 15 FEB 2018 13:36,,Page 1 / 9,
"",,Gangneung Ice Arena Figure Skating,,,
"",,강릉 아이스 아레나 피겨 스케이팅 / Patinage artistique,,,
"",,Palais des glaces de Gangneung,,,
"",,Pair Skating,,,
"",,피겨 스케이팅 페어 / Patinage en couple,,,
"",,THU 15 FEB 2018 Free Skating,,,
"",,프리 스케이팅 / Programme libre,,,
"",,Judges Details per Skater,,,
"",,선수별 심판 세부채점 정보 / Notation détaillée des juges par patineur,,,
"",,Total Total Total Program,,,
"",,NOC Starting,,Total,
Rank,Name,SegImnfeont Element Component Score,,,Info
"",,Code Number,,Deductions,
"",,Score Score (factored),,,
3,SUI Wenjing / HAN Cong,CHN 15 153.08 76.29 76.79,,0.00,
"",,Base,,Scores,
"#",Executed Elements,GOE J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref.,
"",,Value,,of Panel,
1,4Tw3,8.60 1.00 0 -1 2 1 1 2 0 2 1,,9.60,
2,3T+1T+2T,6.00 -1.20 -2 -2 -1 -1 -2 -2 -2 -2 -1,,4.80,
3,3S,4.40 -1.10 -1 -2 -1 -2 -1 -2 -2 -1 -2,,3.30,
4,BoDs4,4.50 1.50 2 2 3 2 3 2 2 2 2,,6.00,
5,5RLi4,7.50 2.00 2 2 3 3 3 3 3 3 3,,9.50,
6,FCCoSp4,3.50 1.43 3 2 3 3 3 3 3 3 2,,4.93,
7,3FTh,5.50 2.10 3 2 3 3 3 3 3 3 3,,7.60,
8,3STh,4.50 2.10 3 3 3 3 3 3 3 3 3,,6.60,
9,ChSq1,2.00 2.00 2 2 3 3 3 3 3 3 3,,4.00,
10,PCoSp2,3.50 1.36 2 2 3 3 3 3 3 3 2,,4.86,
11,5ALi4,7.50 2.10 3 2 3 3 3 3 3 3 3,,9.60,
12,3Li3,4.00 1.50 3 2 3 3 3 3 3 3 3,,5.50,
"",,61.50,,76.29,
"",Program Components,Factor,,,
"",Skating Skills,1.60 9.50 9.50 9.50 9.75 9.75 9.50 9.25 9.75 9.50,,9.57,
"",Transitions,1.60 9.50 9.00 9.75 9.50 9.50 9.25 9.50 9.75 9.25,,9.46,
"",Performance,1.60 9.50 8.75 9.75 9.50 9.75 9.50 9.25 9.75 9.50,,9.54,
"",Composition,1.60 9.75 9.25 10.00 9.75 10.00 9.50 9.50 9.75 9.75,,9.71,
"",Interpretation of the Music,1.60 9.75 9.50 10.00 9.75 10.00 9.75 9.50 9.75 9.50,,9.71,
"",Judges Total Program Component Score (factored),,,76.79,
Deductions:,,Total Total Total Program,,0.00,
"",,NOC Starting,,Total,
Rank,Name,Segment Element Component Score,,,
"",,Code Number,,Deductions,
"",,Score Score (factored),,,
4,TARASOVA Evgenia / MOROZOV Vladimir,OAR 16 143.25 70.08 74.17,,-1.00,
"",,Base,,Scores,
"#",Executed Elements,GOE J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref.,
"",,Value,,of Panel,
1,4Tw3,8.60 0.57 0 0 1 0 1 1 2 1 0,,9.17,
2,2S,1.30 -0.34 -2 -2 -2 0 -2 -2 -2 1 -2,,0.96,
3,3STh,4.50 -1.80 -2 -3 -3 -3 -2 -2 -3 -2 -3,,2.70,
4,3T+2T+2T,6.90 1.00 1 2 2 3 1 1 2 1 1,,7.90,
5,5RLi4,7.50 1.80 2 2 2 3 3 3 3 3 2,,9.30,
6,BoDs2,3.50 1.00 0 2 1 2 1 2 1 1 2,,4.50,
7,FCCoSp4,3.50 1.21 3 2 2 2 2 3 3 3 2,,4.71,
8,ChSq1,2.00 1.30 1 2 2 2 2 2 2 3 1,,3.30,
9,3LoTh,5.00 2.10 3 3 3 3 3 3 3 3 3,,7.10,
10,5ALi4,7.50 1.80 3 2 3 2 2 3 3 3 2,,9.30,
11,3Li4,4.50 1.14 2 2 2 2 2 3 3 3 2,,5.64,
12,PCoSp4,4.50 1.00 2 2 1 2 2 2 2 3 2,,5.50,
"",,59.30,,70.08,
"",Program Components,Factor,,,
"",Skating Skills,1.60 9.50 9.50 9.50 9.25 9.75 9.50 9.50 9.75 9.50,,9.54,
"",Transitions,1.60 9.00 9.25 9.00 9.00 9.50 9.25 9.00 9.50 9.25,,9.18,
"",Performance,1.60 8.75 9.00 9.00 9.25 9.25 9.50 9.25 9.50 8.75,,9.14,
"",Composition,1.60 8.75 9.50 9.25 9.50 9.25 9.50 9.25 9.75 9.00,,9.32,
"",Interpretation of the Music,1.60 8.75 9.25 9.00 9.50 9.00 9.50 9.25 9.50 8.50,,9.18,
"",Judges Total Program Component Score (factored),,,74.17,
Deductions:,,Falls -1.00,,-1.00,
FSKXPAIRS-------------FNL-000100--_77B 1.0,,Report Created  THU 15 FEB 2018 13:36,,Page 2 / 9,
"",,Gangneung Ice Arena Figure Skating,,,
"",,강릉 아이스 아레나 피겨 스케이팅 / Patinage artistique,,,
"",,Palais des glaces de Gangneung,,,
"",,Pair Skating,,,
"",,피겨 스케이팅 페어 / Patinage en couple,,,
"",,THU 15 FEB 2018 Free Skating,,,
"",,프리 스케이팅 / Programme libre,,,
"",,Judges Details per Skater,,,
"",,선수별 심판 세부채점 정보 / Notation détaillée des juges par patineur,,,
"",,Total Total Total Program,,,
"",,NOC Starting,,Total,
Rank,Name,SegImnfeont Element Component Score,,,Info
"",,Code Number,,Deductions,
"",,Score Score (factored),,,
5,JAMES Vanessa / CIPRES Morgan,FRA 11 143.19 71.59 71.60,,0.00,
"",,Base,,Scores,
"#",Executed Elements,GOE J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref.,
"",,Value,,of Panel,
1,3Tw4,6.60 1.70 3 2 2 3 2 2 3 2 3,,8.30,
