"",,Gangneung Ice Arena Figure Skating,,,
"",,강릉 아이스 아레나 피겨 스케이팅 / Patinage artistique,,,
"",,Palais des glaces de Gangneung,,,
"",,Ladies Single Skating,,,
"",,피겨 스케이팅 여자 싱글 / Patinage individuel femmes,,,
"",,FRI 23 FEB 2018 Free Skating,,,
"",,프리 스케이팅 / Programme libre,,,
"",,Judges Details per Skater,,,
"",,선수별 심판 세부채점 정보 / Notation détaillée des juges par patineur,,,
"",,Total Total Total Program,,,
"",,NOC Starting,,Total,
Rank,Name,Segment Element Component Score,,,Info
"",,Code Number,,Deductions,
"",,Score Score (factored),,,
1,MEDVEDEVA Evgenia,OAR 24 156.65 79.18 77.47,,0.00,
"",,Base,,Scores,
"#",Executed Elements,GOE J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref.,
"",,Value,,of Panel,
1,3F+3T,9.60 1.40 2 2 3 2 2 2 2 2 2,,11.00,
2,3Lz,6.00 1.60 2 3 3 2 2 2 2 2 3,,7.60,
3,FCCoSp4,3.50 1.07 2 2 3 3 1 2 2 2 2,,4.57,
4,StSq4,3.90 2.00 2 3 3 3 2 3 3 3 3,,5.90,
5,3F,5.83 x 1.90 3 3 3 3 3 2 2 2 3,,7.73,
6,3Lo,5.61 x 1.70 3 2 3 3 3 2 2 2 2,,7.31,
7,2A+2T+2T,6.49 x 0.79 1 1 3 2 2 1 2 1 2,,7.28,
8,3S+3T,9.57 x 1.60 1 3 3 3 2 2 2 2 2,,11.17,
9,2A,3.63 x 0.71 1 1 3 2 1 1 2 1 2,,4.34,
10,ChSq1,2.00 1.80 2 3 3 3 2 2 2 3 3,,3.80,
11,CCoSp4,3.50 1.14 2 2 3 3 2 2 2 2 3,,4.64,
12,LSp4,2.70 1.14 3 2 3 3 2 2 1 2 2,,3.84,
"",,62.33,,79.18,
"",Program Components,Factor,,,
"",Skating Skills,1.60 9.50 9.50 9.75 9.75 9.50 9.75 9.50 9.50 9.50,,9.57,
"",Transitions,1.60 9.25 9.50 9.50 9.75 9.25 9.50 9.25 9.50 9.50,,9.43,
"",Performance,1.60 9.50 9.75 10.00 10.00 9.50 10.00 9.75 9.75 10.00,,9.82,
"",Composition,1.60 9.50 10.00 9.75 10.00 9.50 9.75 9.75 9.50 9.75,,9.71,
"",Interpretation of the Music,1.60 9.75 10.00 10.00 10.00 9.50 10.00 9.75 9.75 10.00,,9.89,
"",Judges Total Program Component Score (factored),,,77.47,
Deductions:,,,,0.00,
FSKWSINGLES-----------FNL-000100--_77B 1.0,,Report Created  FRI 23 FEB 2018 14:02,,Page 1 / 24,
"",,Gangneung Ice Arena Figure Skating,,,
"",,강릉 아이스 아레나 피겨 스케이팅 / Patinage artistique,,,
"",,Palais des glaces de Gangneung,,,
"",,Ladies Single Skating,,,
"",,피겨 스케이팅 여자 싱글 / Patinage individuel femmes,,,
"",,FRI 23 FEB 2018 Free Skating,,,
"",,프리 스케이팅 / Programme libre,,,
"",,Judges Details per Skater,,,
"",,선수별 심판 세부채점 정보 / Notation détaillée des juges par patineur,,,
"",,Total Total Total Program,,,
"",,NOC Starting,,Total,
Rank,Name,Segment Element Component Score,,,Info
"",,Code Number,,Deductions,
"",,Score Score (factored),,,
2,ZAGITOVA Alina,OAR 22 156.65 81.62 75.03,,0.00,
"",,Base,,Scores,
"#",Executed Elements,GOE J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref.,
"",,Value,,of Panel,
1,ChSq1,2.00 1.70 2 3 3 3 2 2 3 2 2,,3.70,
2,FCSp4,3.20 1.07 2 2 3 2 2 2 2 2 3,,4.27,
3,StSq4,3.90 1.80 2 2 3 3 2 3 3 3 2,,5.70,
4,3Lz,6.60 x 0.50 1 0 2 1 0 1 0 1 1,,7.10,
5,2A+3T,8.36 x 1.40 2 2 2 2 1 2 2 2 2,,9.76,
6,3F+2T+2Lo,9.24 x 1.20 2 2 3 2 2 1 1 1 2,,10.44,
7,LSp4,2.70 1.07 2 2 3 3 1 2 2 2 2,,3.77,
8,3Lz+3Lo,12.21 x 1.70 2 2 3 3 2 3 2 2 3,,13.91,
9,3S,4.84 x 1.40 2 2 3 2 1 2 2 2 2,,6.24,
10,3F,5.83 x 1.70 3 2 3 3 3 2 2 2 2,,7.53,
11,2A,3.63 x 0.57 1 1 1 2 2 1 1 1 1,,4.20,
12,CCoSp4,3.50 1.50 3 3 3 3 3 2 3 3 3,,5.00,
"",,66.01,,81.62,
"",Program Components,Factor,,,
"",Skating Skills,1.60 9.00 9.25 9.50 9.50 9.00 9.50 9.25 9.50 9.25,,9.32,
"",Transitions,1.60 9.25 9.00 9.25 9.25 9.00 9.25 9.25 9.25 9.25,,9.21,
"",Performance,1.60 9.50 9.50 9.75 9.75 9.50 9.75 9.25 9.75 9.50,,9.61,
"",Composition,1.60 9.00 9.25 9.75 9.50 9.25 9.50 9.50 9.00 9.00,,9.29,
"",Interpretation of the Music,1.60 9.50 9.00 9.75 9.50 9.25 9.75 9.50 9.75 9.00,,9.46,
"",Judges Total Program Component Score (factored),,,75.03,
Deductions:,,,,0.00,
FSKWSINGLES-----------FNL-000100--_77B 1.0,,Report Created  FRI 23 FEB 2018 14:02,,Page 2 / 24,
"",,Gangneung Ice Arena Figure Skating,,,
"",,강릉 아이스 아레나 피겨 스케이팅 / Patinage artistique,,,
"",,Palais des glaces de Gangneung,,,
"",,Ladies Single Skating,,,
"",,피겨 스케이팅 여자 싱글 / Patinage individuel femmes,,,
"",,FRI 23 FEB 2018 Free Skating,,,
"",,프리 스케이팅 / Programme libre,,,
"",,Judges Details per Skater,,,
"",,선수별 심판 세부채점 정보 / Notation détaillée des juges par patineur,,,
"",,Total Total Total Program,,,
"",,NOC Starting,,Total,
Rank,Name,Segment Element Component Score,,,Info
"",,Code Number,,Deductions,
"",,Score Score (factored),,,
3,OSMOND Kaetlyn,CAN 23 152.15 76.50 75.65,,0.00,
"",,Base,,Scores,
"#",Executed Elements,GOE J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref.,
"",,Value,,of Panel,
1,3F+3T,9.60 1.90 3 2 3 2 3 2 3 3 3,,11.50,
2,2A+3T,7.60 1.90 3 3 3 2 3 2 2 3 3,,9.50,
3,3Lz,"! 6.00 -1.40 -1 -2 -2 -2 -2 -2 -2 -2 -2",,4.60,
4,FCCoSp4,3.50 0.79 2 2 3 1 2 1 2 1 1,,4.29,
5,LSp4,2.70 1.14 3 3 3 2 2 2 2 2 2,,3.84,
6,3Lo,5.61 x 1.50 3 2 3 2 2 2 2 2 2,,7.11,
7,3F,5.83 x 1.80 3 2 3 2 3 1 2 3 3,,7.63,
8,3S+2T+2Lo,8.25 x 1.10 2 1 3 1 2 1 2 2 1,,9.35,
9,2A,3.63 x 0.71 2 1 2 1 2 1 1 1 2,,4.34,
10,StSq4,3.90 1.90 3 2 3 2 3 2 3 3 3,,5.80,
11,ChSq1,2.00 1.90 3 3 3 2 3 2 3 3 2,,3.90,
12,CCoSp4,3.50 1.14 3 2 3 2 3 1 2 2 2,,4.64,
"",,62.12,,76.50,
"",Program Components,Factor,,,
"",Skating Skills,1.60 9.75 9.25 9.75 9.25 9.75 9.00 9.50 9.50 9.50,,9.50,
"",Transitions,1.60 9.50 8.75 9.50 8.75 9.50 8.75 9.25 9.50 9.25,,9.21,
"",Performance,1.60 9.75 9.00 10.00 9.25 9.75 9.25 9.50 9.75 9.75,,9.57,
"",Composition,1.60 9.50 9.00 9.75 8.75 9.75 8.75 9.50 9.75 9.50,,9.39,
"",Interpretation of the Music,1.60 9.75 9.25 9.75 9.00 9.75 9.25 9.75 9.75 9.75,,9.61,
"",Judges Total Program Component Score (factored),,,75.65,
Deductions:,,,,0.00,
FSKWSINGLES-----------FNL-000100--_77B 1.0,,Report Created  FRI 23 FEB 2018 14:02,,Page 3 / 24,
"",,Gangneung Ice Arena Figure Skating,,,
"",,강릉 아이스 아레나 피겨 스케이팅 / Patinage artistique,,,
"",,Palais des glaces de Gangneung,,,
"",,Ladies Single Skating,,,
"",,피겨 스케이팅 여자 싱글 / Patinage individuel femmes,,,
"",,FRI 23 FEB 2018 Free Skating,,,
"",,프리 스케이팅 / Programme libre,,,
"",,Judges Details per Skater,,,
"",,선수별 심판 세부채점 정보 / Notation détaillée des juges par patineur,,,
"",,Total Total Total Program,,,
"",,NOC Starting,,Total,
Rank,Name,Segment Element Component Score,,,Info
"",,Code Number,,Deductions,
"",,Score Score (factored),,,
4,MIYAHARA Satoko,JPN 19 146.44 75.20 71.24,,0.00,
"",,Base,,Scores,
"#",Executed Elements,GOE J1 J2 J3 J4 J5 J6 J7 J8 J9,,Ref.,
"",,Value,,of Panel,
1,3Lo,5.10 1.00 2 2 1 1 1 1 2 2 1,,6.10,
2,3Lz+3T,10.30 1.00 1 1 1 1 0 2 2 2 2,,11.30,
3,3F,5.30 0.70 1 1 1 1 0 1 1 2 1,,6.00,
4,FCSp4,3.20 0.93 2 2 2 2 1 2 2 1 2,,4.13,
5,CCoSp4,3.50 0.86 2 1 3 1 1 2 2 2 2,,4.36,
6,StSq4,3.90 1.50 2 2 3 2 2 2 2 3 2,,5.40,
7,3Lz+2T+2Lo,10.01 x 0.60 1 1 0 1 0 1 1 1 1,,10.61,
8,2A+3T,8.36 x 1.20 2 1 1 2 1 2 2 2 2,,9.56,
9,3S,4.84 x 0.80 2 1 1 1 0 1 2 1 1,,5.64,
10,ChSq1,2.00 1.70 2 2 3 3 2 3 2 3 2,,3.70,
11,2A,3.63 x 0.57 1 1 1 2 1 1 1 2 1,,4.20,
12,LSp4,2.70 1.50 3 3 2 3 3 3 3 3 3,,4.20,
"",,62.84,,75.20,
"",Program Components,Factor,,,
"",Skating Skills,1.60 9.00 9.00 9.25 8.75 9.00 8.75 8.75 9.00 9.00,,8.93,
"",Transitions,1.60 9.00 8.50 8.75 8.50 8.50 8.50 8.50 9.25 8.75,,8.64,
"",Performance,1.60 9.25 9.00 9.25 9.00 9.00 9.00 9.00 9.50 9.00,,9.07,
"",Composition,1.60 9.25 8.75 9.00 8.50 9.00 8.75 8.75 9.25 8.75,,8.89,
"",Interpretation of the Music,1.60 9.25 8.75 9.00 9.00 9.25 9.00 8.75 9.50 8.75,,9.00,
