ISU Four Continents Figure Skating Championships,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
1 Satoko MIYAHARA JPN  19  72.48  39.88,,,,32.60,0.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 3Lz+3T  10.30  0.70 1 1 1 2 1 1,1,,,1 1,11.00,
2 LSp4  2.70  1.21 3 1 2 3 3 2,2,,,2 3,3.91,
3 FCSp4  3.20  0.86 2 2 1 2 2 1,2,,,1 2,4.06,
4 StSq4  3.90  1.60 2 3 2 3 3 2,2,,,2 1,5.50,
"",Info,,,,,Info
5 3F  5.83 x  0.80 1 1 2 2 1 1,1,,,1 1,6.63,
6 2A  3.63 x  0.79 1 1 2 2 1 2,1,,,2 2,4.42,
7 CCoSp3p4  3.50  0.86 1 1 -2 3 2 2,2,,,2 2,4.36,
33.06,,,,,39.88,
Program Components Factor,,,,,,
Skating Skills  0.80 8.25 8.50 8.00 8.75 7.25 8.00,8.50,,,8.25 7.50,8.14,
Transition / Linking Footwork  0.80 8.00 8.50 7.00 9.00 7.50 8.00,8.25,,,7.75 7.00,7.86,
Performance / Execution  0.80 8.25 9.00 8.00 9.00 7.75 8.50,8.50,,,8.25 7.75,8.32,
Choreography / Composition  0.80 8.25 9.00 7.75 8.75 7.75 8.25,8.50,,,8.25 7.50,8.21,
Interpretation  0.80 8.25 8.75 7.50 9.00 8.00 8.00,8.25,,,8.50 7.75,8.21,
Judges Total Program Component Score (factored),,,,,32.60,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
2 Kanako MURAKAMI JPN  20  68.51  36.51,,,,32.00,0.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 3F  5.30  1.20 1 2 2 1 2 2,2,,,1 2,6.50,
2 FCSp4  3.20  0.57 2 1 1 1 1 2,1,,,1 1,3.77,
3 CCoSp3p4  3.50  0.57 1 1 1 2 2 1,1,,,1 1,4.07,
4 3T+3T  9.46 x  1.30 2 2 2 2 1 2,2,,,1 2,10.76,
5 2A  3.63 x  0.07 0 1 0 0 0 1,0,,,0 0,3.70,
6 LSp4  2.70  0.57 1 1 1 1 2 2,1,,,1 0,3.27,
7 StSq3  3.30  1.14 3 3 2 2 2 3,2,,,2 2,4.44,
31.09,,,,,36.51,
Program Components Factor,,,,,,
Skating Skills  0.80 8.25 8.50 8.25 8.25 7.75 8.00,8.00,,,7.50 7.50,8.00,
Transition / Linking Footwork  0.80 8.25 7.75 8.50 7.50 7.25 8.25,7.75,,,7.50 7.25,7.75,
Performance / Execution  0.80 8.75 8.00 8.50 8.25 7.75 8.00,8.25,,,7.75 7.50,8.07,
Choreography / Composition  0.80 8.75 8.50 8.50 7.75 7.50 8.00,8.00,,,7.75 7.75,8.04,
Interpretation  0.80 8.50 8.25 8.75 8.25 7.75 8.50,8.00,,,7.50 7.75,8.14,
Judges Total Program Component Score (factored),,,,,32.00,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU Four Continents Figure Skating Championships,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
3 Mirai NAGASU USA  21  66.06  35.05,,,,31.01,0.00,
