ISU Four Continents Figure Skating Championships,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
1 Boyang JIN CHN  22  98.45  58.41,,,,40.04,0.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 4Lz+3T  17.90  1.86 2 2 2 2 1 2,1,,,2 2,19.76,
2 3A  8.50  1.57 1 3 2 3 1 1,1,,,1 2,10.07,
3 CCoSp3p4  3.50  0.50 1 1 1 1 0 1,1,,,1 1,4.00,
4 StSq4  3.90  1.00 1 2 1 2 1 2,1,,,1 2,4.90,
"",Info,,,,,Info
5 4T  11.33 x  1.29 1 2 2 2 0 2,1,,,1 -1,12.62,
6 FCSp4  3.20  0.57 1 2 1 2 1 1,1,,,1 1,3.77,
7 CSSp4  3.00  0.29 0 1 0 0 0 1,1,,,1 1,3.29,
51.33,,,,,58.41,
Program Components Factor,,,,,,
Skating Skills  1.00 8.00 7.75 7.75 9.00 8.00 8.50,7.75,,,7.50 8.00,7.96,
Transition / Linking Footwork  1.00 7.75 7.50 7.75 8.50 7.50 8.00,7.50,,,7.25 7.75,7.68,
Performance / Execution  1.00 7.75 8.75 9.00 9.25 8.25 8.75,8.00,,,7.50 8.50,8.43,
Choreography / Composition  1.00 7.50 8.00 8.25 8.75 7.75 8.25,7.75,,,7.50 8.00,7.93,
Interpretation  1.00 7.75 8.00 8.00 9.00 7.75 9.00,7.50,,,7.50 8.25,8.04,
Judges Total Program Component Score (factored),,,,,40.04,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
2 Shoma UNO JPN  19  92.99  50.06,,,,42.93,0.00,
"# Executed Base GOE The Judges Panel",,,,,Ref Scores,
Elements Value (in random order),,,,,of Panel,
1 4T  10.30 -1.54 0 -1 -2 -1 -1 -1,-2,,,-2 -1,8.76,
2 FCSp4  3.20  0.71 2 2 1 1 2 1,1,,,2 1,3.91,
3 CSSp4  3.00  0.57 1 1 2 1 1 0,2,,,1 1,3.57,
4 3A  9.35 x  2.57 3 2 2 3 3 2,3,,,3 2,11.92,
5 3F+3T  10.56 x  1.10 2 2 2 1 1 1,2,,,1 2,11.66,
6 StSq4  3.90  1.70 3 3 2 2 2 3,2,,,3 2,5.60,
7 CCoSp3p4  3.50  1.14 2 3 2 2 2 2,3,,,3 2,4.64,
43.81,,,,,50.06,
Program Components Factor,,,,,,
Skating Skills  1.00 8.50 9.00 9.00 8.50 9.00 8.50,8.25,,,9.00 8.50,8.71,
Transition / Linking Footwork  1.00 7.75 8.25 8.00 8.25 8.75 8.25,8.00,,,8.25 8.25,8.18,
Performance / Execution  1.00 8.50 9.25 8.75 8.75 9.00 8.50,8.75,,,9.00 8.50,8.75,
Choreography / Composition  1.00 8.50 9.00 8.50 8.25 9.00 8.00,8.50,,,9.00 8.50,8.61,
Interpretation  1.00 8.75 8.50 8.75 8.25 9.00 8.25,8.75,,,9.00 8.75,8.68,
Judges Total Program Component Score (factored),,,,,42.93,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
ISU Four Continents Figure Skating Championships,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting Total Total,,,,Total,Total,
Rank Name Nation Number Segment Element,,,,Program  Component,Deductions,
Score Score,,,,Score (factored),,
3 Han YAN CHN  18  89.57  47.92,,,,41.65,0.00,
