11
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
19,Jocelyn HO,TPE,0,62.45,33.16,29.29,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,Ref,Scores of Panel
1,2A+2T,,4.6,False,0.0,0,0,0,0,0,0,0,0,0,0,0,,4.6
2,3T,,4.0,False,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,3.0
3,3S,,4.5,False,-1.0,-1,-1,-1,-1,-2,-1,-1,-2,-1,-1,-2,,3.5
4,CCoSp3,,3.0,False,0.0,-1,0,0,0,0,0,0,1,0,-1,-1,,3.0
5,CoSp3,,2.5,False,-0.05,0,0,0,0,0,0,-1,0,-1,-1,0,,2.45
6,1T,,0.44,True,-0.07,0,-1,-1,0,0,-1,-1,0,-1,-2,-1,,0.37
7,2A,,3.63,True,-0.12,0,-1,0,0,0,-1,0,0,0,0,0,,3.51
8,2Lz+1T,,2.53,True,0.0,0,0,0,0,0,0,-1,0,0,0,-1,,2.53
9,SSp2,,1.5,False,-0.15,-1,0,-1,0,0,-1,-2,0,0,-1,-1,,1.35
10,SpSq3,,3.1,False,0.0,0,0,0,0,0,0,0,0,0,0,0,,3.1
11,2A<+2F+SEQ,,2.2,True,-0.55,-2,-3,-2,-1,-2,-2,-2,-2,0,-2,-2,,1.65
12,SlSt1,,1.8,False,0.0,0,0,0,0,-1,0,0,0,0,-1,0,,1.8
13,FSSp3,,2.3,False,0.0,0,0,0,0,0,0,-1,1,0,0,0,,2.3
,,,36.1,,,,,,,,,,,,,,,33.16
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,4.25,4.25,4.0,3.75,4.0,4.0,3.75,3.75,3.75,4.0,4.25,,3.96
,Transition / Linking Footwork  ,,,,1.6,4.0,3.5,3.25,3.25,3.75,3.0,3.0,3.5,3.5,2.75,3.5,,3.38
,Performance / Execution  ,,,,1.6,4.0,4.0,3.75,3.5,3.75,3.5,3.0,3.5,3.75,3.25,4.0,,3.71
,Choreography / Composition  ,,,,1.6,4.25,3.75,3.5,3.75,4.0,3.25,2.75,3.5,3.75,3.5,3.5,,3.67
,Interpretation  ,,,,1.6,4.0,3.75,3.5,3.5,3.5,3.5,3.0,3.75,3.75,3.5,3.75,,3.58
,,,,,,,,,,,,,,,,,,29.29
