11
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
11,Cynthia PHANEUF,CAN,0,77.87,38.79,41.08,2.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,Ref,Scores of Panel
1,2A,,3.3,False,0.33,0,0,1,1,0,0,1,0,0,1,1,,3.63
2,2A,,3.3,False,0.17,0,0,1,0,0,0,1,1,0,1,1,,3.47
3,3Lz,,6.0,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.0
4,FCSp2,,2.0,False,0.17,0,1,0,1,1,0,0,0,-1,0,-1,,2.17
5,2S,,1.3,False,0.0,0,0,0,0,0,0,0,0,0,-1,0,,1.3
6,3T+2T+2Lo,,6.8,False,0.5,0,0,1,0,1,1,1,1,0,1,1,,7.3
7,SpSq3,,3.1,False,0.08,1,1,0,0,0,0,0,1,0,1,1,,3.18
8,SlSt1,,1.8,False,0.0,0,0,0,0,0,0,1,1,0,1,0,,1.8
9,3T,,4.4,True,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,1.4
10,FCCoSp3,,3.0,False,0.03,0,0,0,0,1,1,-1,1,-1,-1,0,,3.03
11,2F+2T,,3.3,True,0.0,0,0,0,0,0,0,0,0,0,0,0,,3.3
12,CCoSp2,,2.5,False,0.33,0,1,1,1,1,0,1,1,0,1,1,,2.83
13,CSSp3,,2.3,False,0.08,0,0,1,0,1,0,0,2,0,0,0,,2.38
,,,43.1,,,,,,,,,,,,,,,38.79
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,5.75,5.0,5.0,5.25,5.0,5.25,6.0,5.5,5.0,6.0,5.5,,5.21
,Transition / Linking Footwork  ,,,,1.6,5.5,4.5,4.75,4.75,4.75,5.0,4.75,5.25,4.75,4.75,4.75,,4.79
,Performance / Execution  ,,,,1.6,5.75,4.75,4.75,5.0,5.25,5.5,6.25,5.25,5.0,5.0,5.25,,5.21
,Choreography / Composition  ,,,,1.6,5.75,5.0,5.0,5.25,5.0,5.25,5.75,5.25,5.0,5.5,5.5,,5.21
,Interpretation  ,,,,1.6,5.75,5.25,5.0,5.0,5.25,5.25,6.25,5.0,5.0,5.75,6.0,,5.25
,,,,,,,,,,,,,,,,,,41.08
Deduction,Falls,-2.0
