11
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
3,Joannie ROCHETTE,CAN,0,109.3,55.03,54.27,0.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,11,Ref,Scores of Panel
1,3F+2T+2Lo,,8.3,False,1.0,1,1,1,1,1,1,1,1,1,2,1,,9.3
2,1Lz,,0.6,False,-0.07,0,0,-1,0,-1,-2,-1,0,-1,-1,-1,,0.53
3,3Lo,,5.0,False,1.0,0,1,1,1,1,1,1,2,1,1,1,,6.0
4,CCoSp4,,3.5,False,0.0,0,0,0,0,0,0,0,0,1,1,0,,3.5
5,SlSt3,,3.1,False,0.08,1,0,0,0,0,0,1,0,0,1,0,,3.18
6,3F,,6.05,True,-0.5,0,-1,0,-1,-2,0,-1,1,1,1,-1,,5.55
7,2A+3T+SEQ,,6.42,True,0.83,1,0,1,1,1,0,1,1,1,2,1,,7.25
8,CSSp4,,3.0,False,0.0,0,0,0,0,0,0,-1,0,0,0,0,,3.0
9,SpSq4,,3.4,False,0.5,2,1,0,1,0,0,0,1,1,1,1,,3.9
10,1Lz,,0.66,True,-0.07,0,-1,-1,-1,0,-2,0,0,-1,-2,-2,,0.59
11,3S+2T,,6.38,True,0.0,0,0,0,0,0,-1,0,0,0,0,0,,6.38
12,CCoSp3,,3.0,False,-0.15,0,-1,0,0,-1,0,-1,0,-1,-1,0,,2.85
13,FSSp4,,3.0,False,0.0,0,0,0,0,0,0,0,0,0,0,0,,3.0
,,,52.41,,,,,,,,,,,,,,,55.03
,Program Components,,,,Factor
,Skating Skills  ,,,,1.6,7.0,6.75,6.75,7.25,7.0,6.5,7.25,6.5,6.75,6.5,7.0,,6.92
,Transition / Linking Footwork  ,,,,1.6,7.0,6.25,6.5,7.0,6.75,6.0,6.75,6.0,6.5,6.5,7.0,,6.63
,Performance / Execution  ,,,,1.6,7.0,6.5,6.75,7.0,7.0,6.25,7.25,6.0,6.75,6.0,6.5,,6.83
,Choreography / Composition  ,,,,1.6,7.0,6.5,6.5,7.25,7.0,6.5,6.75,6.25,6.75,6.75,7.25,,6.75
,Interpretation  ,,,,1.6,7.0,6.75,6.5,7.0,6.75,6.25,7.5,6.0,6.75,6.75,7.0,,6.79
,,,,,,,,,,,,,,,,,,54.27
