ISU GP NHK Trophy 2008,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
1 Mao ASADA JPN,,126.49  64.25,62.24,,0.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3A  8.20  1.60 2 1 2 1,,2 0 1 2 2,2 - -,,9.80,,
2 3A<+2T <  4.80 -0.80 -2 -1 -1 -1,,-1 -1Info -2 -1 -1,-1 - -,,4.00,,Info
3 3F+2Lo+2Lo  8.50  1.00 1 1 1 -1,,1 -1 2 1 1,1 - -,,9.50,,
4 FSSp4  3.00  0.50 0 1 1 1,,1 0 1 1 1,0 - -,,3.50,,
5 SpSq3  3.10  0.60 1 1 1 2,,2 1 1 1 1,1 - -,,3.70,,
6 3S  4.95 x  0.80 0 1 1 0,,2 1 1 0 1,1 - -,,5.75,,
7 3F  6.05 x  0.60 0 1 0 -1,,1 1 1 1 1,0 - -,,6.65,,
8 3T  4.40 x  0.60 0 0 0 1,,0 1 1 1 0,1 - -,,5.00,,
9 2A  3.85 x  1.00 0 1 1 1,,2 1 1 1 1,1 - -,,4.85,,
10 FCoSp4  3.00  0.50 0 1 1 1,,2 1 1 1 2,0 - -,,3.50,,
11 SlSt3  3.30  1.00 2 2 2 2,,2 2 1 2 2,2 - -,,4.30,,
12 CCoSp4  3.50  0.20 1 0 1 1,,0 1 0 1 1,0 - -,,3.70,,
56.65,,,,,64.25,,
Program Components Factor,,,,,,,
Skating Skills  1.60 8.00 8.25 7.75 8.00,,8.25 8.25 8.00 8.00 8.25,7.75 - -,,8.00,,
Transition / Linking Footwork  1.60 7.25 6.75 7.50 6.75,,8.00 7.25 7.25 7.50 7.50,7.25 - -,,7.25,,
Performance / Execution  1.60 8.00 7.50 8.00 7.75,,8.50 8.25 8.00 7.75 8.25,7.75 - -,,7.85,,
Choreography / Composition  1.60 7.75 7.50 8.25 7.75,,8.25 7.75 8.00 7.75 7.75,7.25 - -,,7.85,,
Interpretation  1.60 7.75 7.25 8.00 8.00,,8.75 8.00 8.00 8.00 7.75,7.75 - -,,7.95,,
Judges Total Program Component Score (factored),,,,,62.24,,
Deductions:,,,,,0.00,,
"*  Invalid element !  Jump take off with wrong edge (short) e  Jump take off with wrong edge (long)",,"<  Downgraded jump x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
"",,Total Total,Total,Total,,,
NOC,,Segment Element,Program  Component,Deductions,,,
Rank Name,,,,,,,
Code,,Score Score,Score (factored),,,,
"",,= +,+,,-,,
2 Akiko SUZUKI JPN,,112.08  56.96,55.12,,0.00,,
"# Executed Base GOE",,The Judges Panel,,,Scores,,
Elements Value,,(in random order),,of Panel,,,
1 3Lz+2Lo  7.50 -1.00 -1 -2 -1 -1,,-1 -1 -1 -1 -1,-1 - -,,6.50,,
2 2A+3T< <  4.80 -1.12 -2 -2 -1 -1,,-1 -1 -2 -1 -1,-2 - -,,3.68,,
3 3Lo  5.00  0.80 1 1 0 1,,1 0 1 1 1,0 - -,,5.80,,
4 CCoSp4  3.50  0.30 1 1 1 1,,1 0 0 0 1,0 - -,,3.80,,
5 SpSq4  3.40  1.20 2 1 1 2,,2 1 1 1 1,0 - -,,4.60,,
6 3F e  6.05 x -0.80 -1 -1 0 0,,-1 -1 -1 -1 -1,-1 - -,,5.25,,
7 3Lz  6.60 x -2.00 -2 -2 -2 -1,,-2 -2 -2 -2 -1,-2 - -,,4.60,,
8 3Lo+2A+SEQ  7.48 x  0.00 0 0 0 0,,0 0 0 0 1,0 - -,,7.48,,
9 3S  4.95 x  0.20 0 0 0 1,,0 0 0 1 0,0 - -,,5.15,,
10 FCSp2  2.30  0.30 0 1 0 -1,,1 0 1 0 1,1 - -,,2.60,,
11 SlSt3  3.30  0.70 2 2 1 1,,1 1 2 2 1,1 - -,,4.00,,
12 FCoSp4  3.00  0.50 1 1 1 1,,1 1 1 1 2,1 - -,,3.50,,
57.88,,,,,56.96,,
Program Components Factor,,,,,,,
Skating Skills  1.60 6.50 6.50 6.75 7.00,,7.00 7.00 7.25 7.00 7.00,7.00 - -,,6.95,,
