ISU GP NHK Trophy 2008,,,,,,
ICE DANCE ORIGINAL DANCEJUDGES DETAILS PER SKATER,,,,,,
"",Total Total,,,Total,Total,
"",NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
"",Code Score Score,,,Score (factored),,
"",= +,,,+,-,
1 Nathalie PECHALAT / Fabian BOURZAT,FRA  54.27  28.30,,,25.97,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 CuLi4  4.00  0.50,1 1 1 1 1 2 1 1,,1,- - -,4.50,
2 STw3  4.00 Info  0.10,0 1 1 -1 0 1 1 0,,Info0,- - -,4.10,Info
3 CiSt3  7.20  1.00,0 1 2 0 1 2 1 1,,1,- - -,8.20,
4 Sp4  4.70  0.40,1 1 1 1 1 0 1 1,,0,- - -,5.10,
5 MiStNt2  5.40  1.00,1 1 1 1 1 2 1 1,,1,- - -,6.40,
6 Li+TRANS  0.00  0.00,- - - - - - - -,,-,- - -,0.00,
25.30,,,,,28.30,
Program Components Factor,,,,,,
Skating Skills  0.80,6.75 6.75 7.00 6.75 6.75 7.00 7.00 6.75,,6.75,- - -,6.80,
Linking Footwork / Movement  0.80,6.75 6.75 6.75 6.50 6.75 7.00 6.75 6.50,,6.75,- - -,6.70,
Performance  0.60,6.75 7.00 7.00 6.50 6.75 7.25 7.00 6.50,,6.75,- - -,6.75,
Choreography  0.60,7.00 6.75 7.00 6.50 7.00 7.25 7.00 6.75,,7.00,- - -,6.95,
Interpretation / Timing  1.00,7.00 6.75 7.00 6.75 7.00 7.25 6.75 6.50,,7.00,- - -,6.95,
Judges Total Program Component Score (factored),,,,,25.97,
Deductions:,,,,,0.00,
"*  Invalid element",,,,,,
"",Total Total,,,Total,Total,
"",NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
"",Code Score Score,,,Score (factored),,
"",= +,,,+,-,
2 Federica FAIELLA / Massimo SCALI,ITA  53.78  27.40,,,27.38,1.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 Sp3  4.00  0.20,0 0 2 0 1 0 1 0,,1,- - -,4.20,
2 MiStNt3  6.20  1.00,2 2 1 1 1 1 1 1,,1,- - -,7.20,
3 RoLi4  4.00  0.40,1 1 2 0 0 1 1 1,,1,- - -,4.40,
4 STw3  4.00  0.60,2 1 1 2 1 0 1 1,,1,- - -,4.60,
5 DiSt2  6.40  0.60,1 1 1 0 1 -1 0 1,,0,- - -,7.00,
24.60,,,,,27.40,
Program Components Factor,,,,,,
Skating Skills  0.80,7.25 7.25 7.00 7.50 7.00 7.00 7.00 7.00,,7.25,- - -,7.10,
Linking Footwork / Movement  0.80,7.50 6.75 7.00 7.50 7.25 6.75 7.00 6.75,,7.00,- - -,7.10,
Performance  0.60,7.25 6.75 7.50 7.25 7.50 6.75 6.75 6.25,,6.75,- - -,7.10,
Choreography  0.60,7.50 7.00 7.50 7.75 7.50 7.25 7.25 7.00,,7.00,- - -,7.35,
Interpretation / Timing  1.00,7.50 6.75 7.50 7.75 7.25 7.25 7.50 7.25,,7.25,- - -,7.35,
Judges Total Program Component Score (factored),,,,,27.38,
Deductions: Falls:,-1.00,,,,-1.00,
"*  Invalid element",,,,,,
"",Total Total,,,Total,Total,
"",NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
"",Code Score Score,,,Score (factored),,
"",= +,,,+,-,
3 Kristina GORSHKOVA / Vitali BUTIKOV,RUS  51.80  28.40,,,23.40,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 RoLi4  4.00  0.70,2 2 1 2 1 2 2 1,,1,- - -,4.70,
2 MiStNt3  6.20  0.80,0 0 1 1 1 1 1 1,,0,- - -,7.00,
3 STw4  4.70 -0.30,0 -1 0 -1 -1 -1 0 0,,-1,- - -,4.40,
4 Sp4  4.70  0.00,0 0 0 0 0 -1 0 0,,0,- - -,4.70,
5 Li+TRANS  0.00  0.00,- - - - - - - -,,-,- - -,0.00,
6 CiSt3  7.20  0.40,0 1 1 0 0 1 1 1,,0,- - -,7.60,
26.80,,,,,28.40,
Program Components Factor,,,,,,
