ISU GP Lexus Cup of China 2014,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
1 Maxim KOVTUN RUS  11,157.38  75.02,,83.36,-1.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 4S  10.50 -3.00 -2 -3 -3,-3 -3 -3 -3,,-3 -3,7.50,
2 4T  10.30  1.14 1 1 1,2 2 1 1,,0 1,11.44,
3 3T+2T  5.40  0.60 1 1 1,1 1 1 1,,0 0,6.00,
4 CSSp3  2.60  0.79 2 1 1,2 1 2 2,,2 1,3.39,
"",Info,,,,Info
5 StSq4  3.90  1.20 2 1 1,2 2 2 1,,2 2,5.10,
6 3A+1T  9.79 x -1.00 -1 -1 -1,-1 -1 0 -1,,-1 -1,8.79,
7 3A  9.35 x -1.00 -1 -1 -1,-1 -1 -1 -1,,-1 -1,8.35,
8 3Lz  6.60 x  0.10 1 0 0,0 0 1 0,,-1 0,6.70,
9 3S+2T  6.05 x  0.10 0 0 0,0 1 1 0,,-1 0,6.15,
10 ChSq1  2.00  0.70 2 1 1,1 1 1 1,,1 1,2.70,
11 2A  3.63 x  0.07 0 0 0,0 1 1 0,,0 0,3.70,
12 FUSp4  2.90  0.29 1 -1 2,0 0 2 0,,0 1,3.19,
13 CCoSp2p2  1.80  0.21 1 0 1,0 0 2 0,,1 0,2.01,
74.82,,,,75.02,
Program Components Factor,,,,,
Skating Skills  2.00 8.75 8.00 8.50,8.25 8.25 8.50 9.25,,8.25 8.25,8.39,
Transition / Linking Footwork  2.00 8.50 7.50 8.25,8.00 8.00 7.75 9.00,,8.00 7.75,8.04,
Performance / Execution  2.00 8.75 8.00 8.50,8.00 8.50 8.25 8.75,,8.25 8.00,8.32,
Choreography / Composition  2.00 9.00 7.75 8.50,8.50 8.75 8.50 9.25,,8.25 8.25,8.54,
Interpretation  2.00 9.00 7.50 8.25,8.50 8.50 8.25 9.00,,8.25 8.00,8.39,
Judges Total Program Component Score (factored),,,,83.36,
Deductions: Falls: -1.00,,,,-1.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,
Starting,Total Total,,Total,Total,
Rank Name Nation Number,Segment Element,,Program  Component,Deductions,
"",Score Score,,Score (factored),,
2 Yuzuru HANYU JPN  10,154.60  75.58,,84.02,-5.00,
"# Executed Base GOE",The Judges Panel,,,Ref Scores,
Elements Value,(in random order),,,of Panel,
1 4S  10.50 -2.86 -2 -3 -3,-3 -3 -3 -3,,-3 -2,7.64,
2 4T  10.30 -3.00 -2 -3 -3,-3 -3 -3 -3,,-3 -3,7.30,
3 3F  5.30  1.00 1 1 1,2 2 1 2,,1 2,6.30,
4 FCCoSp2p2  1.80  0.43 1 1 1,0 1 0 1,,1 1,2.23,
5 StSq3  3.30  0.93 1 2 2,2 2 1 2,,2 2,4.23,
6 3Lz+2T  8.03 x  1.20 2 2 1,2 2 1 2,,1 2,9.23,
7 3A  9.35 x -3.00 -2 -3 -3,-3 -3 -3 -3,,-3 -3,6.35,
8 3A+1Lo+3S  14.52 x  1.71 2 2 1,2 2 1 2,,1 2,16.23,
9 3Lo< <  3.96 x -2.10 -3 -3 -3,-3 -3 -3 -3,,-3 -3,1.86,
10 3Lz  6.60 x -2.10 -3 -3 -3,-3 -3 -3 -3,,-3 -3,4.50,
11 ChSq1  2.00  0.50 0 1 1,2 1 0 0,,1 1,2.50,
12 FCSSp4  3.00  0.71 1 2 2,1 2 0 2,,1 1,3.71,
13 CCoSp3p3  3.00  0.50 1 1 1,1 1 0 1,,1 1,3.50,
81.66,,,,75.58,
