2006 NHK Trophy,,,,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,,,,
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
1 Marie-France DUBREUIL / Patrice LAUZON,CAN  60.23  30.00,,,30.23,0.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 NtMiTw4  3.30  0.10,-1 1 1 0 1 0 0 -1,,2,- - -,3.40
2 NtMiSt3  3.80  0.80,2 2 2 1 2 1 0 1,,2,- - -,4.60
3 SlLi4  4.00  1.00,2 1 2 2 2 2 1 2,,2,- - -,5.00
4 Sp4  4.70  0.90,1 2 2 2 2 2 1 2,,0,- - -,5.60
5 DiSt2  5.40  1.00,2 1 2 1 1 1 1 0,,0,- - -,6.40
6 RoLi4  4.00  1.00,2 2 2 2 2 2 1 2,,2,- - -,5.00
25.20,,,,,30.00
Program Components Factor,,,,,
Skating Skills  0.80,8.25 7.75 8.00 7.75 7.75 8.50 7.75 8.25,,7.75,- - -,8.00
Linking Footwork / Movement  0.80,8.00 7.75 7.75 7.75 7.50 8.25 7.50 8.00,,7.50,- - -,7.80
Performance  0.60,8.25 7.75 7.75 7.00 7.75 8.50 7.50 7.75,,7.75,- - -,7.85
Choreography  0.60,8.00 7.75 8.00 8.25 7.50 8.50 7.75 8.50,,7.50,- - -,8.05
Interpretation / Timing  1.00,8.25 7.50 8.25 7.75 7.75 8.25 7.75 8.25,,7.50,- - -,8.05
Judges Total Program Component Score (factored),,,,,30.23
Deductions:,,,,,0.00
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
2 Jana KHOKHLOVA / Sergei NOVITSKI,RUS  55.15  28.50,,,26.65,0.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 Sp4  4.70  0.70,2 2 1 1 2 2 1 0,,1,- - -,5.40
2 NtMiTw4  3.30  0.50,-1 1 1 1 2 0 0 1,,2,- - -,3.80
3 NtMiSt3  3.80  0.40,1 1 1 0 1 2 1 -1,,1,- - -,4.20
4 SlLi4  4.00  0.60,2 2 1 1 2 1 1 1,,0,- - -,4.60
5 DiSt2  5.40  0.40,1 0 1 0 0 0 0 0,,1,- - -,5.80
6 RoLi4  4.00  0.70,2 2 2 1 1 2 1 1,,1,- - -,4.70
25.20,,,,,28.50
Program Components Factor,,,,,
Skating Skills  0.80,7.25 7.25 6.75 6.75 7.25 7.50 7.00 6.50,,7.50,- - -,7.10
Linking Footwork / Movement  0.80,7.00 7.00 6.50 6.25 7.00 7.50 6.75 6.25,,7.25,- - -,6.80
Performance  0.60,7.25 7.50 6.75 6.50 7.25 7.75 6.75 6.75,,7.50,- - -,7.10
Choreography  0.60,7.00 7.25 6.75 6.25 7.25 7.50 7.00 5.00,,7.75,- - -,6.95
Interpretation / Timing  1.00,7.50 7.25 6.50 6.75 7.25 7.50 7.00 5.25,,7.50,- - -,7.10
Judges Total Program Component Score (factored),,,,,26.65
Deductions:,,,,,0.00
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
3 Melissa GREGORY / Denis PETUKHOV,USA  54.56  28.70,,,25.86,0.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 NtMiTw4  3.30 -0.20,-2 -1 0 0 1 -1 0 -1,,0,- - -,3.10
2 NtMiSt4  4.30  0.40,1 1 1 1 1 0 0 1,,0,- - -,4.70
3 SlLi4  4.00  0.50,1 1 1 2 2 0 1 1,,0,- - -,4.50
4 Sp4  4.70  0.60,1 1 1 1 2 1 1 2,,1,- - -,5.30
5 DiSt3  6.20  0.40,1 0 1 1 0 0 0 0,,0,- - -,6.60
6 RoLi4  4.00  0.50,2 1 2 0 1 1 1 1,,0,- - -,4.50
26.50,,,,,28.70
Program Components Factor,,,,,
Skating Skills  0.80,7.00 7.00 6.75 6.75 7.25 7.00 7.00 7.25,,6.75,- - -,6.95
