2006 NHK Trophy,,,,,,
ICE DANCING FREE DANCEJUDGES DETAILS PER SKATER,,,,,,
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
1 Marie-France DUBREUIL / Patrice LAUZON,CAN  97.38,48.70,,,48.68,0.00
"# Executed Base GOE",The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 SlLi4  4.00  1.20,3 1 3 2 3,2 2 2,,2,- - -,5.20
2 RRoLi4  6.40  1.00,2 2 2 2 2,3 3 2,,2,- - -,7.40
3 Sp4  4.70  0.70,2 1 1 2 2,2 2 1,,1,- - -,5.40
4 CiSt3  7.20  1.40,2 1 2 1 2,2 1 1,,1,- - -,8.60
5 STw3  4.00  0.20,-1 0 1 2 0,-1 -1 2,,-1,- - -,4.20
6 MiSt2  5.40  1.60,2 2 2 2 1,1 1 1,,0,- - -,7.00
7 RoLi3  3.50  1.00,2 2 3 2 2,2 2 1,,2,- - -,4.50
8 SlLi3+CuLi3  5.60  0.80,2 1 2 2 2,2 1 1,,1,- - -,6.40
40.80,,,,,,48.70
Program Components Factor,,,,,,
Skating Skills  1.25,8.25 8.25 8.50 8.00 8.00,8.25 8.25 7.75,,8.25,- - -,8.15
Linking Footwork / Movement  1.75,8.50 8.25 8.25 7.75 8.00,8.00 7.75 7.50,,8.00,- - -,8.05
Performance  1.00,8.25 8.00 8.75 8.00 7.75,8.00 8.50 7.75,,8.25,- - -,8.05
Choreography  1.00,8.75 8.25 8.50 8.25 7.75,8.00 8.25 7.75,,8.00,- - -,8.15
Interpretation / Timing  1.00,8.50 8.25 8.75 8.00 8.00,8.25 8.50 7.50,,8.25,- - -,8.20
Judges Total Program Component Score (factored),,,,,,48.68
Deductions:,,,,,,0.00
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
2 Jana KHOKHLOVA / Sergei NOVITSKI,RUS  91.76,48.50,,,43.26,0.00
"# Executed Base GOE",The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 STw4  4.70  0.10,-1 0 0 2 0,1 0 1,,0,- - -,4.80
2 SlLi4+CuLi4  6.40  1.00,1 2 2 2 2,2 2 2,,2,- - -,7.40
3 CoSp4  4.70  0.80,1 1 2 1 2,2 2 2,,2,- - -,5.50
4 SlLi3  3.50  0.60,0 1 2 1 2,1 1 1,,1,- - -,4.10
5 DiSt3  6.20  0.80,0 1 0 1 1,1 1 2,,1,- - -,7.00
6 CiSt3  7.20  0.80,-1 1 1 1 1,0 1 0,,2,- - -,8.00
7 SeLi4  6.40  0.60,0 2 2 1 2,2 1 1,,0,- - -,7.00
8 RoLi4  4.00  0.70,0 1 2 2 1,2 1 1,,2,- - -,4.70
43.10,,,,,,48.50
Program Components Factor,,,,,,
Skating Skills  1.25,6.25 7.25 7.50 7.25 7.50,6.75 7.00 7.00,,7.50,- - -,7.30
Linking Footwork / Movement  1.75,5.75 7.25 7.25 7.00 7.50,6.50 6.25 6.75,,7.25,- - -,7.10
Performance  1.00,6.50 7.00 7.75 7.25 7.25,6.75 7.25 7.25,,7.50,- - -,7.25
Choreography  1.00,6.00 7.00 7.50 7.50 7.25,7.00 7.00 7.00,,7.25,- - -,7.20
Interpretation / Timing  1.00,6.00 7.25 7.50 7.25 7.25,7.25 7.00 7.00,,7.50,- - -,7.25
Judges Total Program Component Score (factored),,,,,,43.26
Deductions:,,,,,,0.00
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
3 Melissa GREGORY / Denis PETUKHOV,USA  89.63,47.50,,,42.13,0.00
"# Executed Base GOE",The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 Sp4  4.70  0.40,2 1 0 2 0,2 1 1,,0,- - -,5.10
2 SeLi4  6.40  0.70,1 2 2 2 1,2 2 1,,1,- - -,7.10
3 STw4  4.70 -0.40,-2 0 -2 1 -1,0 0 0,,-1,- - -,4.30
4 CiSt4  8.00  0.60,1 1 1 2 0,1 1 0,,0,- - -,8.60
