2006 NHK Trophy,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
1 Mao ASADA,JPN  69.50,40.30,,,29.20,0.00
"# Executed Base",GOE The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 3Lz  6.00,-0.40 1 0 -1 0 -1,0 0 0,,1,-1 - -,5.60
2 3F+3Lo  10.50,0.80 2 1 2 1 1,0 0 1,,0,1 - -,11.30
3 SpSq4  3.40,1.40 1 2 1 1 2,2 1 1,,1,1 - -,4.80
4 2A  3.30,1.00 1 1 1 1 1,1 1 1,,0,2 - -,4.30
5 CCoSp4  3.50,0.60 2 1 0 1 2,2 1 2,,1,1 - -,4.10
6 SlSt3  3.10,0.50 1 1 1 0 1,2 0 0,,1,2 - -,3.60
7 FSSp4  3.00,0.50 1 1 1 0 2,1 1 1,,1,1 - -,3.50
8 LSp3  2.40,0.70 2 2 1 1 1,1 2 2,,2,2 - -,3.10
35.20,,,,,,40.30
Program Components,Factor,,,,,
Skating Skills,0.80 7.50 7.75 7.25 7.25 7.50,7.50 7.25 7.50,,8.00,8.00 - -,7.45
Transition / Linking Footwork,0.80 7.50 7.50 6.50 6.75 6.75,7.00 7.00 7.50,,7.75,7.50 - -,7.00
Performance / Execution,0.80 7.25 7.75 7.00 7.25 7.25,7.25 7.00 7.25,,7.75,7.75 - -,7.30
Choreography / Composition,0.80 7.50 7.75 7.50 7.00 7.00,7.50 7.00 7.50,,7.75,7.75 - -,7.35
Interpretation,0.80 7.25 7.75 7.25 7.25 7.50,7.25 7.25 7.50,,7.50,8.25 - -,7.40
Judges Total Program Component Score (factored),,,,,,29.20
Deductions:,,,,,,0.00
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
2 Fumie SUGURI,JPN  61.92,33.20,,,28.72,0.00
"# Executed Base",GOE The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 3Lz+2T  7.30,0.60 1 0 0 1 0,1 2 0,,1,1 - -,7.90
2 3F  5.50,-0.20 1 0 -1 0 -1,1 2 -1,,-1,-1 - -,5.30
3 LSp1  1.50,0.30 0 0 1 0 0,1 1 1,,1,1 - -,1.80
4 SpSq4  3.40,0.80 1 0 1 0 1,1 1 0,,1,1 - -,4.20
5 2A  3.30,0.00 1 0 0 0 0,0 1 0,,0,0 - -,3.30
6 FSSp4  3.00,0.30 1 1 0 0 1,0 2 0,,0,1 - -,3.30
7 CCoSp3  3.00,0.70 2 0 2 1 1,1 2 1,,2,2 - -,3.70
8 SlSt3  3.10,0.60 1 1 2 0 2,1 0 1,,1,2 - -,3.70
30.10,,,,,,33.20
Program Components,Factor,,,,,
Skating Skills,0.80 7.75 6.75 7.50 7.25 7.25,7.25 7.50 7.25,,7.75,7.75 - -,7.35
Transition / Linking Footwork,0.80 7.75 6.25 6.75 7.00 6.50,7.00 7.25 7.25,,7.75,7.25 - -,6.90
Performance / Execution,0.80 7.50 6.50 7.75 7.25 7.00,7.00 7.50 7.00,,7.50,8.25 - -,7.30
Choreography / Composition,0.80 7.75 6.50 7.50 7.25 7.00,6.75 7.50 7.00,,7.50,8.00 - -,7.20
Interpretation,0.80 7.75 6.50 7.75 7.00 6.50,7.00 7.50 6.75,,7.50,8.25 - -,7.15
Judges Total Program Component Score (factored),,,,,,28.72
Deductions:,,,,,,0.00
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
3 Yukari NAKANO,JPN  56.86,30.06,,,26.80,0.00
"# Executed Base",GOE The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 3Lz+2T  7.30,0.00 0 0 0 0 0,0 0 0,,0,0 - -,7.30
2 3F  5.50,0.00 1 0 0 0 0,0 0 0,,0,0 - -,5.50
3 CCoSp1  2.00,-0.54 0 -2 -2 -2 -1,-2 -1 -1,,-2,-3 - -,1.46
