ISU World Figure Skating Championships 2010,,,,
ICE DANCE COMPULSORY DANCEJUDGES DETAILS PER SKATER,,,,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
1 Tessa VIRTUE / Scott MOIR CAN  22  44.13  22.22,,21.91,0.00,
"# Executed Base GOE The Judges Panel",,,Scores,
Elements Value (in random order),,,of Panel,
1 1S1  1.70  0.90 2 2 3 2 1 1 3,,1 1,2.60,
2 1S2  2.80  1.40 2 2 2 2 2 2 2,,2 2,4.20,
3 1S3  2.30  1.00 3 2 2 2 2 2 2,,1 2,3.30,
4 2S1  2.30  0.90 2 2 2 2 2 1 2,,1 1,3.20,
Info,,Info,,Info
5 2S2  3.40  1.12 2 2 2 2 1 2 2,,1 1,4.52,
6 2S3  3.00  1.40 3 2 2 3 2 2 2,,0 2,4.40,
15.50,,,22.22,
Program Components Factor,,,,
Skating Skills  0.75 8.50 9.25 9.25 8.75 8.50 8.50 9.00,,8.50 8.75,8.85,
Timing  0.75 8.25 9.00 9.25 8.75 8.25 8.50 8.75,,8.00 8.50,8.65,
Performance / Execution  0.50 8.50 9.25 9.50 8.75 8.50 8.75 8.75,,8.25 8.75,8.80,
Interpretation  0.50 8.75 9.00 9.25 8.75 8.50 8.75 9.00,,8.50 8.50,8.75,
Judges Total Program Component Score (factored),,,21.91,
Deductions:,,,0.00,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
2 Meryl DAVIS / Charlie WHITE USA  26  43.25  22.00,,21.25,0.00,
"# Executed Base GOE The Judges Panel",,,Scores,
Elements Value (in random order),,,of Panel,
1 1S1  1.70  1.00 1 2 2 1 2 2 2,,2 2,2.70,
2 1S2  2.80  1.12 1 2 1 2 1 1 2,,2 2,3.92,
3 1S3  2.30  1.00 2 2 2 2 2 2 2,,2 2,3.30,
4 2S1  2.30  1.00 1 2 2 3 2 2 2,,2 2,3.30,
5 2S2  3.40  1.12 1 2 2 2 2 2 1,,1 2,4.52,
6 2S3  3.00  1.26 1 2 2 2 1 2 2,,2 3,4.26,
15.50,,,22.00,
Program Components Factor,,,,
Skating Skills  0.75 8.50 8.50 8.50 8.50 8.75 8.50 8.25,,8.25 9.25,8.50,
Timing  0.75 8.50 8.50 8.50 8.25 8.50 8.25 8.50,,8.00 9.25,8.45,
Performance / Execution  0.50 8.25 8.50 8.75 8.75 8.75 8.50 8.50,,8.25 9.75,8.50,
Interpretation  0.50 8.50 8.50 8.75 8.75 9.00 8.50 8.25,,8.25 9.25,8.55,
Judges Total Program Component Score (factored),,,21.25,
Deductions:,,,0.00,
Starting Total Total,,Total,Total,
Rank Name Nation Number Segment Element,,Program  Component,Deductions,
Score Score,,Score (factored),,
3 Federica FAIELLA / Massimo SCALI ITA  27  40.85  20.50,,20.35,0.00,
"# Executed Base GOE The Judges Panel",,,Scores,
Elements Value (in random order),,,of Panel,
1 1S1  1.70  1.00 2 2 2 2 2 2 2,,2 2,2.70,
2 1S2  2.80  1.12 2 1 1 2 1 2 2,,2 1,3.92,
3 1S3  2.30  0.70 2 2 0 1 2 2 2,,1 1,3.00,
4 2S1  2.30  0.50 2 2 0 1 1 1 1,,1 2,2.80,
5 2S2  3.40  0.70 2 1 1 1 1 1 2,,1 1,4.10,
6 2S3  3.00  0.98 2 2 1 0 2 2 2,,1 1,3.98,
15.50,,,20.50,
Program Components Factor,,,,
Skating Skills  0.75 8.00 8.00 7.50 8.00 8.00 7.75 8.75,,8.75 8.25,8.15,
Timing  0.75 8.00 8.00 7.00 8.00 7.75 8.00 8.25,,8.50 7.75,7.95,
