Grand Prix Final 2017 Senior and Junior,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,
Total Total,Total,
Rank Name Nation Starting Segment Element,Program,Deductions
Number Score Score,Component,
"= +",Score (factorized),-
1 Shoma UNO JPN 6 184.50 94.14,91.36,1.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 4Lo< < 8.40 -4.00 -3 -3 -3 -3 -3 -3 -3 -3 -3,,4.40
2 4S 10.50 1.43 1 2 1 1 1 1 2 2 2,,11.93
3 3A 8.50 2.86 3 3 3 3 2 2 3 3 3,,11.36
4 FCSp4 3.20 0.93 2 2 2 2 1 1 2 2 2,,4.13
5 FCCoSp3V 2.50 0.64 1 2 1 1 2 1 2 1 1,,3.14
6 StSq3 3.30 1.14 3 3 1 2 2 2 2 3 2,,4.44
7 4F 13.53 X 0.57 0 1 1 0 0 1 1 0 1,,14.10
8 4T 11.33 X -3.31 -2 -3 -3 -3 -3 -3 -2 -2 -2,,8.02
9 4T<<+REP << 3.31 X -2.10 -3 -3 -3 -3 -3 -3 -3 -3 -3,,1.21
10 3A+1Lo+3F 15.73 X 1.71 1 2 2 1 2 1 2 2 3,,17.44
11 3S 4.84 X 1.10 1 2 2 1 1 1 2 2 2,,5.94
12 ChSq1 2.00 1.60 2 3 2 1 2 2 3 3 2,,3.60
13 CCoSp4 3.50 0.93 2 3 2 1 2 2 1 2 2,,4.43
90.64,,94.14
Program Components Factor,,
Skating Skills 2.00 9.25 9.50 9.50 9.25 9.25 8.75 9.50 9.50 9.25,,9.36
Transitions 2.00 9.00 9.50 9.00 8.50 9.00 8.75 9.25 9.00 8.75,,8.96
Performance 2.00 9.25 9.25 8.75 9.25 8.75 8.75 9.00 9.00 9.00,,9.00
Composition 2.00 9.00 9.50 9.25 9.00 9.00 9.00 9.25 9.50 9.25,,9.18
Interpretation of the Music 2.00 9.50 9.50 9.00 9.00 9.00 9.25 9.25 9.25 9.00,,9.18
Judges Total Program Components Score (factored),,91.36
Deductions: Falls:  -1.00 (1),,-1.00
"< Under-rotated jump<< Downgraded jumpX Credit highlight distribution, base value multiplied by 1.1",,
Total Total,Total,
Rank Name Nation Starting Segment Element,Program,Deductions
Number Score Score,Component,
"= +",Score (factorized),-
2 Nathan CHEN USA 4 183.19 95.75,88.44,1.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 4Lz+3T 17.90 2.00 3 2 2 2 2 2 2 2 2,,19.90
2 4F 12.30 -1.03 -2 -1 -1 -1 -1 -1 -1 0 1,,11.27
3 2S 1.30 0.00 0 0 0 1 0 0 0 0 0,,1.30
4 CCSp4 3.20 0.50 1 0 1 1 1 1 1 1 1,,3.70
5 StSq3 3.30 0.86 3 1 1 1 2 1 2 3 2,,4.16
6 4Lz< < 10.45 X -2.86 -2 -2 -2 -2 -2 -3 -2 -3 -3,,7.59
7 4T+1Lo+2S 13.31 X 1.29 2 1 1 1 1 1 2 1 2,,14.60
8 4T<< << 4.73 X -2.10 -3 -3 -3 -3 -3 -3 -3 -3 -3,,2.63
9 3A+2T 10.78 X 0.57 1 0 0 0 1 0 1 1 1,,11.35
10 3Lz 6.60 X 0.90 2 1 1 1 1 1 2 1 2,,7.50
11 ChSq1 2.00 1.40 2 2 1 2 2 2 2 2 2,,3.40
12 FCCoSp4 3.50 0.71 2 1 1 1 1 1 2 2 2,,4.21
13 CCoSp4 3.50 0.64 2 2 0 1 1 1 1 2 1,,4.14
92.87,,95.75
Program Components Factor,,
Skating Skills 2.00 9.00 9.00 9.00 9.00 9.00 8.50 8.75 9.00 9.00,,8.96
Transitions 2.00 9.25 8.50 8.50 8.75 8.75 8.50 8.75 8.50 8.50,,8.61
Performance 2.00 9.00 8.75 8.50 9.25 8.75 8.50 9.25 8.75 9.00,,8.86
Composition 2.00 9.00 9.00 8.75 8.75 9.00 8.75 9.00 9.25 9.00,,8.93
Interpretation of the Music 2.00 9.00 8.75 8.75 9.00 8.75 8.75 9.00 9.00 8.75,,8.86
Judges Total Program Components Score (factored),,88.44
Deductions: Falls:  -1.00 (1),,-1.00
"< Under-rotated jump<< Downgraded jumpX Credit highlight distribution, base value multiplied by 1.1",,
Grand Prix Final 2017 Senior and Junior,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,
Total Total,Total,
Rank Name Nation Starting Segment Element,Program,Deductions
Number Score Score,Component,
"= +",Score (factorized),-
3 Mikhail KOLYADA RUS 5 182.78 95.58,89.20,2.00
