Grand Prix Final 2017 Senior and Junior,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,
Total Total Total,,
Rank Name Nation Starting Segment Element Program,,Deductions
Number Score Score Component,,
"= + Score (factorized)",,-
1 Kaetlyn OSMOND CAN 5 77.04 40.64 36.40,,0.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 3F+3T 9.60 1.40 2 3 2 2 2 2 2 2 2,,11.00
2 3Lz! ! 6.00 0.80 1 1 1 1 0 1 1 3 2,,6.80
3 FCSp4 3.20 1.00 2 3 2 1 1 2 2 2 3,,4.20
4 2A 3.63 X 1.00 2 2 2 2 2 2 2 2 3,,4.63
5 LSp4 2.70 1.14 3 3 3 2 2 2 2 2 2,,3.84
6 StSq4 3.90 1.70 3 3 3 2 2 2 2 3 2,,5.60
7 CCoSp4 3.50 1.07 2 3 2 2 2 2 2 2 3,,4.57
32.53,,40.64
Program Components Factor,,
Skating Skills 0.80 9.25 9.25 9.00 9.00 8.75 9.00 8.75 8.75 9.50,,9.00
Transitions 0.80 9.25 9.00 8.75 8.50 8.50 8.50 8.75 9.00 9.25,,8.82
Performance 0.80 9.50 9.50 9.25 9.25 9.25 8.75 9.00 9.50 9.50,,9.32
Composition 0.80 9.50 9.25 9.00 9.00 8.75 8.75 9.25 9.25 9.50,,9.14
Interpretation of the Music 0.80 9.50 9.50 9.25 8.75 9.00 8.75 9.25 9.25 9.50,,9.21
Judges Total Program Components Score (factored),,36.40
Deductions:,,0.00
"X Credit highlight distribution, base value multiplied by 1.1! Not clear edge",,
Total Total Total,,
Rank Name Nation Starting Segment Element Program,,Deductions
Number Score Score Component,,
"= + Score (factorized)",,-
2 Alina ZAGITOVA RUS 6 76.27 41.21 35.06,,0.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 FCSp4 3.20 1.14 2 2 2 2 2 3 2 3 3,,4.34
2 StSq4 3.90 1.40 2 2 2 3 2 2 2 2 2,,5.30
3 3Lz+3Lo 12.21 X 1.20 1 2 2 3 1 2 2 2 1,,13.41
4 3F 5.83 X -0.50 -1 0 -1 0 -2 -1 0 1 -2,,5.33
5 2A 3.63 X 0.93 2 1 3 3 1 1 3 2 0,,4.56
6 LSp4 2.70 1.00 2 1 2 2 2 2 2 2 2,,3.70
7 CCoSp4 3.50 1.07 3 2 2 2 2 2 2 2 3,,4.57
34.97,,41.21
Program Components Factor,,
Skating Skills 0.80 8.25 8.75 8.50 9.25 8.50 8.75 9.25 9.00 8.25,,8.71
Transitions 0.80 8.00 8.75 8.25 9.00 8.25 8.50 9.50 9.50 8.75,,8.71
Performance 0.80 8.25 9.25 8.50 9.00 8.50 8.50 9.25 9.25 8.50,,8.79
Composition 0.80 8.25 9.25 8.50 9.25 8.25 8.75 9.50 9.00 8.75,,8.82
Interpretation of the Music 0.80 8.50 9.00 8.50 9.25 8.50 8.50 9.50 9.00 8.75,,8.79
Judges Total Program Components Score (factored),,35.06
Deductions:,,0.00
"X Credit highlight distribution, base value multiplied by 1.1",,
Total Total Total,,
Rank Name Nation Starting Segment Element Program,,Deductions
Number Score Score Component,,
"= + Score (factorized)",,-
3 Satoko MIYAHARA JPN 1 74.61 39.39 35.22,,0.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 3Lz+3T 10.30 0.70 1 1 2 1 1 1 1 1 0,,11.00
2 FCSp4 3.20 0.79 1 1 2 1 2 2 2 1 2,,3.99
3 CCoSp4 3.50 1.00 2 2 2 2 2 2 2 2 2,,4.50
4 3Lo 5.61 X 0.70 1 1 2 1 1 1 1 1 0,,6.31
5 StSq4 3.90 1.50 2 2 2 2 2 3 2 2 3,,5.40
6 2A 3.63 X 0.50 2 1 1 1 1 1 1 1 1,,4.13
7 LSp4 2.70 1.36 2 3 3 2 3 3 3 2 3,,4.06
32.84,,39.39
Program Components Factor,,
Skating Skills 0.80 8.75 8.50 9.00 9.25 8.75 8.75 8.75 8.50 8.50,,8.71
Transitions 0.80 8.50 8.00 8.75 9.00 8.75 8.75 8.75 8.00 9.00,,8.64
Performance 0.80 8.50 8.50 9.25 9.00 9.25 9.00 9.00 8.50 9.00,,8.89
Composition 0.80 8.75 8.00 9.00 9.00 9.00 9.00 9.00 8.25 9.25,,8.86
Interpretation of the Music 0.80 9.00 8.00 9.25 9.25 9.25 8.75 8.75 8.25 9.25,,8.93
Judges Total Program Components Score (factored),,35.22
Deductions:,,0.00
"X Credit highlight distribution, base value multiplied by 1.1",,
Grand Prix Final 2017 Senior and Junior,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,
Total Total Total,,
Rank Name Nation Starting Segment Element Program,,Deductions
Number Score Score Component,,
"= + Score (factorized)",,-
4 Maria SOTSKOVA RUS 3 74.00 40.11 33.89,,0.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 3Lz+3T 10.30 1.40 2 2 2 2 2 3 2 2 1,,11.70
2 CCoSp4 3.50 0.86 2 2 2 1 1 2 2 2 1,,4.36
3 3F 5.83 X 1.20 1 2 2 1 1 2 2 2 2,,7.03
4 2A 3.63 X 0.86 2 2 2 1 2 2 1 2 0,,4.49
5 FCSp4 3.20 0.57 1 1 1 1 1 2 1 2 1,,3.77
6 StSq4 3.90 1.30 1 2 2 2 2 2 1 2 2,,5.20
7 LSp4 2.70 0.86 2 2 2 2 1 2 1 2 1,,3.56
33.06,,40.11
Program Components Factor,,
Skating Skills 0.80 8.25 8.50 8.50 9.00 8.50 8.75 8.75 8.75 7.75,,8.57
Transitions 0.80 8.00 8.25 8.25 8.75 8.25 8.50 8.00 8.50 7.50,,8.25
Performance 0.80 8.00 8.75 8.75 8.75 8.25 9.00 8.50 8.75 7.75,,8.54
Composition 0.80 8.25 8.75 8.50 9.00 8.25 8.75 8.25 8.50 8.00,,8.46
Interpretation of the Music 0.80 8.25 8.75 8.50 9.00 8.50 8.75 8.25 8.75 8.00,,8.54
Judges Total Program Components Score (factored),,33.89
Deductions:,,0.00
"X Credit highlight distribution, base value multiplied by 1.1",,
Total Total Total,,
Rank Name Nation Starting Segment Element Program,,Deductions
Number Score Score Component,,
"= + Score (factorized)",,-
5 Wakaba HIGUCHI JPN 2 73.26 39.08 34.18,,0.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 2A 3.30 1.00 2 2 2 2 2 2 2 2 1,,4.30
2 FCSp4 3.20 0.50 1 1 1 1 1 2 1 1 1,,3.70
3 CCoSp4 3.50 0.86 2 2 2 1 2 2 2 1 1,,4.36
4 3Lz+3T 11.33 X 1.00 1 2 2 1 1 2 2 1 1,,12.33
5 3F! ! 5.83 X -0.30 0 0 0 -1 0 -1 -1 0 -1,,5.53
6 StSq4 3.90 1.40 2 2 2 2 2 2 2 2 1,,5.30
7 LSp4 2.70 0.86 2 2 2 1 2 1 2 2 1,,3.56
33.76,,39.08
Program Components Factor,,
Skating Skills 0.80 8.50 8.50 8.50 8.75 8.50 8.75 9.00 8.50 8.25,,8.57
Transitions 0.80 8.00 8.00 8.25 8.25 8.25 8.50 9.00 8.50 8.25,,8.29
Performance 0.80 8.75 8.75 8.75 8.75 8.75 8.50 9.25 8.75 8.50,,8.71
