Grand Prix Final 2017 Senior and Junior,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,
Total Total Total,,
Rank Name Nation Starting Segment Element Program,,Deductions
Number Score Score Component,,
"= + Score (factorized)",,-
1 Nathan CHEN USA 6 103.32 58.14 45.18,,0.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 4Lz+3T 17.90 0.11 1 -1 0 0 1 0 1 -1 0,,18.01
2 FSSp3 2.60 0.64 1 1 1 1 2 1 2 1 2,,3.24
3 CCSp4 3.20 0.36 1 0 1 1 2 0 1 0 1,,3.56
4 4F 13.53 X -0.69 0 -1 -1 0 -1 -1 0 -2 0,,12.84
5 3A 9.35 X 0.71 1 0 1 0 1 -1 1 1 2,,10.06
6 StSq4 3.90 2.10 3 3 2 3 3 3 3 3 3,,6.00
7 CCoSp4 3.50 0.93 2 1 2 1 2 2 2 2 2,,4.43
53.98,,58.14
Program Components Factor,,
Skating Skills 1.00 9.00 9.50 8.75 9.25 9.00 8.25 8.75 9.25 9.00,,9.00
Transitions 1.00 8.75 9.50 8.75 9.00 9.00 8.50 8.75 8.75 8.50,,8.79
Performance 1.00 9.25 9.25 9.00 9.50 9.25 8.50 9.25 8.75 9.00,,9.11
Composition 1.00 9.00 9.50 8.75 9.25 9.25 8.50 9.00 9.25 9.00,,9.07
Interpretation of the Music 1.00 9.25 9.25 9.00 9.50 9.25 8.75 9.25 9.25 9.25,,9.21
Judges Total Program Components Score (factored),,45.18
Deductions:,,0.00
"X Credit highlight distribution, base value multiplied by 1.1",,
Total Total Total,,
Rank Name Nation Starting Segment Element Program,,Deductions
Number Score Score Component,,
"= + Score (factorized)",,-
2 Shoma UNO JPN 5 101.51 57.04 46.47,,2.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 4F 12.30 1.57 1 2 2 2 1 1 2 1 2,,13.87
2 FCSp4 3.20 1.00 1 2 2 2 2 2 2 2 2,,4.20
3 StSq4 3.90 1.80 2 3 2 2 3 2 3 3 3,,5.70
4 4T+3T 16.06 X 2.00 1 1 2 2 2 2 3 2 3,,18.06
5 3A 9.35 X -2.71 -3 -3 -2 -2 -3 -3 -3 -3 -1,,6.64
6 CSSp4 3.00 1.07 2 0 2 2 2 3 2 3 2,,4.07
7 CCoSp4 3.50 1.00 2 2 2 2 2 2 2 2 2,,4.50
51.31,,57.04
Program Components Factor,,
Skating Skills 1.00 9.25 9.50 9.25 9.25 9.25 8.75 9.50 9.50 9.50,,9.36
Transitions 1.00 9.00 9.25 9.00 9.00 9.00 8.75 9.25 9.25 9.25,,9.11
Performance 1.00 9.25 9.25 9.25 9.50 9.00 9.25 9.50 9.25 9.50,,9.32
Composition 1.00 9.00 9.50 9.50 9.00 9.25 9.00 9.50 9.50 9.75,,9.32
Interpretation of the Music 1.00 9.25 9.50 9.25 9.25 9.25 9.25 9.50 9.50 9.50,,9.36
Judges Total Program Components Score (factored),,46.47
Deductions: Time Violation:  -1.00 Falls:  -1.00 (1),,-2.00
"X Credit highlight distribution, base value multiplied by 1.1",,
Total Total Total,,
Rank Name Nation Starting Segment Element Program,,Deductions
Number Score Score Component,,
"= + Score (factorized)",,-
3 Mikhail KOLYADA RUS 4 99.22 55.51 44.71,,1.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 4Lz 13.60 -3.77 -3 -2 -3 -2 -3 -3 -3 -3 -3,,9.83
2 4T+3T 14.60 2.00 2 2 2 2 1 2 3 2 2,,16.60
3 FSSp4 3.00 0.93 2 1 2 2 1 2 2 2 2,,3.93
4 3A 9.35 X 1.86 1 2 2 2 2 2 2 1 2,,11.21
5 CCSp4 3.20 1.07 2 2 3 3 2 2 2 2 2,,4.27
6 StSq4 3.90 1.20 1 1 1 2 2 2 2 2 2,,5.10
7 CCoSp4 3.50 1.07 2 1 2 2 2 2 3 3 2,,4.57
51.15,,55.51
Program Components Factor,,
Skating Skills 1.00 8.75 9.25 9.25 9.00 9.00 9.00 9.25 9.00 9.00,,9.07
Transitions 1.00 8.50 9.00 9.00 8.50 8.75 8.00 9.00 8.75 8.75,,8.75
Performance 1.00 8.50 9.00 9.00 9.00 8.75 8.50 9.25 8.75 9.25,,8.89
Composition 1.00 8.50 9.25 9.25 8.75 9.00 8.25 9.00 9.25 9.25,,9.00
Interpretation of the Music 1.00 8.75 9.00 9.00 9.00 8.75 8.75 9.25 9.25 9.25,,9.00
Judges Total Program Components Score (factored),,44.71
Deductions: Falls:  -1.00 (1),,-1.00
"X Credit highlight distribution, base value multiplied by 1.1",,
Grand Prix Final 2017 Senior and Junior,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,
Total Total Total,,
Rank Name Nation Starting Segment Element Program,,Deductions
Number Score Score Component,,
"= + Score (factorized)",,-
4 Jason BROWN USA 1 89.02 44.30 44.72,,0.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 3A 8.50 1.43 2 1 1 0 2 2 0 2 2,,9.93
2 3F+3T 9.60 -0.80 -1 -2 -1 -2 -1 -1 -2 0 0,,8.80
3 FCSp4 3.20 1.14 2 3 2 2 3 2 2 2 3,,4.34
4 CSSp4 3.00 1.00 2 2 2 2 2 2 2 2 3,,4.00
5 3Lz 6.60 X 1.10 2 2 1 1 2 1 1 2 2,,7.70
6 StSq4 3.90 1.70 2 3 2 2 2 2 3 3 3,,5.60
7 CCoSp3 3.00 0.93 2 2 1 1 2 3 2 2 2,,3.93
37.80,,44.30
Program Components Factor,,
Skating Skills 1.00 9.00 9.00 9.25 8.25 8.75 9.00 9.00 8.50 9.25,,8.93
Transitions 1.00 8.75 9.00 8.75 8.50 8.75 9.00 8.75 8.75 9.00,,8.82
Performance 1.00 9.25 8.75 8.75 8.50 8.50 9.25 9.25 8.75 9.25,,8.93
Composition 1.00 8.75 9.00 9.00 8.25 8.75 9.25 8.75 9.00 9.50,,8.93
Interpretation of the Music 1.00 9.25 9.25 9.00 8.75 9.00 9.50 9.00 9.00 9.25,,9.11
Judges Total Program Components Score (factored),,44.72
Deductions:,,0.00
"X Credit highlight distribution, base value multiplied by 1.1",,
Total Total Total,,
Rank Name Nation Starting Segment Element Program,,Deductions
Number Score Score Component,,
"= + Score (factorized)",,-
5 Sergei VORONOV RUS 3 87.77 45.16 42.61,,0.00
"# Executed Info Base GOE J1 J2 J3 J4 J5 J6 J7 J8 J9",,Ref Scores of
Elements Value,,Panel
1 4T+3T 14.60 1.43 2 1 1 1 1 3 2 1 2,,16.03
2 3Lz 6.00 -0.30 0 -2 0 0 -1 0 1 -1 -1,,5.70
3 FCSp4 3.20 0.50 1 1 1 1 1 1 1 1 1,,3.70
4 3A 9.35 X -2.00 -2 -2 -1 -2 -2 -3 -2 -2 -2,,7.35
5 CCoSp4 3.50 0.86 1 2 2 1 1 2 2 2 2,,4.36
6 StSq3 3.30 0.86 2 2 2 1 1 2 2 1 2,,4.16
7 CSSp4 3.00 0.86 1 1 2 2 1 2 2 2 2,,3.86
42.95,,45.16
Program Components Factor,,
Skating Skills 1.00 8.50 8.75 8.50 8.50 8.25 8.50 8.50 8.75 8.50,,8.54
Transitions 1.00 8.25 8.25 8.50 8.00 7.75 8.50 8.50 8.00 8.50,,8.29
