Trophee Eric Bompard 2006,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
1 Maria PETROVA / Alexei TIKHONOV RUS,,112.63  56.59,,,57.04,1.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3LzTw1  4.50  0.42 1 2 -1,-1,1 1 -1 0,,1,1 - -,4.92
2 3T  4.00 -1.00 -1 -1 -1,-1,-1 -1 -1 -1,,-1,-1 - -,3.00
3 1A+2A+SEQ  3.28 -1.12 -2 -2 -2,-2,-1 -1 -2 -2,,-1,-2 - -,2.16
4 3LoTh  5.00 -0.14 0 -1 1,0,2 0 -1 0,,0,0 - -,4.86
5 5ALi4  6.50  1.40 0 1 2,1,2 0 2 2,,2,1 - -,7.90
6 5SLi4  6.00  0.30 1 1 2,1,1 1 1 1,,1,0 - -,6.30
7 FiDs4  3.50  0.28 1 0 1,1,0 0 1 2,,-1,1 - -,3.78
8 3STh  4.95 x  0.98 1 1 2,2,2 1 2 1,,1,1 - -,5.93
9 3Li4  4.00  0.24 1 1 1,0,1 0 1 1,,1,1 - -,4.24
10 SpSq4  3.40  0.00 0 -1 -1,0,0 0 0 0,,0,0 - -,3.40
11 FCCoSp2  2.50  0.40 1 0 1,1,1 1 1 1,,0,1 - -,2.90
12 SlSt3  3.10  0.50 1 -1 1,1,1 1 1 1,,1,1 - -,3.60
13 PCoSp2  3.50  0.10 0 1 0,0,0 0 1 1,,0,0 - -,3.60
54.23,,,,,,56.59
Program Components Factor,,,,,,
Skating Skills  1.60 7.25 5.75 7.00,7.00,7.50 6.75 7.25 8.00,,8.00,7.75 - -,7.25
Transition / Linking Footwork  1.60 7.00 5.75 6.50,6.50,7.00 6.50 7.00 7.25,,7.75,7.25 - -,6.85
Performance / Execution  1.60 7.00 6.50 6.50,7.00,7.75 6.75 7.00 7.50,,8.00,7.50 - -,7.20
Choreography / Composition  1.60 7.25 6.50 7.00,7.00,7.75 6.50 7.00 7.50,,8.00,7.50 - -,7.15
Interpretation  1.60 7.25 6.50 6.25,7.00,7.50 7.00 7.25 7.00,,8.00,7.25 - -,7.20
Judges Total Program Component Score (factored),,,,,,57.04
Deductions: Time violation: -1.00,,,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
2 Rena INOUE / John BALDWIN USA,,107.29  58.01,,,51.28,2.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3T  4.00 -2.80 -3 -3 -3,-2,-2 -3 -3 -3,,-3,-3 - -,1.20
2 2LzTw3  4.00 -0.12 0 -1 0,0,-1 0 0 0,,-1,0 - -,3.88
3 BoDs4  4.50 -0.14 0 0 0,0,-1 0 0 0,,0,-1 - -,4.36
4 3Li4  4.00  0.12 0 1 0,0,1 0 1 0,,0,0 - -,4.12
5 CCoSp3  3.00  0.10 -1 1 -1,1,0 0 0 0,,0,0 - -,3.10
6 5SLi4  6.00  0.18 1 2 1,1,1 -1 0 1,,1,0 - -,6.18
7 PCoSp4  4.50  0.10 0 0 0,1,0 0 1 0,,0,0 - -,4.60
8 3ATh  8.25 x -1.88 -3 -3 -3,-2,-2 -3 -3 -3,,-3,-3 - -,6.37
9 SpSq2  2.30  0.50 1 2 1,1,0 1 1 0,,1,1 - -,2.80
10 3LoTh  5.50 x  0.14 0 1 0,0,1 -1 0 0,,0,0 - -,5.64
11 2A+2T  5.06 x  0.40 1 1 0,0,0 1 1 0,,0,0 - -,5.46
12 SlSt3  3.10  0.10 0 1 0,1,0 0 0 0,,0,0 - -,3.20
13 5ALi4  6.50  0.60 0 1 1,1,0 1 -2 1,,1,0 - -,7.10
60.71,,,,,,58.01
Program Components Factor,,,,,,
Skating Skills  1.60 6.50 6.75 6.75,6.50,6.25 6.50 6.50 7.00,,7.50,6.50 - -,6.55
Transition / Linking Footwork  1.60 5.75 6.25 6.50,6.25,6.00 5.75 6.25 6.25,,7.25,6.00 - -,6.15
Performance / Execution  1.60 6.00 6.75 6.25,6.50,5.75 6.25 6.50 6.50,,7.50,6.25 - -,6.45
Choreography / Composition  1.60 6.25 7.00 7.00,6.50,6.25 6.50 6.50 6.75,,7.25,6.25 - -,6.55
Interpretation  1.60 6.25 6.75 6.50,6.50,6.00 6.25 6.25 6.50,,7.50,6.00 - -,6.35
Judges Total Program Component Score (factored),,,,,,51.28
Deductions: Falls: -2.00,,,,,,-2.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
Trophee Eric Bompard 2006,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,
"",,Total Total,,Total,Total
NOC,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,
Code,,Score Score,,Score (factored),
"",,= +,,+,-
3 Julia OBERTAS / Sergei SLAVNOV RUS,,98.25  47.57,,51.68,1.00
"# Executed Base GOE",,The Judges Panel,,,Scores
Elements Value,,(in random order),,,of Panel
1 3LzTw1  4.50  0.00 1 1 1,-1,2 0 0 0,,-1 0 - -,4.50
2 3T<  1.30 -0.68 -2 -2 -3,-2,-1 -3 -3 -2,,-2 -2 - -,0.62
3 2T+SEQ  1.04  0.00 0 0 -2,0,0 0 0 0,,-2 0 - -,1.04
4 1A*  0.00  0.00 - - -,-,- - - -,,- - - -,0.00
5 3LoTh  5.00  0.28 0 0 0,1,1 0 1 0,,0 0 - -,5.28
6 5ALi3  6.00  0.20 0 0 1,1,1 -1 0 1,,0 0 - -,6.20
7 FCCoSp4  3.50 -0.12 -1 -1 -1,0,0 -1 0 0,,-1 0 - -,3.38
8 SpSq4  3.40  0.00 0 0 0,0,0 0 0 1,,0 0 - -,3.40
9 3FTh  6.05 x -2.00 -3 -3 -3,-3,-3 -3 -3 -3,,-3 -3 - -,4.05
10 5TLi3  5.50  0.12 1 1 1,1,0 0 1 1,,0 0 - -,5.62
11 PCoSp2  3.50  0.10 0 -1 0,1,0 0 1 0,,0 0 - -,3.60
12 SlSt3  3.10 -0.98 0 -2 -1,-2,0 -2 -1 0,,-1 -1 - -,2.12
13 4Li4  4.00  0.06 0 0 0,0,1 -1 1 0,,0 0 - -,4.06
14 FiDs2  3.00  0.70 1 1 2,1,1 1 1 2,,1 1 - -,3.70
49.89,,,,,47.57
Program Components Factor,,,,,
Skating Skills  1.60 6.50 6.00 6.75,6.50,6.75 6.50 6.75 7.50,,7.00 6.75 - -,6.65
Transition / Linking Footwork  1.60 6.00 6.50 6.25,6.00,6.25 6.25 6.50 7.00,,6.75 6.25 - -,6.35
Performance / Execution  1.60 5.75 6.25 6.00,6.25,6.00 6.50 6.50 7.25,,7.00 6.50 - -,6.40
Choreography / Composition  1.60 6.25 6.75 6.50,6.25,6.50 6.25 6.75 7.25,,7.25 6.50 - -,6.55
Interpretation  1.60 6.25 6.50 6.25,6.00,6.50 6.00 6.50 7.00,,7.00 6.25 - -,6.35
Judges Total Program Component Score (factored),,,,,51.68
Deductions: Falls: -1.00,,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,Total
NOC,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,
Code,,Score Score,,Score (factored),
"",,= +,,+,-
4 Elizabeth PUTNAM / Sean WIRTZ CAN,,98.23  49.07,,50.16,1.00
"# Executed Base GOE",,The Judges Panel,,,Scores
Elements Value,,(in random order),,,of Panel
1 3LzTw1  4.50 -0.98 0 -3 -1,-2,0 -1 -1 -1,,-2 -1 - -,3.52
2 5ALi4  6.50  0.40 0 2 0,1,0 0 1 1,,0 0 - -,6.90
3 3S  4.50 -3.00 -3 -3 -3,-3,-3 -3 -3 -3,,-3 -3 - -,1.50
4 2F+SEQ  1.36  0.00 -1 0 -1,0,0 0 0 -1,,-1 0 - -,1.36
5 FCCoSp3  3.00  0.20 -1 0 -1,1,-1 1 0 -1,,1 0 - -,3.20
6 2A*  0.00  0.00 - - -,-,- - - -,,- - - -,0.00
7 3LoTh  5.50 x  0.84 1 2 1,2,1 1 1 1,,1 0 - -,6.34
8 3STh  4.95 x  0.84 1 2 1,2,1 0 2 1,,1 0 - -,5.79
9 5SLi3  5.50  0.00 0 -1 0,1,0 0 0 -1,,0 0 - -,5.50
10 SlSt3  3.10  0.30 1 0 1,1,2 1 1 1,,0 0 - -,3.40
11 BoDs1  3.00  0.28 0 1 0,0,1 1 0 0,,0 0 - -,3.28
12 PCoSp2  3.50 -0.06 -1 -1 0,1,0 0 0 0,,-1 0 - -,3.44
13 SpSq2  2.30  0.10 0 0 1,0,1 0 1 1,,0 0 - -,2.40
14 3Li1  2.50 -0.06 0 -1 -1,0,0 -1 0 -1,,0 0 - -,2.44
50.21,,,,,49.07
Program Components Factor,,,,,
Skating Skills  1.60 6.25 5.50 6.50,6.50,6.50 6.25 6.25 6.50,,6.50 6.00 - -,6.30
Transition / Linking Footwork  1.60 6.00 5.75 6.00,6.25,6.00 6.00 6.25 6.25,,6.25 5.75 - -,6.05
Performance / Execution  1.60 5.75 5.75 6.00,6.50,6.00 6.50 6.25 6.50,,6.50 6.25 - -,6.30
Choreography / Composition  1.60 6.00 6.00 6.75,6.75,6.25 6.50 6.50 6.50,,6.50 6.00 - -,6.35
Interpretation  1.60 6.00 5.50 6.25,6.50,6.50 6.25 6.50 6.25,,6.50 6.00 - -,6.35
Judges Total Program Component Score (factored),,,,,50.16
Deductions: Falls: -1.00,,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
Trophee Eric Bompard 2006,,,,,
