Trophee Eric Bompard 2006,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
1 Yu-Na KIM KOR,,119.32  63.04,,,57.28,1.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3F+3T  9.50  1.40 2 2 2 1,,2 1 2 1,,1,1 - -,10.90
2 2A+3T  7.30  1.00 2 1 2 1,,1 1 1 1,,1,1 - -,8.30
3 LSp3  2.40  0.70 2 1 2 1,,2 1 2 1,,1,1 - -,3.10
4 3Lz  6.00  0.80 1 0 1 0,,1 1 1 1,,0,1 - -,6.80
5 CSp4  2.40  0.40 2 1 1 0,,1 1 1 1,,0,0 - -,2.80
6 SlSt3  3.10  0.40 1 1 1 0,,1 1 1 1,,0,0 - -,3.50
7 3Lz+2T  8.03 x  0.00 0 0 0 0,,1 0 0 0,,-1,0 - -,8.03
8 FSSp4  3.00  0.10 1 0 0 0,,1 0 0 0,,0,1 - -,3.10
9 2A  3.63 x  0.80 1 0 1 1,,1 0 1 1,,0,0 - -,4.43
10 3S  4.95 x -2.00 -2 -2 -2 -2,,-2 -2 -2 -2,,-2,-2 - -,2.95
11 SpSq4  3.40  0.40 1 0 2 0,,1 0 1 0,,0,0 - -,3.80
12 2A  3.63 x -2.10 -3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,1.53
13 CCoSp4  3.50  0.30 1 1 1 1,,1 0 1 0,,0,0 - -,3.80
60.84,,,,,,63.04
Program Components Factor,,,,,,
Skating Skills  1.60 7.50 7.25 7.00 7.00,,7.25 7.50 8.00 7.25,,7.25,7.25 - -,7.35
Transition / Linking Footwork  1.60 6.25 7.00 6.75 6.75,,7.00 7.25 7.50 6.75,,6.75,7.25 - -,6.90
Performance / Execution  1.60 6.75 7.00 7.50 7.00,,7.25 7.25 7.50 7.00,,7.25,7.00 - -,7.15
Choreography / Composition  1.60 7.00 7.25 7.25 7.00,,7.00 7.25 7.50 7.50,,7.25,7.25 - -,7.20
Interpretation  1.60 6.50 7.50 7.50 7.00,,7.00 7.50 7.75 7.25,,7.25,7.25 - -,7.20
Judges Total Program Component Score (factored),,,,,,57.28
Deductions: Falls: -1.00,,,,,,-1.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
2 Miki ANDO JPN,,109.42  57.70,,,52.72,1.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3Lz  6.00 -3.00 -3 -3 -3 -3,,-3 -3 -3 -3,,-3,-3 - -,3.00
2 3S  4.50  0.20 0 1 1 0,,1 0 1 0,,0,0 - -,4.70
3 3F  5.50 -0.80 -1 0 0 0,,0 -2 0 -2,,-1,-1 - -,4.70
4 FSSp4  3.00  0.10 0 1 0 0,,1 0 0 0,,1,1 - -,3.10
5 SpSq4  3.40  0.40 0 1 2 0,,1 0 1 1,,0,0 - -,3.80
6 3Lz+2Lo  8.25 x -0.20 0 0 1 0,,0 0 -1 -1,,0,0 - -,8.05
7 3T+2Lo+2Lo  7.70 x  0.40 1 0 1 0,,0 0 1 1,,0,-1 - -,8.10
8 3F+2Lo  7.70 x -0.20 -1 0 0 0,,0 -1 0 0,,0,0 - -,7.50
9 2A  3.63 x  0.00 -1 0 1 0,,0 0 0 0,,0,0 - -,3.63
10 CoSp4  3.00  0.10 0 1 0 0,,1 0 1 0,,0,0 - -,3.10
11 SlSt2  2.30  0.20 1 1 1 0,,1 0 1 -1,,0,0 - -,2.50
12 CCoSp4  3.50  0.40 1 2 1 0,,1 1 1 0,,1,1 - -,3.90
13 LSp2  1.80 -0.18 -1 0 1 0,,0 -1 1 -1,,-1,-1 - -,1.62
60.28,,,,,,57.70
Program Components Factor,,,,,,
Skating Skills  1.60 6.00 7.25 7.25 7.00,,7.00 7.00 6.75 6.75,,6.50,6.75 - -,6.80
