Trophee Eric Bompard 2006,,,,,
ICE DANCING COMPULSORY DANCE,JUDGES DETAILS PER SKATER,,,,
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
1 Albena DENKOVA / Maxim STAVISKI,BUL  38.32  19.48,,,18.84,0.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 1S1  2.00  0.90,2 2 1 1 2 2 1 2,,2,2 - -,2.90
2 1S2  2.60  0.50,1 1 2 1 1 1 1 1,,1,2 - -,3.10
3 1S3  1.60  0.30,1 1 1 1 1 1 0 1,,1,1 - -,1.90
4 2S1  3.10  1.02,2 2 1 0 2 1 1 2,,1,2 - -,4.12
5 2S2  3.60  0.56,0 1 2 1 1 1 0 1,,1,2 - -,4.16
6 2S3  2.60  0.70,1 1 2 1 1 1 1 1,,1,1 - -,3.30
15.50,,,,,19.48
Program Components Factor,,,,,
Skating Skills  0.75,7.75 7.50 7.75 7.75 7.75 8.00 7.75 7.50,,7.50,8.00 - -,7.70
Timing  0.75,7.50 7.25 7.50 6.00 7.50 7.25 7.50 7.25,,7.25,8.25 - -,7.35
Performance / Execution  0.50,7.50 7.50 7.75 7.25 7.75 7.50 7.50 7.00,,7.50,8.25 - -,7.50
Interpretation  0.50,7.75 7.50 7.50 7.50 7.75 7.75 7.50 7.25,,7.50,8.50 - -,7.60
Judges Total Program Component Score (factored),,,,,18.84
Deductions:,,,,,0.00
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
2 Isabelle DELOBEL / Olivier SCHOENFELDER,FRA  37.65  19.00,,,18.65,0.00
"# Executed Base GOE",The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 1S1  2.00  0.60,1 2 1 2 1 1 1 1,,1,2 - -,2.60
2 1S2  2.60  0.40,0 1 1 2 1 0 1 1,,1,1 - -,3.00
3 1S3  1.60  0.38,1 2 2 2 1 1 0 1,,1,2 - -,1.98
4 2S1  3.10  0.86,1 2 1 1 2 1 0 1,,1,2 - -,3.96
5 2S2  3.60  0.70,1 1 1 2 1 1 1 0,,1,1 - -,4.30
6 2S3  2.60  0.56,0 1 1 1 1 1 0 1,,1,1 - -,3.16
15.50,,,,,19.00
Program Components Factor,,,,,
Skating Skills  0.75,7.50 7.25 7.75 8.00 7.75 7.75 7.50 7.25,,7.00,7.50 - -,7.55
Timing  0.75,7.50 7.50 7.50 7.50 7.75 7.25 7.00 7.00,,6.75,7.00 - -,7.35
Performance / Execution  0.50,7.25 7.75 7.50 7.50 7.50 7.50 7.25 7.25,,7.00,7.50 - -,7.40
