10
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
6,Kimmie MEISSNER,USA,0,54.9,28.46,27.44,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,10,Ref,Scores of Panel
1,3Lz+2T,,7.3,False,0.0,0,0,0,0,0,0,1,0,0,0,,7.3
2,3F,!,5.5,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,,2.5
3,FSSp3,,2.6,False,0.3,0,1,1,1,1,0,1,1,0,1,,2.9
4,LSp1,,1.5,False,0.4,1,1,1,0,0,0,0,0,1,1,,1.9
5,2A,,3.5,False,0.6,0,1,1,1,1,0,0,1,1,0,,4.1
6,CCoSp3,,3.0,False,0.0,1,0,-1,0,0,0,1,0,0,0,,3.0
7,SpSq3,,3.1,False,-0.04,-1,0,-2,0,0,0,-1,1,1,0,,3.06
8,SlSt3,,3.3,False,0.4,1,1,0,1,1,0,0,1,1,1,,3.7
,,,29.8,,,,,,,,,,,,,,28.46
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,7.0,7.0,5.5,6.5,6.5,7.0,7.25,7.0,7.0,7.25,,7.0
,Transition / Linking Footwork  ,,,,0.8,6.25,6.75,5.25,6.0,6.25,6.0,6.75,6.75,6.25,7.0,,6.4
,Performance / Execution  ,,,,0.8,7.0,6.75,6.25,6.5,6.25,7.0,6.75,7.25,7.0,7.25,,7.0
,Choreography / Composition  ,,,,0.8,7.25,7.0,6.0,6.75,6.5,6.5,6.5,7.0,6.75,7.25,,6.9
,Interpretation  ,,,,0.8,7.0,6.75,5.75,6.5,6.75,7.0,6.5,7.25,7.0,7.25,,7.0
,,,,,,,,,,,,,,,,,27.44
Deduction,Falls,-1.0
