Cup of Russia,,,,,
ICE DANCING ORIGINAL DANCE,JUDGES DETAILS PER SKATER,,,,
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
1 Oksana DOMNINA / Maxim SHABALIN,RUS  63.20  32.70,,,30.50,0.00
"# Executed Base",GOE The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 Sp4  4.70,0.90 2 1 2 2 2 2 1 1,,1,2 - -,5.60
2 NtMiTw4  3.30,0.50 1 1 2 1 1 1 1 1,,2,1 - -,3.80
3 NtMiSt3  3.80,0.30 1 1 0 1 1 1 0 0,,0,1 - -,4.10
4 SlLi4  4.00,1.00 2 2 2 2 2 2 1 2,,2,2 - -,5.00
5 CiSt4  8.00,1.20 1 1 1 2 2 1 0 1,,1,1 - -,9.20
6 RoLi4  4.00,1.00 2 2 2 2 2 2 0 2,,1,2 - -,5.00
27.80,,,,,32.70
Program Components,Factor,,,,
Skating Skills,0.80 7.75 7.75 8.00 8.25 7.75 8.00 8.25 7.75,,7.50,7.75 - -,7.95
Linking Footwork / Movement,0.80 7.50 7.00 8.00 8.00 7.75 7.75 7.75 7.75,,7.50,7.75 - -,7.80
Performance,0.60 8.25 7.50 8.25 8.25 8.00 8.00 8.25 8.00,,7.25,7.75 - -,8.15
Choreography,0.60 7.75 7.25 8.50 8.50 8.00 8.25 7.50 8.00,,8.00,7.75 - -,8.10
Interpretation / Timing,1.00 8.00 7.50 8.50 8.75 8.00 8.00 8.00 8.25,,8.00,7.75 - -,8.15
Judges Total Program Component Score (factored),,,,,30.50
Deductions:,,,,,0.00
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
2 Nathalie PECHALAT / Fabian BOURZAT,FRA  58.03  30.20,,,27.83,0.00
"# Executed Base",GOE The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 StaLi4  4.00,1.00 2 2 2 2 2 2 2 2,,2,1 - -,5.00
2 NtMiTw4  3.30,0.50 1 2 1 0 1 1 1 1,,1,1 - -,3.80
3 NtMiSt3  3.80,0.50 1 1 1 0 2 1 1 1,,1,1 - -,4.30
4 SlLi4  4.00,0.70 1 2 1 2 1 2 1 2,,2,2 - -,4.70
5 Sp3  4.00,0.60 2 0 1 1 1 1 0 2,,2,2 - -,4.60
6 CiSt3  7.20,0.60 0 2 1 0 2 1 0 1,,1,1 - -,7.80
26.30,,,,,30.20
Program Components,Factor,,,,
Skating Skills,0.80 7.25 7.00 7.25 7.25 7.50 7.00 7.75 7.00,,6.50,7.00 - -,7.25
Linking Footwork / Movement,0.80 7.00 7.00 7.00 7.25 7.25 6.75 7.25 6.75,,6.50,7.25 - -,7.05
Performance,0.60 7.50 7.25 7.25 7.50 7.50 7.00 7.75 7.00,,6.50,7.25 - -,7.35
Choreography,0.60 7.75 7.50 7.50 7.75 7.50 7.25 8.00 7.00,,7.00,7.25 - -,7.55
Interpretation / Timing,1.00 7.50 7.50 7.50 7.75 7.50 7.25 7.50 7.25,,6.75,7.00 - -,7.45
Judges Total Program Component Score (factored),,,,,27.83
Deductions:,,,,,0.00
"",Total Total,,,Total,Total
"",NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,,
"",Code Score Score,,,Score (factored),
"",= +,,,+,-
3 Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS  52.44  28.30,,,24.14,0.00
"# Executed Base",GOE The Judges Panel,,,,Scores
Elements Value,(in random order),,,,of Panel
1 CoSp3  4.00,0.50 2 -1 1 1 1 1 1 1,,0,0 - -,4.50
2 NtMiTw4  3.30,0.00 0 -1 0 0 1 0 -1 0,,0,-1 - -,3.30
3 NtMiSt3  3.80,0.40 1 -1 0 1 1 0 1 1,,1,0 - -,4.20
4 SlLi4  4.00,0.70 2 2 1 2 1 1 2 1,,1,1 - -,4.70
5 SeSt3  7.20,0.00 0 -1 0 0 0 0 0 -1,,1,0 - -,7.20
6 RoLi4  4.00,0.40 2 0 0 1 1 1 0 1,,1,0 - -,4.40
26.30,,,,,28.30
Program Components,Factor,,,,
Skating Skills,0.80 6.25 5.75 6.00 6.50 7.00 6.25 7.25 5.25,,5.50,5.50 - -,6.40
Linking Footwork / Movement,0.80 5.75 5.25 5.75 6.25 6.75 5.75 6.50 5.00,,5.50,5.50 - -,6.00
Performance,0.60 6.50 9.00 6.00 6.50 7.00 6.25 7.00 5.25,,5.25,5.75 - -,6.45
Choreography,0.60 6.50 5.50 6.00 6.75 7.00 6.25 7.25 5.50,,6.00,5.75 - -,6.50
