Cup of Russia,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
1 Yu-Na KIM,KOR  63.50,34.90,,,28.60,0.00
"# Executed Base",GOE The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 3F+3T  9.50,1.40 2 2 0 0 2,1 1 1,,2,1 - -,10.90
2 3Lz  6.00,0.00 0 1 0 0 0,0 -1 0,,0,0 - -,6.00
3 SpSq4  3.40,1.00 1 1 1 0 1,0 1 1,,1,1 - -,4.40
4 FSSp3  2.30,0.50 1 0 1 0 1,1 0 1,,1,0 - -,2.80
5 SlSt3  3.10,0.50 1 1 1 1 1,2 1 1,,1,1 - -,3.60
6 LSp4  2.60,0.90 3 1 2 1 2,1 2 2,,1,2 - -,3.50
7 1A  0.80,-0.50 -3 -2 -3 -3 -3,-3 -3 -3,,-3,-3 - -,0.30
8 CCoSp3  3.00,0.40 2 1 0 0 1,1 1 1,,0,0 - -,3.40
30.70,,,,,,34.90
Program Components,Factor,,,,,
Skating Skills,0.80 7.25 7.50 7.00 7.50 7.50,8.50 7.25 7.50,,7.00,8.00 - -,7.30
Transition / Linking Footwork,0.80 7.00 7.25 6.25 7.75 7.00,7.00 6.75 6.50,,7.00,7.75 - -,6.85
Performance / Execution,0.80 7.25 7.75 6.50 7.00 7.50,8.00 7.25 7.00,,6.50,7.75 - -,7.10
Choreography / Composition,0.80 7.25 7.50 6.50 7.50 7.50,7.75 7.25 7.00,,6.75,8.25 - -,7.15
Interpretation,0.80 7.50 7.75 6.75 7.00 7.75,8.00 7.25 7.50,,6.75,8.00 - -,7.35
Judges Total Program Component Score (factored),,,,,,28.60
Deductions:,,,,,,0.00
e  Jump take off with wrong edge,,,,,,
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
2 Yukari NAKANO,JPN  60.50,34.10,,,26.40,0.00
"# Executed Base",GOE The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 3F+2T  6.80,0.00 1 1 0 0 -2,0 0 0,,0,0 - -,6.80
2 3Lz  6.00,0.00 1 1 -1 0 0,0 0 0,,0,0 - -,6.00
3 CCoSp3  3.00,0.80 1 1 1 2 1,2 2 2,,2,0 - -,3.80
4 LSp3  2.40,0.80 1 1 2 1 2,2 1 2,,1,1 - -,3.20
5 SpSq4  3.40,0.40 1 1 0 0 0,0 1 0,,1,1 - -,3.80
6 SlSt2  2.30,0.40 1 1 0 0 1,1 0 1,,1,0 - -,2.70
7 2A  3.50,1.00 1 1 1 1 1,1 2 1,,1,1 - -,4.50
8 FCSp3  2.30,1.00 2 1 2 2 2,2 2 2,,2,2 - -,3.30
29.70,,,,,,34.10
Program Components,Factor,,,,,
Skating Skills,0.80 6.50 7.25 6.25 7.25 6.75,8.00 6.75 7.00,,6.75,7.50 - -,6.75
Transition / Linking Footwork,0.80 6.25 7.00 6.00 6.50 6.25,6.75 6.00 6.25,,6.75,7.00 - -,6.30
Performance / Execution,0.80 6.50 7.50 6.50 7.25 6.50,7.50 6.75 7.00,,6.75,7.25 - -,6.70
Choreography / Composition,0.80 6.50 7.25 6.50 7.75 6.50,7.25 6.50 6.75,,7.00,7.75 - -,6.65
Interpretation,0.80 6.50 7.50 6.00 7.25 6.25,7.75 6.50 6.75,,7.00,7.25 - -,6.60
Judges Total Program Component Score (factored),,,,,,26.40
Deductions:,,,,,,0.00
e  Jump take off with wrong edge,,,,,,
"",Total,Total,,,Total,Total
"",NOC Segment,Element,,,Program  Component,Deductions
Rank Name,,,,,,
"",Code Score,Score,,,Score (factored),
"",=,+,,,+,-
3 Kiira KORPI,FIN  58.22,33.30,,,24.92,0.00
"# Executed Base",GOE The Judges Panel,,,,,Scores
Elements Value,(in random order),,,,,of Panel
1 3Lz+2T  7.30,0.60 1 1 1 0 0,0 1 0,,1,1 - -,7.90
2 3Lo  5.00,1.00 1 1 1 0 1,1 1 0,,1,1 - -,6.00
3 LSp3  2.40,0.00 0 0 0 0 0,0 -1 0,,0,0 - -,2.40
