Cup of Russia,,,,,,,
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
1 Stephane LAMBIEL,SUI,,80.49  41.84,,,38.65,0.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 2A  3.50,1.40 2 1 0 1,,2 0 2 0,,1,0 - -,4.90
2 4T+2T  10.30,1.00 1 1 0 1,,1 1 1 1,,1,0 - -,11.30
3 CSSp3  2.30,0.44 2 -2 0 -1,,2 1 1 1,,1,1 - -,2.74
4 3Lz  6.00,1.40 2 2 1 1,,1 1 2 0,,1,0 - -,7.40
5 CCoSp4  3.50,0.70 2 1 1 2,,1 1 1 1,,2,1 - -,4.20
6 CiSt2  2.30,0.90 2 2 1 2,,1 1 2 1,,2,0 - -,3.20
7 SlSt3  3.10,1.00 2 2 2 2,,2 0 2 1,,2,1 - -,4.10
8 FSSp4  3.00,1.00 2 2 1 2,,2 1 2 2,,2,1 - -,4.00
34.00,,,,,,,41.84
Program Components,Factor,,,,,,
Skating Skills,1.00 8.25 7.75 7.50 7.00,,8.25 7.75 7.75 7.50,,7.25,7.25 - -,7.75
Transition / Linking Footwork,1.00 8.00 7.50 7.25 7.00,,7.75 7.50 7.25 6.75,,7.00,7.00 - -,7.40
Performance / Execution,1.00 8.25 8.00 7.75 7.75,,8.25 7.75 7.75 7.25,,7.50,7.00 - -,7.90
Choreography / Composition,1.00 8.25 8.00 8.00 7.50,,8.25 7.50 7.50 7.75,,7.50,7.50 - -,7.75
Interpretation,1.00 8.50 8.00 8.00 7.75,,8.00 7.75 7.75 7.25,,7.75,7.25 - -,7.85
Judges Total Program Component Score (factored),,,,,,,38.65
Deductions:,,,,,,,0.00
e  Jump take off with wrong edge,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
2 Johnny WEIR,USA,,80.15  43.30,,,36.85,0.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz+3T  10.00,1.00 1 1 0 1,,1 1 2 2,,1,0 - -,11.00
2 3A  7.50,1.40 2 2 0 1,,1 1 2 2,,1,1 - -,8.90
3 3F  5.50,1.00 1 1 1 1,,0 1 1 0,,1,0 - -,6.50
4 CSSp4  3.00,0.40 1 0 0 0,,1 1 1 1,,1,1 - -,3.40
5 CiSt2  2.30,0.60 2 2 1 0,,1 0 1 1,,2,0 - -,2.90
6 FSSp4  3.00,0.70 2 1 1 1,,1 0 2 2,,2,0 - -,3.70
7 SlSt2  2.30,0.60 2 1 1 1,,1 1 1 1,,2,0 - -,2.90
8 CCoSp4  3.50,0.50 1 0 1 1,,1 1 2 1,,1,1 - -,4.00
37.10,,,,,,,43.30
Program Components,Factor,,,,,,
Skating Skills,1.00 7.25 7.25 7.50 7.50,,7.75 7.50 7.25 7.75,,7.25,7.00 - -,7.35
Transition / Linking Footwork,1.00 7.25 7.00 7.00 7.00,,7.50 7.25 7.00 6.75,,7.25,6.50 - -,7.15
Performance / Execution,1.00 7.25 7.50 7.50 7.25,,8.00 7.75 7.25 8.00,,7.50,7.25 - -,7.45
Choreography / Composition,1.00 7.50 7.50 7.50 7.25,,7.75 7.25 7.25 7.75,,7.25,7.00 - -,7.35
Interpretation,1.00 7.50 7.75 7.75 7.50,,7.75 7.50 7.50 7.75,,7.25,7.00 - -,7.55
Judges Total Program Component Score (factored),,,,,,,36.85
Deductions:,,,,,,,0.00
e  Jump take off with wrong edge,,,,,,,
"",,,Total Total,,,Total,Total
"",NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,,
"",Code,,Score Score,,,Score (factored),
"",,,= +,,,+,-
3 Andrei GRIAZEV,RUS,,70.95  39.20,,,31.75,0.00
"# Executed Base",GOE,,The Judges Panel,,,,Scores
Elements Value,,,(in random order),,,,of Panel
1 3Lz+3T  10.00,1.00 1 1 0 1,,1 0 1 1,,1,0 - -,11.00
2 3A  7.50,0.60 1 1 0 0,,0 0 1 1,,2,0 - -,8.10
