Cup of Russia,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,,Total Total,,Total,Total
NOC,,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
Code,,,Score Score,,Score (factored),
"",,,= +,,+,-
1 Dan ZHANG / Hao ZHANG CHN,,,122.72  64.00,,58.72,0.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
Elements Value,,,(in random order),,,of Panel
1 2A+2T  4.80  0.24 0 1 1,,1,-1 -2 -1 0,,-2 0 - -,5.04
2 3LzTw1  5.00  1.40 2 2 2,,2,2 0 2 1,,2 2 - -,6.40
3 5TLi4  6.00  0.90 1 2 1,,2,2 1 2 2,,2 1 - -,6.90
4 5ALi4  6.50  1.80 1 2 2,,2,2 1 2 1,,2 1 - -,8.30
5 PCoSp3  4.00  0.40 1 1 1,,0,1 0 2 1,,-1 1 - -,4.40
6 3STh  4.95 x  1.26 2 1 2,,2,2 1 2 1,,2 1 - -,6.21
7 SlSt3  3.10  0.10 0 0 0,,1,0 0 1 0,,0 0 - -,3.20
8 3S  4.95 x -1.00 -1 -1 -1,,0,-1 -1 -1 -1,,-1 0 - -,3.95
9 FCCoSp3  3.00  0.30 0 0 2,,1,0 0 2 0,,0 1 - -,3.30
10 3LoTh  5.50 x -0.28 0 -1 0,,1,1 -2 0 -1,,-1 0 - -,5.22
11 SpSq3  3.10  0.00 0 0 0,,1,1 0 0 0,,0 0 - -,3.10
12 3Li4  4.00  0.20 1 1 0,,1,1 0 0 -1,,0 1 - -,4.20
13 BiDs1  2.80  0.98 1 1 2,,2,1 1 2 0,,1 1 - -,3.78
57.70,,,,,,64.00
Program Components Factor,,,,,,
Skating Skills  1.60 7.50 7.75 7.75,,7.75,7.25 7.50 7.25 7.50,,7.00 8.00 - -,7.55
Transition / Linking Footwork  1.60 7.50 7.25 7.00,,7.50,7.00 7.00 7.25 7.00,,7.00 7.50 - -,7.20
Performance / Execution  1.60 7.25 7.50 7.50,,7.75,7.25 7.00 7.25 7.25,,7.25 7.75 - -,7.35
Choreography / Composition  1.60 7.25 7.75 7.50,,7.75,7.00 7.00 7.00 7.25,,7.00 7.25 - -,7.35
Interpretation  1.60 7.50 7.25 7.50,,7.75,7.00 6.75 7.00 7.00,,7.00 7.25 - -,7.25
Judges Total Program Component Score (factored),,,,,,58.72
Deductions:,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,,Total Total,,Total,Total
NOC,,,Segment Element,,Program  Component,Deductions
Rank Name,,,,,,
Code,,,Score Score,,Score (factored),
"",,,= +,,+,-
2 Aliona SAVCHENKO / Robin SZOLKOWY GER,,,119.17  60.09,,60.08,1.00
"# Executed Base GOE",,,The Judges Panel,,,Scores
Elements Value,,,(in random order),,,of Panel
1 3FTh  5.50  1.26 2 2 1,,2,2 2 2 1,,2 2 - -,6.76
2 3T+1A+SEQ  3.84 -1.60 -1 -1 -2,,-2,-2 -3 -2 -2,,-1 -1 - -,2.24
3 3LzTw1  5.00  0.56 1 1 0,,1,1 0 0 1,,1 2 - -,5.56
4 5TLi4  6.00  0.50 2 1 0,,1,1 1 1 1,,1 1 - -,6.50
5 3S  4.50 -3.00 -3 -3 -3,,-3,-3 -3 -3 -3,,-3 -3 - -,1.50
6 FCCoSp3  3.00  0.20 0 0 0,,1,1 1 1 0,,1 0 - -,3.20
7 PCoSp4  4.50  0.50 1 1 1,,1,1 0 1 0,,1 1 - -,5.00
8 SpSq4  3.40  1.00 2 1 0,,1,2 1 1 1,,1 1 - -,4.40
9 5ALi4  6.50  1.20 2 1 1,,2,2 1 1 1,,1 2 - -,7.70
10 BoDs1  3.00  0.42 1 1 0,,1,1 0 -1 0,,1 1 - -,3.42
11 SlSt3  3.10  0.60 1 1 1,,1,2 0 2 1,,2 2 - -,3.70
12 3Li4  4.00  0.60 2 1 1,,2,2 1 1 1,,1 1 - -,4.60
13 3STh  4.95 x  0.56 0 1 0,,1,1 1 1 1,,1 2 - -,5.51
57.29,,,,,,60.09
Program Components Factor,,,,,,
Skating Skills  1.60 7.75 8.00 7.50,,7.50,7.75 7.50 7.50 7.75,,7.50 8.00 - -,7.60
