ISU GP Trophee Eric Bompard 2015,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
1 Gracie GOLD USA  11,73.32  39.30,,,34.02,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 3Lz+3T  10.30  1.40 2 2 2,2 3 2 2,,,2 2,11.70,
2 LSp4  2.70  1.00 2 2 2,2 2 2 2,,,2 3,3.70,
3 FCSp4  3.20  0.93 2 2 2,2 2 1 1,,,2 2,4.13,
4 3F  5.83 x  0.80 2 0 1,1 2 1 1,,,1 1,6.63,
Info,Info,,,,,Info
5 2A  3.63 x  0.64 2 1 1,2 2 1 1,,,1 1,4.27,
6 StSq3  3.30  1.07 2 2 3,2 2 2 2,,,2 3,4.37,
7 CCoSp3p4  3.50  1.00 2 2 2,2 2 2 2,,,2 2,4.50,
32.46,,,,,39.30,
Program Components Factor,,,,,,
Skating Skills  0.80 8.50 8.00 8.75,9.00 8.50 7.50 8.25,,,8.25 8.75,8.43,
Transition / Linking Footwork  0.80 8.25 7.50 8.25,8.50 7.75 7.00 8.00,,,8.25 8.75,8.07,
Performance / Execution  0.80 8.75 8.25 8.50,9.00 8.50 7.50 9.25,,,8.75 9.50,8.71,
Choreography / Composition  0.80 8.50 8.25 8.50,8.75 8.50 8.00 9.00,,,9.00 9.50,8.64,
Interpretation  0.80 8.75 8.25 8.75,9.00 8.50 8.00 8.75,,,8.75 9.25,8.68,
Judges Total Program Component Score (factored),,,,,34.02,
Deductions:,,,,,0.00,
"x  Credit for highlight distribution, base value multiplied by 1.1",,,,,,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
2 Julia LIPNITSKAIA RUS  10,65.63  35.06,,,30.57,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 3T+3T  8.60  1.30 2 2 2,2 2 2 1,,,2 0,9.90,
2 3F  5.30 -0.50 -1 -1 -1,0 -1 -1 0,,,0 -2,4.80,
3 2A  3.30  0.36 1 1 1,1 1 1 0,,,0 0,3.66,
4 FCSp4  3.20  0.79 2 2 2,2 1 2 1,,,0 1,3.99,
5 StSq3  3.30  1.00 2 2 2,2 2 2 2,,,1 2,4.30,
6 LSp4  2.70  1.07 2 2 2,2 3 3 2,,,2 2,3.77,
7 CCoSp3p4  3.50  1.14 -2 3 2,2 3 2 2,,,3 2,4.64,
29.90,,,,,35.06,
Program Components Factor,,,,,,
Skating Skills  0.80 7.50 7.75 6.50,7.75 7.75 7.75 7.50,,,8.00 7.50,7.64,
Transition / Linking Footwork  0.80 7.25 7.25 6.75,7.50 7.25 7.25 7.25,,,7.50 7.25,7.29,
Performance / Execution  0.80 8.25 8.00 6.75,8.00 7.50 7.50 7.75,,,8.25 7.75,7.82,
Choreography / Composition  0.80 8.00 7.50 7.00,8.25 7.25 7.50 7.50,,,8.00 8.00,7.68,
Interpretation  0.80 8.25 8.00 7.00,8.25 7.50 7.25 8.00,,,8.00 7.50,7.79,
Judges Total Program Component Score (factored),,,,,30.57,
Deductions:,,,,,0.00,
Starting,Total Total,,,Total,Total,
Rank Name Nation Number,Segment Element,,,Program  Component,Deductions,
"",Score Score,,,Score (factored),,
3 Roberta RODEGHIERO ITA  5,58.81  32.77,,,26.04,0.00,
"# Executed Base GOE",The Judges Panel,,,,Ref Scores,
Elements Value,(in random order),,,,of Panel,
1 3T+3T  8.60  1.20 2 2 2,1 2 1 2,,,1 2,9.80,
