9
Rank,Name,Nation,Starting Number,Total Segment Score,Total Element Score,Total Program Component Score (factored),Total Deductions
4,Ashley WAGNER,USA,0,55.4,32.4,24.0,1.00
#,Executed Elements,Info,Base Value,Bonus,GOE,1,2,3,4,5,6,7,8,9,Ref,Scores of Panel
1,3Lz+COMBO,e,6.0,False,-3.0,-3,-3,-3,-3,-3,-3,-3,-3,-3,,3.0
2,3F,,5.5,False,0.2,0,1,-1,0,1,1,0,0,0,,5.7
3,LSp4,,2.7,False,0.7,2,2,1,1,1,1,1,2,0,,3.4
4,SlSt3,,3.3,False,0.4,1,1,0,1,0,1,0,1,0,,3.7
5,FSSp4,,3.0,False,0.7,1,2,1,2,0,1,1,2,1,,3.7
6,SpSq4,,3.4,False,1.2,1,2,1,1,0,2,1,1,0,,4.6
7,2A,,3.5,False,0.8,0,1,0,1,1,1,0,1,1,,4.3
8,CCoSp4,,3.5,False,0.5,1,1,1,1,-1,1,0,1,0,,4.0
,,,30.9,,,,,,,,,,,,,32.4
,Program Components,,,,Factor
,Skating Skills  ,,,,0.8,6.25,6.25,6.25,5.75,6.25,6.5,6.25,5.75,5.25,,6.05
,Transition / Linking Footwork  ,,,,0.8,6.0,5.5,6.0,5.5,6.25,6.25,5.75,5.25,5.25,,5.65
,Performance / Execution  ,,,,0.8,6.5,7.25,5.75,5.75,6.5,6.75,6.0,6.0,5.5,,6.15
,Choreography / Composition  ,,,,0.8,6.25,6.5,6.0,5.75,6.75,7.0,6.25,5.75,5.75,,6.05
,Interpretation  ,,,,0.8,6.25,6.5,6.0,5.75,6.75,6.5,6.0,6.0,5.75,,6.1
,,,,,,,,,,,,,,,,24.0
Deduction,Falls,-1.0
