ISU European Figure Skating Championships,,,,,,
LADIES SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,,,
"",Total Total,,,Total,Total,
NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
Code,Score Score,,,Score (factored),,
"",= +,,,+,-,
1 Carolina KOSTNER ITA,59.31  31.56,,,27.75,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3F+3T  9.50  1.57 0 1 1 1,2 2 2 1,,2,1 1 2,11.07,
2 2Lz  1.90 Info-1.00 -3 -3 -3 -3,-3 -3 -3 -3,,-3,I-n3fo -3 -3,0.90,Info
3 SpSq4  3.40  1.29 1 0 1 1,2 1 2 1,,1,1 1 2,4.69,
4 2A  3.50 -0.34 0 0 -1 0,0 0 -1 -1,,-1,0 -1 0,3.16,
5 FSSp4  3.00 -0.09 0 -1 0 0,0 -1 0 -1,,0,0 0 0,2.91,
6 LSp2  1.80  0.07 0 0 0 -1,1 0 0 -1,,0,1 0 1,1.87,
7 SlSt3  3.10  0.86 2 1 1 1,2 2 2 2,,1,1 1 2,3.96,
8 CCoSp3  3.00  0.00 0 0 0 -1,0 0 0 0,,1,0 0 0,3.00,
29.20,,,,,31.56,
Program Components Factor,,,,,,
Skating Skills  0.80 7.50 6.50 7.50 7.75,7.50 6.50 7.75 7.00,,7.00,7.50 6.25 8.00,7.11,
Transition / Linking Footwork  0.80 7.00 6.25 6.50 6.75,7.00 6.00 7.50 6.75,,6.75,7.00 6.00 5.75,6.54,
Performance / Execution  0.80 7.50 6.25 7.00 7.00,7.25 6.50 7.50 7.00,,7.00,7.25 6.25 7.50,7.00,
Choreography / Composition  0.80 7.25 6.50 7.25 7.00,7.25 6.25 7.50 6.75,,7.25,7.50 6.00 7.50,6.96,
Interpretation  0.80 7.50 6.50 7.50 6.75,7.50 6.75 7.50 7.25,,7.00,7.50 6.25 7.00,7.07,
Judges Total Program Component Score (factored),,,,,27.75,
Deductions:,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,,,,,
"",Total Total,,,Total,Total,
NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
Code,Score Score,,,Score (factored),,
"",= +,,,+,-,
2 Kiira KORPI FIN,58.60  32.14,,,26.46,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
Elements Value,(in random order),,,,of Panel,
1 3Lz+2T  7.30  0.00 0 0 -1 0,0 0 0 0,,1,0 0 0,7.30,
2 3Lo  5.00  1.00 1 1 0 0,1 1 0 1,,1,0 1 2,6.00,
3 LSp2  1.80  0.36 0 0 1 1,1 1 1 1,,1,1 1 0,2.16,
4 SpSq1  1.80  0.50 1 0 1 1,1 1 1 1,,1,1 1 1,2.30,
5 2A  3.50  0.71 0 1 1 1,1 1 0 1,,1,0 0 1,4.21,
6 FSSp4  3.00  0.07 0 0 0 0,0 1 0 1,,0,0 0 0,3.07,
7 SlSt3  3.10  0.64 1 1 1 1,2 1 1 2,,2,0 1 1,3.74,
8 CCoSp3  3.00  0.36 1 0 0 1,1 0 0 1,,1,0 1 1,3.36,
28.50,,,,,32.14,
Program Components Factor,,,,,,
Skating Skills  0.80 7.25 6.50 6.75 6.75,7.00 6.00 7.50 6.25,,6.25,6.25 6.50 7.00,6.68,
Transition / Linking Footwork  0.80 6.75 6.25 6.00 6.50,6.75 5.25 7.00 6.00,,6.00,6.00 6.25 6.25,6.32,
Performance / Execution  0.80 7.50 6.25 6.50 7.00,7.00 5.75 7.25 6.50,,6.50,6.50 6.75 7.50,6.82,
Choreography / Composition  0.80 7.00 6.50 7.00 6.75,7.25 5.50 7.00 6.00,,6.25,6.25 6.25 7.00,6.57,
Interpretation  0.80 7.75 6.50 7.25 6.75,7.25 6.00 7.25 6.25,,6.50,6.50 6.50 6.50,6.68,
Judges Total Program Component Score (factored),,,,,26.46,
Deductions:,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,,,,,
"",Total Total,,,Total,Total,
NOC,Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,,
Code,Score Score,,,Score (factored),,
"",= +,,,+,-,
3 Laura LEPISTO FIN,56.96  32.24,,,24.72,0.00,
"# Executed Base GOE",The Judges Panel,,,,Scores,
