ISU European Figure Skating Championships,,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
1 Sarah MEIER SUI,,113.00  57.96,,55.04,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3Lz+2T+2Lo  8.80  0.14 0 0 1,0,0 1 1 1,1,0 0 0,,8.94,
2 3F e  5.50 -2.71 -3 -3 -3,-3,-2 -3 -3 -I2nfo,-3,-3 -2 -3,,2.79,Info
3 3S+2T  5.80  0.00 0 0 0,0,0 0 1 0,0,0 0 0,,5.80,
4 CCoSp3  3.00  0.43 1 2 2,1,1 0 1 0,1,1 1 1,,3.43,
5 CoSp4  3.00  0.07 0 1 1,0,0 0 1 1,0,0 0 0,,3.07,
6 3S  4.95 x  0.57 1 0 1,0,1 1 2 0,2,1 1 0,,5.52,
7 SpSq4  3.40  0.14 0 0 1,0,0 0 1 1,1,1 0 0,,3.54,
8 3Lz  6.60 x -1.00 -1 -1 -1,-2,-1 -1 -2 -1,-1,-1 -1 -1,,5.60,
9 3T  4.40 x  0.29 0 0 1,1,1 0 2 1,1,0 0 0,,4.69,
10 2A+2T  5.28 x  0.00 0 0 1,0,0 0 1 0,0,0 0 0,,5.28,
11 FUSp3  2.30  0.07 0 0 1,0,1 0 0 -1,1,0 0 1,,2.37,
12 SlSt3  3.10  0.43 0 1 2,0,1 1 0 1,2,1 1 1,,3.53,
13 LSp3  2.40  1.00 1 2 3,2,2 2 2 2,2,2 2 2,,3.40,
58.53,,,,,,57.96,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.00 6.75 7.25,7.25,7.50 6.75 7.25 6.00,7.75,7.25 7.00 7.25,,7.04,
Transition / Linking Footwork  1.60 6.25 6.50 7.25,7.00,7.00 6.50 6.50 5.75,7.50,6.75 6.25 7.00,,6.61,
Performance / Execution  1.60 6.50 6.75 7.25,7.00,7.25 6.50 7.75 6.25,7.75,7.25 7.25 6.75,,6.86,
Choreography / Composition  1.60 6.50 6.75 7.75,7.25,7.25 6.75 7.00 6.00,7.50,7.00 7.00 7.00,,6.89,
Interpretation  1.60 6.25 7.00 7.75,7.25,7.50 6.50 7.25 6.00,8.00,7.25 7.50 7.25,,7.00,
Judges Total Program Component Score (factored),,,,,,55.04,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
2 Carolina KOSTNER ITA,,111.97  54.99,,56.98,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3F+3T+2Lo  11.00  1.29 1 1 2,1,2 2 1 1,2,2 1 1,,12.29,
2 2Lz  1.90 -0.04 0 0 0,0,0 0 -1 -1,0,0 -1 0,,1.86,
3 3F  5.50  0.00 -1 0 1,0,0 0 1 0,0,0 0 0,,5.50,
4 3Lo  5.00  0.29 0 0 2,0,1 0 0 1,1,1 0 0,,5.29,
5 CCoSp3  3.00  0.21 1 0 1,1,0 1 1 0,1,1 0 0,,3.21,
6 2A+1T  4.29 x  0.00 0 0 0,0,0 0 0 0,0,0 0 0,,4.29,
7 3S  4.95 x  0.14 0 0 1,0,1 0 0 1,0,0 0 0,,5.09,
8 FSSp4  3.00  0.07 0 0 1,0,1 1 0 0,1,0 0 0,,3.07,
9 CoSp3  2.50  0.00 0 0 1,0,0 0 0 0,1,0 0 0,,2.50,
10 SlSt3  3.10  0.71 1 1 2,2,1 1 1 2,2,2 1 2,,3.81,
11 SpSq1  1.80  0.43 1 1 1,0,1 1 1 1,1,1 0 1,,2.23,
12 2A  3.85 x -0.11 0 0 -1,0,0 0 0 -1,0,0 -1 0,,3.74,
13 FCCoSp2  2.50 -0.39 -2 -1 -1,-2,-1 -2 -2 -2,-1,0 0 -1,,2.11,
52.39,,,,,,54.99,
Program Components Factor,,,,,,,
