ISU European Figure Skating Championships,,,,,,,
MEN FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
1 Tomas VERNER CZE,,153.64  75.92,,77.72,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 4T  9.00 -1.43 -2 -2 -1,-1,-2 -1 -1 -2,0,-2 -1 -2,,7.57,
2 3F+3T  9.50  1.57 1 2 1,1,2 2 2 Info1,1,2 1 1,,11.07,Info
3 3Lz+2T  7.30  0.29 0 1 0,0,0 0 1 1,0,0 0 1,,7.59,
4 FSSp4  3.00  0.29 0 1 1,1,0 0 1 1,0,0 1 1,,3.29,
5 CiSt3  3.10  0.64 1 2 1,1,2 2 1 1,1,1 1 1,,3.74,
6 3A  8.25 x  1.14 1 1 1,1,1 2 1 1,1,1 1 2,,9.39,
7 1A  0.88 x  0.07 0 -1 0,1,1 0 0 0,0,0 0 0,,0.95,
8 3Lo  5.50 x  1.29 0 2 1,2,2 1 1 1,0,1 1 1,,6.79,
9 3F  6.05 x  0.14 -1 -1 0,0,0 1 0 0,0,0 0 1,,6.19,
10 3S  4.95 x  0.86 0 1 1,1,0 1 1 1,1,1 0 1,,5.81,
11 CoSp3  2.50  0.00 0 0 0,0,0 0 1 0,0,0 0 0,,2.50,
12 CSSp4  3.00  0.50 1 1 1,1,1 2 1 1,1,1 1 1,,3.50,
13 SlSt3  3.10  0.93 2 2 1,2,3 3 2 2,1,2 1 0,,4.03,
14 CCoSp3  3.00  0.50 1 1 1,1,1 2 1 1,1,0 1 1,,3.50,
69.13,,,,,,75.92,
Program Components Factor,,,,,,,
Skating Skills  2.00 7.50 8.25 8.00,7.75,8.00 7.75 8.00 7.25,8.00,8.00 7.25 8.00,,7.93,
Transition / Linking Footwork  2.00 7.25 7.25 7.75,8.00,7.75 7.75 7.50 7.00,7.50,7.75 7.00 7.50,,7.57,
Performance / Execution  2.00 8.00 7.75 8.25,7.75,8.25 7.75 7.25 7.25,7.75,8.25 7.00 7.75,,7.75,
Choreography / Composition  2.00 8.00 7.75 8.00,8.25,8.00 8.00 7.25 7.50,7.75,8.00 7.25 7.75,,7.79,
Interpretation  2.00 8.00 8.00 8.25,8.00,8.25 7.50 7.25 7.50,8.00,8.25 7.25 7.75,,7.82,
Judges Total Program Component Score (factored),,,,,,77.72,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
2 Stephane LAMBIEL SUI,,153.46  73.46,,80.00,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2A  3.50  0.57 1 0 0,1,1 1 1 1,0,1 0 0,,4.07,
2 4T+2T+2Lo  11.80  0.43 0 0 1,0,-1 1 2 0,0,0 1 1,,12.23,
3 3Lo  5.00  1.14 0 1 1,0,2 2 1 1,1,1 1 1,,6.14,
4 CiSt3  3.10  0.86 2 2 1,2,1 2 1 1,1,2 2 2,,3.96,
5 2A  3.50  1.00 1 1 1,1,1 1 1 1,1,2 1 1,,4.50,
6 CoSp4  3.00  1.00 2 2 1,2,2 2 2 1,1,2 2 2,,4.00,
7 3F+3T  10.45 x -1.00 -1 -1 -1,-1,-1 -1 0 -2,-1,-1 -1 -1,,9.45,
8 3Lz+3T<  8.03 x -1.57 -2 -2 -2,-2,-1 -1 1 -1,-2,-2 -2 -1,,6.46,
9 3S  4.95 x  0.43 1 0 1,1,0 2 0 0,0,1 0 1,,5.38,
10 FSSp3  2.30  0.43 1 1 0,1,0 1 0 1,1,1 1 2,,2.73,
11 2F  1.87 x  0.07 0 0 0,0,1 0 0 0,0,1 0 0,,1.94,
12 SlSt3  3.10  1.00 1 2 1,2,2 2 2 2,2,2 1 2,,4.10,
13 CSSp4  3.00  0.64 1 2 1,0,2 1 2 1,1,2 0 1,,3.64,
