ISU European Figure Skating Championships,,,,,
ICE DANCING COMPULSORY DANCEJUDGES DETAILS PER SKATER,,,,,
Total Total,,,Total,Total,
NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,
Code Score Score,,,Score (factored),,
"= +",,,+,-,
1 Isabelle DELOBEL / Olivier SCHOENFELDER FRA  41.25  21.01,,,20.24,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 1S1  2.30  0.79 2 1 2 1 1 2 1 2,,1,1 1 2,3.09,
2 1S2  2.80  0.71 1 Info1 1 1 2 2 1 3,,1,2 1 Info 1,3.51,Info
3 1S3  1.60  0.93 1 2 2 2 2 2 2 2,,2,2 2 1,2.53,
4 2S1  2.80  1.04 2 1 2 1 1 2 1 2,,1,1 1 1,3.84,
5 2S2  3.50  1.27 1 1 1 2 2 2 2 3,,1,2 2 1,4.77,
6 2S3  2.00  1.27 1 1 2 2 1 2 2 2,,2,2 2 1,3.27,
15.00,,,,21.01,
Program Components Factor,,,,,
Skating Skills  0.75 7.75 7.50 8.50 8.00 7.75 8.25 8.75 8.00,,7.75,8.00 7.75 7.75,8.04,
Timing  0.75 7.50 7.50 8.50 7.50 8.00 8.00 8.75 8.25,,7.50,8.00 7.25 7.50,7.96,
Performance / Execution  0.50 7.75 7.75 8.75 8.00 8.00 8.50 9.00 8.00,,8.00,8.25 7.75 7.75,8.18,
Interpretation  0.50 7.75 7.75 8.75 8.25 8.25 8.50 9.00 8.25,,7.75,8.25 8.00 7.75,8.29,
Judges Total Program Component Score (factored),,,,20.24,
Deductions:,,,,0.00,
Total Total,,,Total,Total,
NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,
Code Score Score,,,Score (factored),,
"= +",,,+,-,
2 Oksana DOMNINA / Maxim SHABALIN RUS  40.25  20.19,,,20.06,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 1S1  2.30  0.79 2 1 0 1 2 2 1 2,,1,1 1 2,3.09,
2 1S2  2.80  0.64 2 1 0 1 1 1 1 1,,1,2 1 2,3.44,
3 1S3  1.60  0.86 2 1 1 2 1 2 2 2,,2,1 1 2,2.46,
4 2S1  2.80  1.04 1 1 0 1 2 2 2 2,,1,1 1 1,3.84,
5 2S2  3.50  0.70 1 1 1 1 1 1 1 1,,1,2 1 1,4.20,
6 2S3  2.00  1.16 2 2 1 1 2 1 2 2,,1,1 1 2,3.16,
15.00,,,,20.19,
Program Components Factor,,,,,
Skating Skills  0.75 7.75 7.75 8.50 7.75 8.00 8.25 8.50 7.75,,7.50,7.75 7.25 8.00,8.00,
Timing  0.75 7.50 7.75 8.25 7.50 8.25 8.00 8.25 8.00,,7.00,7.50 7.50 7.75,7.89,
Performance / Execution  0.50 8.00 8.00 8.50 7.50 8.00 8.50 8.75 7.75,,7.50,8.00 7.50 8.25,8.14,
Interpretation  0.50 8.00 7.75 8.50 7.75 8.00 8.50 9.00 7.75,,7.75,8.00 7.25 8.25,8.14,
Judges Total Program Component Score (factored),,,,20.06,
Deductions:,,,,0.00,
Total Total,,,Total,Total,
NOC Segment Element,,,Program  Component,Deductions,
Rank Name,,,,,
Code Score Score,,,Score (factored),,
"= +",,,+,-,
3 Jana KHOKHLOVA / Sergei NOVITSKI RUS  37.37  18.76,,,18.61,0.00,
"# Executed Base GOE The Judges Panel",,,,Scores,
Elements Value (in random order),,,,of Panel,
1 1S1  2.30  0.64 2 1 1 1 1 1 1 2,,0,1 2 2,2.94,
2 1S2  2.80  0.50 1 1 0 1 0 1 1 2,,1,2 1 1,3.30,
3 1S3  1.60  0.71 1 1 2 1 1 2 2 1,,0,1 1 2,2.31,
4 2S1  2.80  0.60 1 1 0 0 1 1 1 1,,0,1 0 1,3.40,
5 2S2  3.50  0.60 1 1 1 1 0 1 1 1,,1,0 0 1,4.10,
6 2S3  2.00  0.71 0 1 1 1 0 2 2 1,,0,1 1 1,2.71,
15.00,,,,18.76,
Program Components Factor,,,,,
Skating Skills  0.75 7.50 6.75 8.00 7.50 7.50 7.50 8.00 7.25,,7.25,7.00 7.00 7.50,7.54,
Timing  0.75 7.50 6.75 7.50 7.25 7.25 7.25 7.50 7.00,,6.75,6.75 6.75 7.00,7.25,
