HomeSense Skate Canada International,,,,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
1 Mao ASADA JPN,,119.58  61.74,,,57.84,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 2A  3.50  1.40 2 1 1 1,,1 2 2 2,,1,2 - -,4.90
2 3F+3Lo<  7.00 -0.80 -1 0 0 1,,-1 -1 -2 -1,,-1,-1 - -,6.20
3 CSp3  1.80  0.30 1 0 1 0,,0 1 0 0,,1,1 - -,2.10
4 3Lz e  6.00 -1.40 -3 -2 -1 -2,,-2 -1 -3 -1,,-1,-2 - -,4.60
5 FSSp4  3.00  0.60 1 1 2 0,,1 2 -1 1,,0,0 - -,3.60
6 SpSq1  1.80  0.40 0 1 1 2,,1 2 0 1,,0,1 - -,2.20
7 3Lo  5.50 x  1.00 1 1 1 2,,1 1 1 1,,1,2 - -,6.50
8 3F+2Lo  7.70 x  1.00 1 1 1 1,,0 1 1 1,,1,1 - -,8.70
9 2A+2Lo+2Lo  7.15 x -0.16 0 0 1 1,,0 0 -1 -1,,-1,-1 - -,6.99
10 CCoSp4  3.50  0.40 0 1 1 1,,1 2 1 0,,1,1 - -,3.90
11 SlSt3  3.10  0.80 2 2 1 2,,1 2 1 2,,1,2 - -,3.90
12 CoSp4  3.00  0.50 1 1 1 1,,1 2 1 1,,1,0 - -,3.50
13 2A  3.85 x  0.80 0 2 1 2,,1 1 1 0,,1,1 - -,4.65
56.90,,,,,,61.74
Program Components Factor,,,,,,
Skating Skills  1.60 7.50 7.75 7.50 7.75,,7.25 7.50 7.50 7.50,,7.25,7.50 - -,7.45
Transition / Linking Footwork  1.60 6.75 7.00 6.75 6.00,,6.50 7.25 6.00 7.25,,6.75,6.50 - -,6.90
Performance / Execution  1.60 7.25 7.25 7.00 7.25,,7.00 7.50 7.25 7.25,,7.50,7.00 - -,7.25
Choreography / Composition  1.60 7.50 7.25 7.25 7.50,,6.75 7.25 6.50 7.50,,7.25,7.25 - -,7.30
Interpretation  1.60 7.25 7.00 7.25 7.25,,6.75 7.50 7.00 7.50,,7.25,7.25 - -,7.25
Judges Total Program Component Score (factored),,,,,,57.84
Deductions:,,,,,,0.00
"e  Jump take off with wrong edge x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,,
"",,Total Total,,,Total,Total
NOC,,Segment Element,,,Program  Component,Deductions
Rank Name,,,,,,
Code,,Score Score,,,Score (factored),
"",,= +,,,+,-
2 Yukari NAKANO JPN,,113.49  62.53,,,50.96,0.00
"# Executed Base GOE",,The Judges Panel,,,,Scores
Elements Value,,(in random order),,,,of Panel
1 3A  7.50 -0.20 0 1 0 0,,-1 0 -1 0,,-1,0 - -,7.30
2 3F+2T  6.80  0.00 0 1 0 0,,-1 0 -1 0,,0,0 - -,6.80
3 CCoSp4  3.50  0.80 1 2 2 1,,2 2 1 1,,1,2 - -,4.30
4 3Lz  6.00  0.00 0 1 0 1,,-1 0 -1 0,,0,0 - -,6.00
5 3S  4.50  0.00 0 0 0 0,,0 0 0 0,,0,0 - -,4.50
6 FSSp2  2.00  0.30 1 0 1 0,,0 1 0 1,,0,1 - -,2.30
7 CoSp4  3.00  0.30 0 1 1 1,,1 1 1 0,,0,1 - -,3.30
8 SpSq4  3.40  0.80 1 0 1 1,,0 2 0 1,,1,2 - -,4.20
9 2F  1.87 x  0.00 0 1 0 1,,-1 0 -1 0,,0,0 - -,1.87
10 3T+2T+2Lo  7.48 x  0.60 0 1 1 0,,0 1 0 0,,1,1 - -,8.08
11 CiSt3  3.10  0.40 0 1 1 1,,0 1 0 1,,1,1 - -,3.50
12 3S+2T  6.38 x  0.00 0 0 1 0,,0 0 0 0,,0,0 - -,6.38
13 FCSp4  3.00  1.00 2 2 1 2,,2 2 1 2,,2,0 - -,4.00
58.53,,,,,,62.53
Program Components Factor,,,,,,
Skating Skills  1.60 7.00 6.50 6.00 6.75,,6.25 6.75 6.25 6.75,,6.75,6.50 - -,6.60
Transition / Linking Footwork  1.60 6.00 6.50 6.00 6.00,,5.75 6.50 5.50 6.25,,6.25,5.50 - -,6.20
