HomeSense Skate Canada International,,,,
ICE DANCING ORIGINAL DANCEJUDGES DETAILS PER SKATER,,,,
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
1 Tessa VIRTUE / Scott MOIR CAN  61.20  33.00,,,28.20,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 CoSp4  4.70  0.80 1 2 2 2 1 2 1 2,,2,3 - -,5.50
2 CuLi4  4.00  1.00 2 2 1 1 2 2 2 1,,2,2 - -,5.00
3 CiSt4  8.00  1.20 1 1 1 1 1 1 2 2,,2,1 - -,9.20
4 NtMiTw3  2.80  0.90 2 1 1 2 1 0 2 1,,2,2 - -,3.70
5 NtMiSt4  4.30  0.70 2 2 1 2 1 1 1 2,,2,1 - -,5.00
6 RoLi4  4.00  0.60 1 2 2 1 0 1 2 1,,1,2 - -,4.60
27.80,,,,33.00
Program Components Factor,,,,
Skating Skills  0.80 6.75 7.25 7.75 7.50 7.25 7.25 7.50 7.50,,8.00,7.50 - -,7.40
Linking Footwork / Movement  0.80 6.75 7.00 7.50 7.50 7.00 6.50 7.25 7.50,,7.25,7.75 - -,7.15
Performance  0.60 7.25 7.75 7.50 7.75 7.00 7.50 7.75 8.00,,7.75,7.75 - -,7.60
Choreography  0.60 7.00 7.50 7.50 7.50 7.25 7.25 7.50 7.25,,8.25,8.00 - -,7.50
Interpretation / Timing  1.00 7.00 7.75 7.75 7.50 7.25 7.00 7.75 8.00,,8.50,8.00 - -,7.50
Judges Total Program Component Score (factored),,,,28.20
Deductions:,,,,0.00
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
2 Anna CAPPELLINI / Luca LANOTTE ITA  53.90  29.60,,,24.30,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 Sp3  4.00  0.00 0 1 0 0 -1 0 1 -1,,0,0 - -,4.00
2 CiSt4  8.00  1.00 1 1 1 1 1 1 1 0,,1,1 - -,9.00
3 NtMiTw4  3.30 -0.40 -1 -1 0 -1 -1 0 -1 -2,,-1,0 - -,2.90
4 NtMiSt4  4.30  0.10 1 1 1 -1 0 0 0 -2,,0,1 - -,4.40
5 SlLi4  4.00  0.50 1 1 2 1 0 2 1 0,,1,1 - -,4.50
6 RoLi4  4.00  0.80 2 2 2 1 0 2 2 1,,2,1 - -,4.80
27.60,,,,29.60
Program Components Factor,,,,
Skating Skills  0.80 6.50 6.75 6.50 6.50 6.00 6.25 6.50 6.00,,6.50,6.00 - -,6.35
Linking Footwork / Movement  0.80 6.75 6.50 6.50 6.50 5.75 5.75 6.25 6.50,,6.00,6.75 - -,6.25
Performance  0.60 6.25 7.25 7.00 6.25 6.00 6.25 6.50 5.75,,6.50,7.00 - -,6.35
Choreography  0.60 6.50 7.50 6.75 6.50 6.25 6.00 6.50 6.00,,7.50,7.25 - -,6.60
Interpretation / Timing  1.00 6.75 7.25 7.00 6.25 6.00 5.50 6.75 6.00,,6.50,7.25 - -,6.45
Judges Total Program Component Score (factored),,,,24.30
Deductions:,,,,0.00
Total Total,,,Total,Total
NOC Segment Element,,,Program  Component,Deductions
Rank Name,,,,
Code Score Score,,,Score (factored),
"= +",,,+,-
3 Pernelle CARRON / Mathieu JOST FRA  52.43  29.60,,,22.83,0.00
"# Executed Base GOE The Judges Panel",,,,Scores
Elements Value (in random order),,,,of Panel
1 NtMiTw4  3.30  0.00 0 0 0 0 -1 -1 0 0,,1,1 - -,3.30
2 NtMiSt3  3.80 -0.40 -1 -1 -1 -1 0 -1 -2 -2,,-1,0 - -,3.40
3 Sp4  4.70  0.50 1 1 1 1 1 1 1 1,,1,1 - -,5.20
4 CuLi4  4.00  0.80 0 2 1 1 2 2 1 1,,2,2 - -,4.80
5 CiSt3  7.20  1.00 1 1 0 1 1 1 1 -1,,1,1 - -,8.20
6 RoLi4  4.00  0.70 2 2 1 1 1 1 1 1,,2,2 - -,4.70
27.00,,,,29.60
Program Components Factor,,,,
Skating Skills  0.80 6.25 6.50 5.75 6.25 6.00 5.50 5.50 6.25,,6.50,6.00 - -,6.00
