LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,
"",Total Total,,Total,Total
Rank Name,NOC Segment Element,,Program  Component,Deductions
"",Code Score Score,,Score (factored),
"",= +,,+,-
1 Irina SLUTSKAYA,RUS 126.81 63.32,,63.49,0.00
"# Executed Base GOE",The Judges Panel,,,Scores
Elements Value,(in random order),,,of Panel
1 3Lz+2Lo 7.5 0.71,1 1 0 1 0 1 -1 1,,1 1 0 0,8.21
2 3S+2Lo+2T 7.3 0.43,1 0 0 1 0 0 0 0,,0 1 0 1,7.73
3 FCSp4 3.0 0.43,2 1 1 2 0 1 -1 0,,0 1 1 1,3.43
4 3F 5.5 -1.14,-1 -1 -1 0 -2 -1 -2 -1,,-1 -1 -1 -2,4.36
5 LSp4 2.4 0.64,2 1 0 1 1 1 1 2,,2 2 2 0,3.04
6 SpSt3 3.1 0.29,0 1 0 1 0 0 -1 1,,1 1 1 0,3.39
7 3F+2T 7.5x 0.71,1 1 1 1 0 1 0 0,,1 1 0 0,8.21
8 3Lo 5.5x 0.86,1 1 1 1 0 0 0 1,,0 1 0 1,6.36
9 3T 4.4x 0.43,1 0 0 1 0 1 0 1,,0 1 0 0,4.83
10 CoSp3 2.5 0.14,2 0 0 1 0 0 1 0,,0 0 1 1,2.64
11 2A 3.6x 0.57,1 1 0 1 0 0 0 0,,0 1 1 1,4.17
12 SlSt2 2.3 0.36,1 1 0 1 0 1 1 1,,0 1 1 1,2.66
13 CCoSp4 3.5 0.79,2 2 1 2 1 1 2 2,,1 2 2 1,4.29
58.1,,,,63.32
Program Components Factor,,,,
Skating Skills 1.60,8.25 8.00 7.75 8.50 8.00 7.75 7.00 8.25,,7.50 8.00 8.00 7.75,8.00
Transition / Linking Footwork 1.60,8.00 7.50 7.50 7.75 7.75 7.50 6.75 8.00,,7.25 8.00 7.50 6.75,7.68
Performance / Execution 1.60,8.25 7.75 8.00 8.00 8.00 7.75 7.25 8.25,,7.75 8.50 8.25 7.50,8.00
Choreography / Composition 1.60,8.25 8.00 7.75 8.00 8.00 7.75 7.50 8.25,,7.75 8.25 7.50 7.25,8.00
Interpretation 1.60,8.50 8.00 8.00 8.00 7.75 8.00 7.50 8.25,,7.75 8.25 8.00 7.25,8.00
Judges Total Program Component Score (factored),,,,63.49
Deductions:,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
"",Total Total,,Total,Total
Rank Name,NOC Segment Element,,Program  Component,Deductions
"",Code Score Score,,Score (factored),
"",= +,,+,-
2 Elena SOKOLOVA,RUS 116.93 57.57,,59.36,0.00
"# Executed Base GOE",The Judges Panel,,,Scores
Elements Value,(in random order),,,of Panel
1 3Lz+2T+2Lo 8.8 0.00,0 0 0 1 0 0 0 0,,0 0 0 -1,8.80
2 3F 5.5 0.00,0 0 0 1 -1 0 0 0,,0 0 1 0,5.50
3 3S 4.5 0.71,2 0 1 1 0 0 0 1,,1 1 0 0,5.21
4 LSp3 1.8 0.14,1 0 0 1 1 0 0 0,,0 0 1 0,1.94
5 3Lz 6.0 0.00,0 0 0 0 0 1 0 0,,1 0 1 0,6.00
6 FCSp3 2.3 0.21,1 0 0 1 0 1 0 1,,0 0 0 1,2.51
7 SpSt2 2.3 0.00,0 0 0 0 0 0 0 0,,0 0 0 0,2.30
8 3Lo 5.5x 0.57,1 0 1 1 0 0 0 1,,0 1 1 0,6.07
9 FSSp3 2.3 0.07,0 0 1 1 0 -1 0 0,,0 0 0 0,2.37
10 3T 4.4x 0.57,1 0 1 1 0 0 0 0,,1 1 0 0,4.97
11 SlSt2 2.3 0.50,1 1 0 1 0 1 1 1,,2 2 1 1,2.80
12 2A+2T 5.1x 0.00,0 0 0 1 0 0 0 0,,0 0 0 0,5.10
13 CCoSp4 3.5 0.50,1 1 1 1 1 1 0 0,,1 1 0 1,4.00
54.3,,,,57.57
Program Components Factor,,,,
Skating Skills 1.60,7.75 6.75 7.25 7.50 7.50 7.75 6.75 8.00,,7.75 7.25 7.25 6.50,7.39
Transition / Linking Footwork 1.60,7.50 6.50 7.00 6.50 7.25 7.50 6.75 7.75,,8.00 7.25 7.25 5.75,7.11
Performance / Execution 1.60,8.00 7.00 7.50 7.50 7.50 7.75 7.25 8.25,,8.25 7.75 8.00 7.00,7.64
Choreography / Composition 1.60,7.75 7.00 7.25 7.25 7.50 7.75 7.25 8.00,,8.00 7.50 7.25 6.50,7.46
Interpretation 1.60,7.75 6.75 7.50 7.50 7.50 7.75 7.50 8.00,,8.25 7.50 7.75 6.50,7.50
Judges Total Program Component Score (factored),,,,59.36
Deductions:,,,,0.00
"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,
LADIES FREE SKATINGJUDGES DETAILS PER SKATER,,,,
"",Total Total,,Total,Total
Rank Name,NOC Segment Element,,Program  Component,Deductions
"",Code Score Score,,Score (factored),
"",= +,,+,-
3 Carolina KOSTNER,ITA 112.41 54.32,,59.09,1.00
"# Executed Base GOE",The Judges Panel,,,Scores
Elements Value,(in random order),,,of Panel
1 3F+3T 9.5 0.86,0 1 1 1 1 2 2 1,,1 1 1 0,10.36
2 3Lz 6.0 0.00,0 0 0 1 0 0 0 0,,0 0 0 0,6.00
3 3Lo 5.0 0.71,0 0 1 1 0 0 0 1,,1 1 0 1,5.71
4 2A 3.3 0.29,0 0 1 1 0 0 0 0,,0 0 0 1,3.59
5 CCoSp3 3.0 0.36,0 1 1 1 0 1 0 0,,1 1 1 1,3.36
6 FSSp3 2.3 -0.17,-1 0 -1 1 -1 -1 -1 -1,,-1 0 -1 0,2.13
7 2A+2T 5.1x -0.60,-1 -1 -1 0 -1 -1 -1 0,,-1 -1 0 -1,4.50
