MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
"",Total Total,,Total,Total
Rank Name,NOC Segment Element,,Program  Component,Deductions
"",Code Score Score,,Score (factored),
"",= +,,+,-
1 Evgeni PLUSHENKO,RUS 82.80 42.12,,40.68,0.00
"# Executed Base",GOE The Judges Panel,,,Scores
Elements Value,(in random order),,,of Panel
1 4T+2T 10.3,-1.14 -2 -2 -1 0 0 -1 -1 -2,,-1 0 -2 -1,9.16
2 3A 7.5,1.43 2 1 2 2 1 1 2 2,,2 1 1 1,8.93
3 3Lz 6.0,1.00 1 0 1 1 1 1 2 1,,1 1 1 2,7.00
4 FCSp3 2.3,0.50 2 0 2 1 1 1 2 1,,1 1 1 1,2.80
5 CiSt3 3.1,0.93 2 1 2 2 3 2 3 2,,1 1 2 2,4.03
6 CSSp3 2.1,0.43 1 0 2 1 1 1 1 1,,0 1 1 1,2.53
7 SlSt3 3.1,0.64 1 1 2 2 1 1 2 1,,1 1 1 2,3.74
8 CCoSp4 3.5,0.43 1 0 2 1 1 1 2 1,,0 0 1 1,3.93
37.9,,,,42.12
Program Components,Factor,,,
Skating Skills,1.00 7.75 7.75 8.50 8.50 8.25 8.50 7.50 8.00,,8.00 8.50 8.00 8.00,8.18
Transition / Linking Footwork,1.00 7.50 7.75 8.50 8.00 8.00 8.25 6.25 7.25,,8.00 8.50 7.75 7.75,7.93
Performance / Execution,1.00 7.75 7.50 8.75 8.25 8.50 8.50 8.25 7.75,,8.50 8.50 8.00 8.00,8.21
Choreography / Composition,1.00 7.75 7.75 8.75 8.25 8.25 8.50 8.00 7.25,,8.25 8.50 8.00 7.75,8.11
Interpretation,1.00 7.75 7.75 8.75 8.25 8.50 8.50 8.50 7.75,,8.50 8.50 8.25 8.00,8.25
Judges Total Program Component Score (factored),,,,40.68
Deductions:,,,,0.00
"",Total Total,,Total,Total
Rank Name,NOC Segment Element,,Program  Component,Deductions
"",Code Score Score,,Score (factored),
"",= +,,+,-
2 Brian JOUBERT,FRA 77.85 38.95,,38.90,0.00
"# Executed Base",GOE The Judges Panel,,,Scores
Elements Value,(in random order),,,of Panel
1 4T+2T 10.3,-1.00 -1 -1 -1 -1 -1 -1 -1 -1,,-1 -1 -1 -1,9.30
2 3A 7.5,1.00 1 0 1 1 1 1 1 2,,1 0 1 1,8.50
3 FSSp3 2.3,0.50 1 0 1 1 1 1 2 2,,1 1 1 1,2.80
4 3F 5.5,0.86 2 1 1 0 1 1 2 2,,0 0 1 1,6.36
5 CiSt2 2.3,0.50 1 1 1 1 1 1 2 1,,0 1 1 2,2.80
6 CCoSp4 3.5,0.50 1 1 1 1 1 1 1 1,,1 1 1 1,4.00
7 SlSt2 2.3,0.36 1 0 1 1 1 1 1 0,,0 1 1 1,2.66
8 CSSp3 2.1,0.43 1 0 1 0 1 1 1 1,,1 0 1 1,2.53
35.8,,,,38.95
Program Components,Factor,,,
Skating Skills,1.00 7.50 8.00 7.50 7.25 8.25 8.25 7.50 8.00,,7.75 8.00 7.75 7.50,7.82
Transition / Linking Footwork,1.00 7.25 8.00 7.50 6.75 8.00 8.00 6.50 7.25,,7.50 7.75 7.50 7.50,7.61
Performance / Execution,1.00 7.50 8.00 7.75 7.00 8.25 8.25 7.75 8.00,,7.75 7.75 7.75 7.50,7.86
Choreography / Composition,1.00 7.50 8.25 7.75 6.75 8.00 8.25 8.00 7.75,,8.00 8.00 7.50 7.25,7.79
Interpretation,1.00 7.50 8.00 7.75 7.00 8.25 8.25 8.00 8.00,,7.50 8.00 7.75 7.50,7.82
Judges Total Program Component Score (factored),,,,38.90
Deductions:,,,,0.00
"",Total Total,,Total,Total
Rank Name,NOC Segment Element,,Program  Component,Deductions
"",Code Score Score,,Score (factored),
"",= +,,+,-
3 Stephane LAMBIEL,SUI 74.73 38.26,,37.47,1.00
"# Executed Base",GOE The Judges Panel,,,Scores
Elements Value,(in random order),,,of Panel
1 3A 7.5,-3.00 -3 -3 -3 -3 -3 -2 -2 -3,,-3 -3 -3 -3,4.50
2 4T+2T 10.3,0.00 0 0 0 1 0 -1 0 0,,0 0 0 0,10.30
3 3Lz 6.0,1.00 1 1 1 1 1 2 2 1,,1 0 1 1,7.00
4 CCoSp3 3.0,1.00 2 2 2 2 2 2 2 2,,2 2 2 2,4.00
5 CSSp3 2.1,0.57 1 0 1 1 1 1 2 2,,0 2 2 2,2.67
6 SeSt3 3.1,0.50 1 1 1 1 0 1 1 1,,1 0 1 2,3.60
7 SlSt3 3.1,0.50 1 1 1 1 1 1 2 2,,0 0 1 1,3.60
8 FSSp3 2.3,0.29 0 0 1 1 0 1 2 1,,0 0 0 1,2.59
37.4,,,,38.26
Program Components,Factor,,,
Skating Skills,1.00 7.25 7.50 7.50 7.50 7.25 8.00 7.00 7.50,,7.75 7.75 7.25 7.75,7.54
Transition / Linking Footwork,1.00 7.00 7.50 7.25 7.00 7.25 7.75 6.00 7.00,,7.50 7.75 7.00 7.50,7.29
Performance / Execution,1.00 7.25 7.50 7.50 7.50 7.50 8.00 7.25 7.50,,7.50 8.00 7.25 7.75,7.54
Choreography / Composition,1.00 7.50 7.50 7.50 7.25 7.50 8.00 7.00 7.25,,7.75 8.00 7.25 7.50,7.46
Interpretation,1.00 7.50 7.75 7.50 7.25 7.50 8.25 7.50 7.75,,7.75 8.25 7.50 7.75,7.64
Judges Total Program Component Score (factored),,,,37.47
Deductions: Falls:,-1.00,,,-1.00
MEN SHORT PROGRAMJUDGES DETAILS PER SKATER,,,,
"",Total Total,,Total,Total
Rank Name,NOC Segment Element,,Program  Component,Deductions
"",Code Score Score,,Score (factored),
"",= +,,+,-
