Trophee Eric Bompard,,,,,,,
PAIRS FREE SKATINGJUDGES DETAILS PER SKATER,,,,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
1 Dan ZHANG / Hao ZHANG CHN,,125.36  68.00,,57.36,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 2A+3T  7.50  0.40 0 0 0,1,-1 0 1 0,0,1 - -,,7.90,
2 3LzTw2  5.50  1.52 2 2 2,2,2 2 2 3Info,3,1 - -,,7.02,Info
3 5TLi4  6.00  0.60 1 1 2,2,2 1 1 2,1,1 - -,,6.60,
4 5ALi4  6.50  0.60 0 2 2,1,1 2 0 1,0,1 - -,,7.10,
5 PCoSp4  4.50  0.30 0 1 1,1,2 0 0 1,0,1 - -,,4.80,
6 3STh  4.95 x  1.40 1 2 2,2,2 2 2 2,2,2 - -,,6.35,
7 SlSt3  3.10  0.00 0 0 0,0,1 0 0 0,0,0 - -,,3.10,
8 3S  4.95 x  0.40 0 0 0,1,0 0 1 0,1,0 - -,,5.35,
9 FCCoSp2  2.50 -0.06 0 0 0,0,0 0 1 -1,-1,0 - -,,2.44,
10 3LoTh  5.50 x  0.84 0 1 0,2,1 1 1 2,1,1 - -,,6.34,
11 SpSq3  3.10  0.10 0 0 0,0,1 1 1 1,0,0 - -,,3.20,
12 3Li4  4.00  0.10 0 0 1,-1,0 0 0 1,0,1 - -,,4.10,
13 BiDs2  3.00  0.70 1 1 1,0,1 1 1 1,1,1 - -,,3.70,
61.10,,,,,,68.00,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.25 7.75 7.50,7.75,8.50 7.50 7.25 7.50,7.50,7.75 - -,,7.55,
Transition / Linking Footwork  1.60 7.00 7.00 7.00,6.50,7.75 7.00 7.25 7.00,6.75,7.25 - -,,7.00,
Performance / Execution  1.60 6.75 7.25 7.25,6.75,8.25 7.25 7.50 7.25,6.75,7.50 - -,,7.10,
Choreography / Composition  1.60 7.00 7.50 7.50,6.75,8.25 7.25 7.00 7.50,7.00,7.75 - -,,7.20,
Interpretation  1.60 6.75 7.00 7.25,6.50,8.50 7.00 7.00 7.25,7.00,7.25 - -,,7.00,
Judges Total Program Component Score (factored),,,,,,57.36,
Deductions:,,,,,,0.00,
"*  Invalid element e  Jump take off with wrong edge <  Downgraded jump",,"x  Credit for highlight distribution, jump element multiplied by 1.1",,,,,
"",,Total Total,,Total,,Total,
NOC,,Segment Element,,Program  Component,,Deductions,
Rank Name,,,,,,,
Code,,Score Score,,Score (factored),,,
"",,= +,,+,,-,
2 Qing PANG / Jian TONG CHN,,122.61  63.17,,59.44,,0.00,
"# Executed Base GOE",,The Judges Panel,,,,Scores,
Elements Value,,(in random order),,,,of Panel,
1 3T  4.00 -0.20 -1 0 -1,0,0 0 0 0,0,-1 - -,,3.80,
2 2A+2A+SEQ  5.60  0.00 -1 0 0,0,0 0 0 0,0,0 - -,,5.60,
3 3LzTw1  5.00  1.12 1 2 2,2,1 1 1 2,2,1 - -,,6.12,
4 5TLi4  6.00  0.50 1 1 1,1,1 1 1 1,0,1 - -,,6.50,
5 FCCoSp3  3.00  0.40 1 1 1,1,1 0 1 1,0,0 - -,,3.40,
6 SpSq3  3.10  0.40 1 0 1,2,2 0 0 1,1,1 - -,,3.50,
7 3STh  4.95 x  0.98 0 2 2,2,1 2 1 2,1,1 - -,,5.93,
8 3LoTh  5.50 x  1.40 1 2 1,2,2 2 2 2,2,2 - -,,6.90,
9 5ALi4  6.50  1.20 1 2 1,1,2 1 1 2,1,1 - -,,7.70,
10 SlSt1  1.80  0.60 1 2 1,2,1 2 1 1,1,1 - -,,2.40,
11 3Li4  4.00  0.50 1 1 1,1,1 1 1 1,1,1 - -,,4.50,
12 BoDs1  3.00 -0.28 0 -1 0,0,0 0 -1 -1,1,0 - -,,2.72,
13 PCoSp3  4.00  0.10 0 0 1,1,1 0 0 0,1,0 - -,,4.10,
56.45,,,,,,63.17,
Program Components Factor,,,,,,,
Skating Skills  1.60 7.00 7.50 7.25,7.75,8.25 7.25 7.25 7.75,7.50,7.75 - -,,7.55,
